branch_id,branch_name,runtime_gate_expected,runtime_gate_payload_rows,runtime_claim_boundary,runtime_review_status,effect
run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,0,0,not_applicable_until_MT5_tester_output_and_telemetry_exist,passed,runtime claim remains research-only; no MT5 execution or runtime authority in run335E
run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,0,0,not_applicable_until_MT5_tester_output_and_telemetry_exist,passed,runtime claim remains research-only; no MT5 execution or runtime authority in run335E
run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,0,0,not_applicable_until_MT5_tester_output_and_telemetry_exist,passed,runtime claim remains research-only; no MT5 execution or runtime authority in run335E
run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,0,0,not_applicable_until_MT5_tester_output_and_telemetry_exist,passed,runtime claim remains research-only; no MT5 execution or runtime authority in run335E
run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,0,0,not_applicable_until_MT5_tester_output_and_telemetry_exist,passed,runtime claim remains research-only; no MT5 execution or runtime authority in run335E
run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,5,5,not_applicable_until_MT5_tester_output_and_telemetry_exist,passed,runtime claim remains research-only; no MT5 execution or runtime authority in run335E
run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,5,5,not_applicable_until_MT5_tester_output_and_telemetry_exist,passed,runtime claim remains research-only; no MT5 execution or runtime authority in run335E
run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,0,0,not_applicable_until_MT5_tester_output_and_telemetry_exist,passed,runtime claim remains research-only; no MT5 execution or runtime authority in run335E
run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,0,0,not_applicable_until_MT5_tester_output_and_telemetry_exist,passed,runtime claim remains research-only; no MT5 execution or runtime authority in run335E
run335C_b10_subject_swap_negative_control,subject_swap_negative_control,5,5,not_applicable_until_MT5_tester_output_and_telemetry_exist,passed,runtime claim remains research-only; no MT5 execution or runtime authority in run335E
run335C_b11_null_adjacent_period_control,null_adjacent_period_control,5,5,not_applicable_until_MT5_tester_output_and_telemetry_exist,passed,runtime claim remains research-only; no MT5 execution or runtime authority in run335E
