dimension,required_grain,required_inputs,must_vary_by,minimum_checks,anti_overfit_guard,materialization_status,claim_boundary
curve_pocket,branch_id_attempt_name_bar_time_trade_index,feature_rows;runtime_decision_rows;trade_ledger;cost_model;predeclared_direction_rules,branch_id;attempt_name,row_count;timestamp_exact_or_same_bar_floor;proxy_vs_mt5_rank_correlation;sign_agreement;negative_control,must_be_defined_before_scoring_new_model_or_threshold;must_not_be_fit_to_run335N_mt5_profit,spec_ready_not_built,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
expectancy,branch_id_attempt_name_bar_time_trade_index,feature_rows;runtime_decision_rows;trade_ledger;cost_model;predeclared_direction_rules,branch_id;attempt_name,row_count;timestamp_exact_or_same_bar_floor;proxy_vs_mt5_rank_correlation;sign_agreement;negative_control,must_be_defined_before_scoring_new_model_or_threshold;must_not_be_fit_to_run335N_mt5_profit,spec_ready_not_built,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
long_short_attribution,branch_id_attempt_name_bar_time_trade_index,feature_rows;runtime_decision_rows;trade_ledger;cost_model;predeclared_direction_rules,branch_id;attempt_name,row_count;timestamp_exact_or_same_bar_floor;proxy_vs_mt5_rank_correlation;sign_agreement;negative_control,must_be_defined_before_scoring_new_model_or_threshold;must_not_be_fit_to_run335N_mt5_profit,spec_ready_not_built,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
lot_normalized_result,branch_id_attempt_name_bar_time_trade_index,feature_rows;runtime_decision_rows;trade_ledger;cost_model;predeclared_direction_rules,branch_id;attempt_name,row_count;timestamp_exact_or_same_bar_floor;proxy_vs_mt5_rank_correlation;sign_agreement;negative_control,must_be_defined_before_scoring_new_model_or_threshold;must_not_be_fit_to_run335N_mt5_profit,spec_ready_not_built,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
max_drawdown,branch_id_attempt_name_bar_time_trade_index,feature_rows;runtime_decision_rows;trade_ledger;cost_model;predeclared_direction_rules,branch_id;attempt_name,row_count;timestamp_exact_or_same_bar_floor;proxy_vs_mt5_rank_correlation;sign_agreement;negative_control,must_be_defined_before_scoring_new_model_or_threshold;must_not_be_fit_to_run335N_mt5_profit,spec_ready_not_built,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
net_profit,branch_id_attempt_name_bar_time_trade_index,feature_rows;runtime_decision_rows;trade_ledger;cost_model;predeclared_direction_rules,branch_id;attempt_name,row_count;timestamp_exact_or_same_bar_floor;proxy_vs_mt5_rank_correlation;sign_agreement;negative_control,must_be_defined_before_scoring_new_model_or_threshold;must_not_be_fit_to_run335N_mt5_profit,spec_ready_not_built,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
profit_factor,branch_id_attempt_name_bar_time_trade_index,feature_rows;runtime_decision_rows;trade_ledger;cost_model;predeclared_direction_rules,branch_id;attempt_name,row_count;timestamp_exact_or_same_bar_floor;proxy_vs_mt5_rank_correlation;sign_agreement;negative_control,must_be_defined_before_scoring_new_model_or_threshold;must_not_be_fit_to_run335N_mt5_profit,spec_ready_not_built,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
recovery_factor,branch_id_attempt_name_bar_time_trade_index,feature_rows;runtime_decision_rows;trade_ledger;cost_model;predeclared_direction_rules,branch_id;attempt_name,row_count;timestamp_exact_or_same_bar_floor;proxy_vs_mt5_rank_correlation;sign_agreement;negative_control,must_be_defined_before_scoring_new_model_or_threshold;must_not_be_fit_to_run335N_mt5_profit,spec_ready_not_built,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_hour_regime,branch_id_attempt_name_bar_time_trade_index,feature_rows;runtime_decision_rows;trade_ledger;cost_model;predeclared_direction_rules,branch_id;attempt_name,row_count;timestamp_exact_or_same_bar_floor;proxy_vs_mt5_rank_correlation;sign_agreement;negative_control,must_be_defined_before_scoring_new_model_or_threshold;must_not_be_fit_to_run335N_mt5_profit,spec_ready_not_built,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
spread_slippage_stress,branch_id_attempt_name_bar_time_trade_index,feature_rows;runtime_decision_rows;trade_ledger;cost_model;predeclared_direction_rules,branch_id;attempt_name,row_count;timestamp_exact_or_same_bar_floor;proxy_vs_mt5_rank_correlation;sign_agreement;negative_control,must_be_defined_before_scoring_new_model_or_threshold;must_not_be_fit_to_run335N_mt5_profit,spec_ready_not_built,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
