attempt_name,candidate_id,candidate_alias,candidate_role,variant_id,profile_label,tier,attempt_role,record_view_prefix,set_path,ini_path,common_telemetry_path,common_summary_path,execution_status,runtime_status,report_status
run267dh_01_s264_aia_similar_survivor_gate_ta_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267dh_01_s264_aia_similar_survivor_gate,s264_aia_similar_survivor_gate,Tier A,tier_only_total,mt5_ta_s264_aia_aia_similar_replacement,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_01_s264_aia_similar_survivor_gate_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_01_s264_aia_similar_survivor_gate_ta_2024.ini,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_01_s264_aia_similar_survivor_gate_ta_2024_telemetry.csv,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_01_s264_aia_similar_survivor_gate_ta_2024_summary.csv,completed,completed,completed
run267dh_01_s264_aia_similar_survivor_gate_rt_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267dh_01_s264_aia_similar_survivor_gate,s264_aia_similar_survivor_gate,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s264_aia_aia_similar_replacement,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_01_s264_aia_similar_survivor_gate_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_01_s264_aia_similar_survivor_gate_rt_2024.ini,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_01_s264_aia_similar_survivor_gate_rt_2024_telemetry.csv,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_01_s264_aia_similar_survivor_gate_rt_2024_summary.csv,completed,completed,completed
run267dh_02_s264_aia_ablation_survivor_gate_ta_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267dh_02_s264_aia_ablation_survivor_gate,s264_aia_ablation_survivor_gate,Tier A,tier_only_total,mt5_ta_s264_aia_aia_ablation_neutral,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_02_s264_aia_ablation_survivor_gate_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_02_s264_aia_ablation_survivor_gate_ta_2024.ini,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_02_s264_aia_ablation_survivor_gate_ta_2024_telemetry.csv,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_02_s264_aia_ablation_survivor_gate_ta_2024_summary.csv,completed,completed,completed
run267dh_02_s264_aia_ablation_survivor_gate_rt_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267dh_02_s264_aia_ablation_survivor_gate,s264_aia_ablation_survivor_gate,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s264_aia_aia_ablation_neutral,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_02_s264_aia_ablation_survivor_gate_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_02_s264_aia_ablation_survivor_gate_rt_2024.ini,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_02_s264_aia_ablation_survivor_gate_rt_2024_telemetry.csv,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_02_s264_aia_ablation_survivor_gate_rt_2024_summary.csv,completed,completed,completed
run267dh_03_s262_lih_validation_control_crosscheck_ta_2024,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267dh_03_s262_lih_validation_control_crosscheck,s262_lih_validation_control_crosscheck,Tier A,tier_only_total,mt5_ta_s262_lih_lih_weekday_dd,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_03_s262_lih_validation_control_crosscheck_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_03_s262_lih_validation_control_crosscheck_ta_2024.ini,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_03_s262_lih_validation_control_crosscheck_ta_2024_telemetry.csv,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_03_s262_lih_validation_control_crosscheck_ta_2024_summary.csv,completed,completed,completed
run267dh_03_s262_lih_validation_control_crosscheck_rt_2024,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267dh_03_s262_lih_validation_control_crosscheck,s262_lih_validation_control_crosscheck,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s262_lih_lih_weekday_dd,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_03_s262_lih_validation_control_crosscheck_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_03_s262_lih_validation_control_crosscheck_rt_2024.ini,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_03_s262_lih_validation_control_crosscheck_rt_2024_telemetry.csv,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_03_s262_lih_validation_control_crosscheck_rt_2024_summary.csv,completed,completed,completed
run267dh_04_s258_stc_2023h2_thin_supply_impulse_ta_2023h2,s258_short_tight_control,s258_stc,stress_challenger,run267dh_04_s258_stc_2023h2_thin_supply_impulse,s258_stc_thin_supply_impulse_stress,Tier A,tier_only_total,mt5_ta_s258_stc_session_cross_2023h2,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_04_s258_stc_2023h2_thin_supply_impulse_ta_2023h2.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_04_s258_stc_2023h2_thin_supply_impulse_ta_2023h2.ini,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_04_s258_stc_2023h2_thin_supply_impulse_ta_2023h2_telemetry.csv,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_04_s258_stc_2023h2_thin_supply_impulse_ta_2023h2_summary.csv,completed,completed,completed
run267dh_05_s258_stc_2025h1_thin_supply_impulse_ta_2025h1,s258_short_tight_control,s258_stc,stress_challenger,run267dh_05_s258_stc_2025h1_thin_supply_impulse,s258_stc_thin_supply_impulse_stress,Tier A,tier_only_total,mt5_ta_s258_stc_session_cross_2025h1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_05_s258_stc_2025h1_thin_supply_impulse_ta_2025h1.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_05_s258_stc_2025h1_thin_supply_impulse_ta_2025h1.ini,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_05_s258_stc_2025h1_thin_supply_impulse_ta_2025h1_telemetry.csv,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_05_s258_stc_2025h1_thin_supply_impulse_ta_2025h1_summary.csv,completed,completed,completed
run267dh_06_s258_stc_2025h2_thin_supply_impulse_ta_2025h2,s258_short_tight_control,s258_stc,stress_challenger,run267dh_06_s258_stc_2025h2_thin_supply_impulse,s258_stc_thin_supply_impulse_stress,Tier A,tier_only_total,mt5_ta_s258_stc_session_cross_2025h2,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_06_s258_stc_2025h2_thin_supply_impulse_ta_2025h2.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_06_s258_stc_2025h2_thin_supply_impulse_ta_2025h2.ini,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_06_s258_stc_2025h2_thin_supply_impulse_ta_2025h2_telemetry.csv,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_06_s258_stc_2025h2_thin_supply_impulse_ta_2025h2_summary.csv,completed,completed,completed
run267dh_07_s264_lc_weekday_dd_deescalation_ta_2024,s264_lowrank_control,s264_lc,defensive_control,run267dh_07_s264_lc_weekday_dd_deescalation,s264_lc_weekday_dd_deescalation,Tier A,tier_only_total,mt5_ta_s264_lc_lc_weekday_dd,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_07_s264_lc_weekday_dd_deescalation_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/run267dh_07_s264_lc_weekday_dd_deescalation_ta_2024.ini,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_07_s264_lc_weekday_dd_deescalation_ta_2024_telemetry.csv,OPV2/s267di/run267DI_shared_weakness_second_followup_or_prune/telemetry/run267dh_07_s264_lc_weekday_dd_deescalation_ta_2024_summary.csv,completed,completed,completed
