evidence_id,source_path,source_field,observed_value,used_for,effect,claim_boundary
ev01_candidate_profile_rows,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EE/runtime_gap_aware_seventh_followup_or_prune_balance_timeslice_trade_quality_review/candidate_profile_review.csv,candidate_profile_review,9 rows,Build branch decisions and queue coverage.,Positive rows remain evidence but do not become selection.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
ev02_attempt_outcome_split,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EE/runtime_gap_aware_seventh_followup_or_prune_balance_timeslice_trade_quality_review/attempt_outcome_review.csv,execution_status,completed=9;blocked=5,Separate usable runtime evidence from init failure memory.,"Blocked rows become diagnostics, not market negatives.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
ev03_worst_negative_slices,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EE/runtime_gap_aware_seventh_followup_or_prune_balance_timeslice_trade_quality_review/negative_slice_summary.csv,net_profit sorted ascending,worst 12 slices mapped into failure memory.,Prevent hidden weak-slice selection.,Weak time/month/session slices steer next pressure tests.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
ev04_final_month_shared_loss,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EE/runtime_gap_aware_seventh_followup_or_prune_balance_timeslice_trade_quality_review/candidate_profile_review.csv,2026.04 profile rows,s264_aih -30.46; s264_lc/s262_lih/s264_aia -39.29,Pool-wide final-month pressure queue.,Treats 2026.04 as shared state before candidate pruning.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
ev05_duplicate_signature,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EE/runtime_gap_aware_seventh_followup_or_prune_balance_timeslice_trade_quality_review/candidate_profile_review.csv,s262_lih/s264_aia profile labels,s262_lih and s264_aia share validation +574.21 and 2026.04 -39.29,Identity and feature-order audit.,Stops duplicate surfaces being counted as independent candidates.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
ev_attr_s258_stc,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EE/runtime_gap_aware_seventh_followup_or_prune_balance_timeslice_trade_quality_review/performance_attribution_summary.csv,performance_attribution_summary,s258_stc: total_net_profit=466.42;worst_dd=20.51,Candidate role boundary in branch decision.,"Keeps attribution as research evidence, not selection.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
ev_attr_s264_aih,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EE/runtime_gap_aware_seventh_followup_or_prune_balance_timeslice_trade_quality_review/performance_attribution_summary.csv,performance_attribution_summary,s264_aih: total_net_profit=488.16;worst_dd=11.71,Candidate role boundary in branch decision.,"Keeps attribution as research evidence, not selection.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
ev_attr_s264_lc,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EE/runtime_gap_aware_seventh_followup_or_prune_balance_timeslice_trade_quality_review/performance_attribution_summary.csv,performance_attribution_summary,s264_lc: total_net_profit=-39.29;worst_dd=10.36,Candidate role boundary in branch decision.,"Keeps attribution as research evidence, not selection.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
ev_attr_s262_lih,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EE/runtime_gap_aware_seventh_followup_or_prune_balance_timeslice_trade_quality_review/performance_attribution_summary.csv,performance_attribution_summary,s262_lih: total_net_profit=534.92;worst_dd=13.39,Candidate role boundary in branch decision.,"Keeps attribution as research evidence, not selection.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
ev_attr_s264_aia,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EE/runtime_gap_aware_seventh_followup_or_prune_balance_timeslice_trade_quality_review/performance_attribution_summary.csv,performance_attribution_summary,s264_aia: total_net_profit=534.92;worst_dd=13.39,Candidate role boundary in branch decision.,"Keeps attribution as research evidence, not selection.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
