candidate_id,label_id,source_data_path,source_symbol,timeframe,timestamp_rule,ohlc_column_mapping,calculation_formula,long_horizon_bars,short_horizon_bars,warmup_requirement,missingness_behavior,used_directly_in_mt5,used_only_for_python_candidate_design
c01_current_label_reference,stage41_c01_current_label_reference,data/raw/mt5_bars/m5/US100/bars_us100_m5_mt5api_raw.csv,US100,M5,bar close timestamp; exact future closed bar by horizon,close from raw MT5 closed M5 bar close,direction-specific forward log returns with asymmetric thresholds,12,12,lookahead max 12 closed bars; no partial current bar,row excluded when current close or exact future close is unavailable,False,True
c02_long_horizon_longer_short_same,stage41_c02_long18_short12,data/raw/mt5_bars/m5/US100/bars_us100_m5_mt5api_raw.csv,US100,M5,bar close timestamp; exact future closed bar by horizon,close from raw MT5 closed M5 bar close,direction-specific forward log returns with asymmetric thresholds,18,12,lookahead max 18 closed bars; no partial current bar,row excluded when current close or exact future close is unavailable,False,True
c03_short_horizon_shorter_long_same,stage41_c03_long12_short8,data/raw/mt5_bars/m5/US100/bars_us100_m5_mt5api_raw.csv,US100,M5,bar close timestamp; exact future closed bar by horizon,close from raw MT5 closed M5 bar close,direction-specific forward log returns with asymmetric thresholds,12,8,lookahead max 12 closed bars; no partial current bar,row excluded when current close or exact future close is unavailable,False,True
c04_asymmetric_long_slow_short_fast,stage41_c04_long18_short8,data/raw/mt5_bars/m5/US100/bars_us100_m5_mt5api_raw.csv,US100,M5,bar close timestamp; exact future closed bar by horizon,close from raw MT5 closed M5 bar close,direction-specific forward log returns with asymmetric thresholds,18,8,lookahead max 18 closed bars; no partial current bar,row excluded when current close or exact future close is unavailable,False,True
c05_asymmetric_long_fast_short_slow,stage41_c05_long8_short18,data/raw/mt5_bars/m5/US100/bars_us100_m5_mt5api_raw.csv,US100,M5,bar close timestamp; exact future closed bar by horizon,close from raw MT5 closed M5 bar close,direction-specific forward log returns with asymmetric thresholds,8,18,lookahead max 18 closed bars; no partial current bar,row excluded when current close or exact future close is unavailable,False,True
c06_wider_flat_band,stage41_c06_wider_flat_band,data/raw/mt5_bars/m5/US100/bars_us100_m5_mt5api_raw.csv,US100,M5,bar close timestamp; exact future closed bar by horizon,close from raw MT5 closed M5 bar close,direction-specific forward log returns with asymmetric thresholds,12,12,lookahead max 12 closed bars; no partial current bar,row excluded when current close or exact future close is unavailable,False,True
c07_narrower_flat_band,stage41_c07_narrower_flat_band,data/raw/mt5_bars/m5/US100/bars_us100_m5_mt5api_raw.csv,US100,M5,bar close timestamp; exact future closed bar by horizon,close from raw MT5 closed M5 bar close,direction-specific forward log returns with asymmetric thresholds,12,12,lookahead max 12 closed bars; no partial current bar,row excluded when current close or exact future close is unavailable,False,True
c08_asymmetric_flat_band,stage41_c08_asymmetric_flat_band,data/raw/mt5_bars/m5/US100/bars_us100_m5_mt5api_raw.csv,US100,M5,bar close timestamp; exact future closed bar by horizon,close from raw MT5 closed M5 bar close,direction-specific forward log returns with asymmetric thresholds,12,12,lookahead max 12 closed bars; no partial current bar,row excluded when current close or exact future close is unavailable,False,True
c09_volatility_normalized_return_label,stage41_c09_vol_normalized,data/raw/mt5_bars/m5/US100/bars_us100_m5_mt5api_raw.csv,US100,M5,bar close timestamp; exact future closed bar by horizon,close from raw MT5 closed M5 bar close,direction-specific forward log returns with asymmetric thresholds,12,12,lookahead max 12 closed bars; no partial current bar,row excluded when current close or exact future close is unavailable,False,True
c10_session_adjusted_label,stage41_c10_session_adjusted,data/raw/mt5_bars/m5/US100/bars_us100_m5_mt5api_raw.csv,US100,M5,bar close timestamp; exact future closed bar by horizon,close from raw MT5 closed M5 bar close,direction-specific forward log returns with asymmetric thresholds,12,12,lookahead max 12 closed bars; no partial current bar,row excluded when current close or exact future close is unavailable,False,True
c11_direction_specific_threshold_label,stage41_c11_direction_quantile_threshold,data/raw/mt5_bars/m5/US100/bars_us100_m5_mt5api_raw.csv,US100,M5,bar close timestamp; exact future closed bar by horizon,close from raw MT5 closed M5 bar close,direction-specific forward log returns with asymmetric thresholds,12,12,lookahead max 12 closed bars; no partial current bar,row excluded when current close or exact future close is unavailable,False,True
c12_long_only_label_pressure_test,stage41_c12_long_only_pressure,data/raw/mt5_bars/m5/US100/bars_us100_m5_mt5api_raw.csv,US100,M5,bar close timestamp; exact future closed bar by horizon,close from raw MT5 closed M5 bar close,direction-specific forward log returns with asymmetric thresholds,12,12,lookahead max 12 closed bars; no partial current bar,row excluded when current close or exact future close is unavailable,False,True
