record_view,candidate_id,candidate_alias,candidate_role,test_id,test_type,materialization_boundary,route_role,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,report_equity_drawdown_percent,report_balance_drawdown_percent,report_recovery_factor,tier_b_fallback_used_count,tier_b_fallback_order_fill_count,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,curve_read
mt5_ta_s258_stc_redzone_monday_dd_historical_2024,s258_short_tight_control,s258_stc,stress_challenger,redzone_monday_dd_pressure,redzone_monday_dd_pressure,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,tier_a_only,518,2115.89,6776.03,-4660.14,1.45404,4.08473,0.544402,24.028475,-19.746356,1.216856,376.77,18.787335,157,0.835907,6,5.615866,16.42,13.94,4.67,0,0,0.916667,1,2024-07,-113.17,2024-10,558.39,1060.2,30.76,1024.93,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_01_s258_stc_redzone_monday_dd_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s258_stc_redzone_monday_dd_historical_2024,s258_short_tight_control,s258_stc,stress_challenger,redzone_monday_dd_pressure,redzone_monday_dd_pressure,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,routed_total,518,2115.89,6776.03,-4660.14,1.45404,4.08473,0.544402,24.028475,-19.746356,1.216856,376.77,18.787335,157,0.835907,6,5.615866,16.42,13.94,4.67,0,0,0.916667,1,2024-07,-113.17,2024-10,558.39,1060.2,30.76,1024.93,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_01_s258_stc_redzone_monday_dd_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s264_aih_aih_supply_repair_historical_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,aih_aggressive_supply_repair,aih_aggressive_supply_repair,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,tier_a_only,283,1047.25,2454.28,-1407.03,1.744298,3.70053,0.568905,15.243975,-11.533033,1.321766,178.44,10.457654,45,0.742049,5,5.86892,12.18,10.46,4.96,0,0,0.75,3,2024-12,-155.42,2024-11,334.81,339.28,156.92,551.05,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_02_s264_aih_aih_supply_repair_ta_2024.png,"high_pf_but_supply_thin_no_selection(높은 수익 팩터지만 공급 얇음, 선택 아님)"
mt5_rt_s264_aih_aih_supply_repair_historical_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,aih_aggressive_supply_repair,aih_aggressive_supply_repair,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,routed_total,283,1047.25,2454.28,-1407.03,1.744298,3.70053,0.568905,15.243975,-11.533033,1.321766,178.44,10.457654,45,0.742049,5,5.86892,12.18,10.46,4.96,0,0,0.75,3,2024-12,-155.42,2024-11,334.81,339.28,156.92,551.05,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_02_s264_aih_aih_supply_repair_rt_2024.png,"high_pf_but_supply_thin_no_selection(높은 수익 팩터지만 공급 얇음, 선택 아님)"
mt5_ta_s264_aih_explosive_combo_historical_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,explosive_shock_state_combo,explosive_shock_state_combo,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,tier_a_only,464,1550.62,5138.85,-3588.23,1.432141,3.341853,0.547414,20.231693,-17.08681,1.184053,343.61,25.03096,198,0.849138,9,4.512732,26.18,25.03,4.28,0,0,0.75,3,2024-07,-126.21,2024-10,407.73,815.59,-6.97,742.0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_03_s264_aih_explosive_combo_ta_2024.png,profit_with_deep_dd_or_month_hole(수익은 있으나 손실폭 또는 월별 구멍 깊음)
mt5_rt_s264_aih_explosive_combo_historical_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,explosive_shock_state_combo,explosive_shock_state_combo,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,routed_total,464,1550.62,5138.85,-3588.23,1.432141,3.341853,0.547414,20.231693,-17.08681,1.184053,343.61,25.03096,198,0.849138,9,4.512732,26.18,25.03,4.28,0,0,0.75,3,2024-07,-126.21,2024-10,407.73,815.59,-6.97,742.0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_03_s264_aih_explosive_combo_rt_2024.png,profit_with_deep_dd_or_month_hole(수익은 있으나 손실폭 또는 월별 구멍 깊음)
mt5_ta_s264_aia_explosive_combo_historical_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,explosive_shock_state_combo,explosive_shock_state_combo,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,tier_a_only,484,1452.57,4773.19,-3320.62,1.437439,3.001178,0.547521,18.012038,-15.162648,1.187922,297.67,23.201373,160,0.840909,5,4.8798,14.63,14.06,4.69,0,0,0.75,3,2024-06,-118.33,2024-10,375.55,590.0,49.96,812.61,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_04_s264_aia_explosive_combo_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s264_aia_explosive_combo_historical_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,explosive_shock_state_combo,explosive_shock_state_combo,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,routed_total,484,1452.57,4773.19,-3320.62,1.437439,3.001178,0.547521,18.012038,-15.162648,1.187922,297.67,23.201373,160,0.840909,5,4.8798,14.63,14.06,4.69,0,0,0.75,3,2024-06,-118.33,2024-10,375.55,590.0,49.96,812.61,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_04_s264_aia_explosive_combo_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s258_stc_explosive_combo_historical_2024,s258_short_tight_control,s258_stc,stress_challenger,explosive_shock_state_combo,explosive_shock_state_combo,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,tier_a_only,486,1846.96,6155.5,-4308.54,1.428674,3.800329,0.549383,23.054307,-19.673699,1.171834,311.17,17.879322,152,0.853909,9,5.935534,13.91,12.98,5.54,0,0,0.833333,2,2024-06,-129.48,2024-10,366.57,955.56,103.43,787.97,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_05_s258_stc_explosive_combo_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s258_stc_explosive_combo_historical_2024,s258_short_tight_control,s258_stc,stress_challenger,explosive_shock_state_combo,explosive_shock_state_combo,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,routed_total,486,1846.96,6155.5,-4308.54,1.428674,3.800329,0.549383,23.054307,-19.673699,1.171834,311.17,17.879322,152,0.853909,9,5.935534,13.91,12.98,5.54,0,0,0.833333,2,2024-06,-129.48,2024-10,366.57,955.56,103.43,787.97,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_05_s258_stc_explosive_combo_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
