branch_id,branch_name,branch_type,failure_axes,hypothesis,decision_use,comparison_baseline,control_variables,changed_variables_allowed,changed_variables_forbidden,sample_scope,success_criteria,failure_criteria,invalid_conditions,stop_conditions,source_file_index,negative_controls,selection_eligible,branch_status,claim_boundary
run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,single_axis_guard,"[""cost_stress""]",cost_stress can guide a timestamp-safe research branch without direct forward-pocket fitting.,may_influence_next_design_only_not_candidate_selection,Stage334 failure memory; run335B guard inputs; no-trade/random/shuffle/adjacent controls,"[""fixed train/validation/OOS boundary until WFO contract is written"", ""fixed threshold policy until explicitly predeclared"", ""fixed lot/risk logic during diagnostic scoring"", ""Tier A separate, Tier B separate, and Tier A+B combined reporting"", ""no runtime authority without MT5 tester report and telemetry""]",stress grid and reporting columns only,"threshold, lot, stop, target, or score cutoff changed after cost result",US100 M5 research branch design; post-2026-04-14 forward evidence remains research-only,future materialization can test the branch without forbidden tuning or direct pocket filtering,"branch only improves through forbidden tuning, direct filters, or subject swap","Any design that changes lot, stop, target, or threshold after seeing cost failure.",Stop or downgrade if any forbidden variable is required to improve the result.,"[""run330F_cost_stress_report"", ""run334F_cost_stress_diagnostics"", ""run334G_axis_failure_heatmap"", ""run335A_materialization_contract""]","[""negative_control_cost_stress""]",false,designed_ready_for_materialization,research_development_only_stage335C_branch_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,single_axis_guard,"[""curve_pocket""]",curve_pocket can guide a timestamp-safe research branch without direct forward-pocket fitting.,may_influence_next_design_only_not_candidate_selection,Stage334 failure memory; run335B guard inputs; no-trade/random/shuffle/adjacent controls,"[""fixed train/validation/OOS boundary until WFO contract is written"", ""fixed threshold policy until explicitly predeclared"", ""fixed lot/risk logic during diagnostic scoring"", ""Tier A separate, Tier B separate, and Tier A+B combined reporting"", ""no runtime authority without MT5 tester report and telemetry""]",timestamp-safe state thesis and predeclared holdout label,"direct date, month, hour, or named pocket exclusion",US100 M5 research branch design; post-2026-04-14 forward evidence remains research-only,future materialization can test the branch without forbidden tuning or direct pocket filtering,"branch only improves through forbidden tuning, direct filters, or subject swap","Date, month, hour, or named pocket pruning copied from run334G.",Stop or downgrade if any forbidden variable is required to improve the result.,"[""run330F_curve_pocket_report"", ""run330F_underwater_stretch_report"", ""run334F_curve_pocket_diagnostics"", ""run334G_axis_failure_heatmap"", ""run335A_materialization_contract""]","[""negative_control_curve_pocket""]",false,designed_ready_for_materialization,research_development_only_stage335C_branch_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,single_axis_guard,"[""direction""]",direction can guide a timestamp-safe research branch without direct forward-pocket fitting.,may_influence_next_design_only_not_candidate_selection,Stage334 failure memory; run335B guard inputs; no-trade/random/shuffle/adjacent controls,"[""fixed train/validation/OOS boundary until WFO contract is written"", ""fixed threshold policy until explicitly predeclared"", ""fixed lot/risk logic during diagnostic scoring"", ""Tier A separate, Tier B separate, and Tier A+B combined reporting"", ""no runtime authority without MT5 tester report and telemetry""]",side attribution fields and diagnostic symmetry checks,dropping long/short side or side-specific threshold from forward stress outcome,US100 M5 research branch design; post-2026-04-14 forward evidence remains research-only,future materialization can test the branch without forbidden tuning or direct pocket filtering,"branch only improves through forbidden tuning, direct filters, or subject swap",Side drop or side-specific threshold chosen from forward stress outcome.,Stop or downgrade if any forbidden variable is required to improve the result.,"[""run330F_long_short_attribution_report"", ""run334F_direction_diagnostics"", ""run334G_axis_failure_heatmap"", ""run335A_materialization_contract""]","[""negative_control_direction""]",false,designed_ready_for_materialization,research_development_only_stage335C_branch_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,single_axis_guard,"[""drawdown_shape""]",drawdown_shape can guide a timestamp-safe research branch without direct forward-pocket fitting.,may_influence_next_design_only_not_candidate_selection,Stage334 failure memory; run335B guard inputs; no-trade/random/shuffle/adjacent controls,"[""fixed train/validation/OOS boundary until WFO contract is written"", ""fixed threshold policy until explicitly predeclared"", ""fixed lot/risk logic during diagnostic scoring"", ""Tier A separate, Tier B separate, and Tier A+B combined reporting"", ""no runtime authority without MT5 tester report and telemetry""]",path-quality measurement and predeclared failure memory labels,net/PF-only acceptance when recovery or underwater stretch fails,US100 M5 research branch design; post-2026-04-14 forward evidence remains research-only,future materialization can test the branch without forbidden tuning or direct pocket filtering,"branch only improves through forbidden tuning, direct filters, or subject swap",Net/PF-only acceptance with hidden underwater stretch.,Stop or downgrade if any forbidden variable is required to improve the result.,"[""run330F_curve_pocket_report"", ""run330F_underwater_stretch_report"", ""run334F_underwater_diagnostics"", ""run334G_axis_failure_heatmap"", ""run335A_materialization_contract""]","[""negative_control_drawdown_shape""]",false,designed_ready_for_materialization,research_development_only_stage335C_branch_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,single_axis_guard,"[""regime_slice""]",regime_slice can guide a timestamp-safe research branch without direct forward-pocket fitting.,may_influence_next_design_only_not_candidate_selection,Stage334 failure memory; run335B guard inputs; no-trade/random/shuffle/adjacent controls,"[""fixed train/validation/OOS boundary until WFO contract is written"", ""fixed threshold policy until explicitly predeclared"", ""fixed lot/risk logic during diagnostic scoring"", ""Tier A separate, Tier B separate, and Tier A+B combined reporting"", ""no runtime authority without MT5 tester report and telemetry""]",regime input inventory and state labels defined before score reading,excluding known losing regime labels from Stage334 after looking at outcomes,US100 M5 research branch design; post-2026-04-14 forward evidence remains research-only,future materialization can test the branch without forbidden tuning or direct pocket filtering,"branch only improves through forbidden tuning, direct filters, or subject swap",Directly excluding the known losing regime labels from Stage334.,Stop or downgrade if any forbidden variable is required to improve the result.,"[""run330F_regime_attribution_report"", ""run330F_session_hour_month_regime_slices"", ""run334F_regime_slice_diagnostics"", ""run334G_axis_failure_heatmap"", ""run335A_materialization_contract""]","[""negative_control_regime_slice""]",false,designed_ready_for_materialization,research_development_only_stage335C_branch_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,runtime_guard,"[""runtime_parity""]",runtime_parity can guide a timestamp-safe research branch without direct forward-pocket fitting.,may_influence_next_design_only_not_candidate_selection,Stage334 failure memory; run335B guard inputs; no-trade/random/shuffle/adjacent controls,"[""fixed train/validation/OOS boundary until WFO contract is written"", ""fixed threshold policy until explicitly predeclared"", ""fixed lot/risk logic during diagnostic scoring"", ""Tier A separate, Tier B separate, and Tier A+B combined reporting"", ""no runtime authority without MT5 tester report and telemetry""]",runtime requirement manifest and parity checklist,compile-only or Python-only parity promoted to runtime authority,US100 M5 research branch design; post-2026-04-14 forward evidence remains research-only,future materialization can test the branch without forbidden tuning or direct pocket filtering,"branch only improves through forbidden tuning, direct filters, or subject swap",Compile-only or Python-only parity used as runtime authority.,Stop or downgrade if any forbidden variable is required to improve the result.,"[""run334B_runtime_parity_receipt"", ""run334B_source_authority_gate"", ""run334F_runtime_identity_diagnostics"", ""run334G_runtime_identity_review"", ""run335A_runtime_parity_bridge""]","[""negative_control_runtime_parity""]",false,designed_ready_for_materialization,research_development_only_stage335C_branch_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,subject_boundary_guard,"[""cp322a_exact_forward_handoff_missing""]",cp322a_exact_forward_handoff_missing can guide a timestamp-safe research branch without direct forward-pocket fitting.,may_influence_next_design_only_not_candidate_selection,Stage334 failure memory; run335B guard inputs; no-trade/random/shuffle/adjacent controls,"[""fixed train/validation/OOS boundary until WFO contract is written"", ""fixed threshold policy until explicitly predeclared"", ""fixed lot/risk logic during diagnostic scoring"", ""Tier A separate, Tier B separate, and Tier A+B combined reporting"", ""no runtime authority without MT5 tester report and telemetry""]",subject-boundary evidence and must-reject control only,run333E bridge or non-identity evidence treated as cp322A exact continuation,US100 M5 research branch design; post-2026-04-14 forward evidence remains research-only,future materialization can test the branch without forbidden tuning or direct pocket filtering,"branch only improves through forbidden tuning, direct filters, or subject swap",Treating run333E bridge or Stage330 non-identity attempts as cp322A exact continuation.,Stop or downgrade if any forbidden variable is required to improve the result.,"[""run329H_exact_handoff_feasibility_matrix"", ""run329H_route_signal_coverage_audit"", ""run334B_cp322a_identity_audit_manifest"", ""run334H_failure_memory_handoff"", ""run335A_materialization_contract""]","[""negative_control_cp322a_exact_forward_handoff_missing""]",false,designed_ready_for_materialization,research_development_only_stage335C_branch_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,cross_axis_guard,"[""cost_stress"", ""curve_pocket"", ""drawdown_shape""]",cost_stress can guide a timestamp-safe research branch without direct forward-pocket fitting. | curve_pocket can guide a timestamp-safe research branch without direct forward-pocket fitting. | drawdown_shape can guide a timestamp-safe research branch without direct forward-pocket fitting.,may_influence_next_design_only_not_candidate_selection,Stage334 failure memory; run335B guard inputs; no-trade/random/shuffle/adjacent controls,"[""fixed train/validation/OOS boundary until WFO contract is written"", ""fixed threshold policy until explicitly predeclared"", ""fixed lot/risk logic during diagnostic scoring"", ""Tier A separate, Tier B separate, and Tier A+B combined reporting"", ""no runtime authority without MT5 tester report and telemetry""]",interaction report schema and multi-axis guardrail view,using a combined failure pocket as a direct exclusion rule,US100 M5 research branch design; post-2026-04-14 forward evidence remains research-only,future materialization can test the branch without forbidden tuning or direct pocket filtering,"branch only improves through forbidden tuning, direct filters, or subject swap","Any design that changes lot, stop, target, or threshold after seeing cost failure. | Date, month, hour, or named pocket pruning copied from run334G. | Net/PF-only acceptance with hidden underwater stretch.",Stop or downgrade if any forbidden variable is required to improve the result. | Stop or downgrade if any forbidden variable is required to improve the result. | Stop or downgrade if any forbidden variable is required to improve the result.,"[""run330F_cost_stress_report"", ""run330F_curve_pocket_report"", ""run330F_underwater_stretch_report"", ""run334F_cost_stress_diagnostics"", ""run334F_curve_pocket_diagnostics"", ""run334F_underwater_diagnostics"", ""run334G_axis_failure_heatmap"", ""run335A_materialization_contract""]","[""negative_control_cost_stress"", ""negative_control_curve_pocket"", ""negative_control_drawdown_shape""]",false,designed_ready_for_materialization,research_development_only_stage335C_branch_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,cross_axis_guard,"[""regime_slice"", ""direction""]",regime_slice can guide a timestamp-safe research branch without direct forward-pocket fitting. | direction can guide a timestamp-safe research branch without direct forward-pocket fitting.,may_influence_next_design_only_not_candidate_selection,Stage334 failure memory; run335B guard inputs; no-trade/random/shuffle/adjacent controls,"[""fixed train/validation/OOS boundary until WFO contract is written"", ""fixed threshold policy until explicitly predeclared"", ""fixed lot/risk logic during diagnostic scoring"", ""Tier A separate, Tier B separate, and Tier A+B combined reporting"", ""no runtime authority without MT5 tester report and telemetry""]",predeclared regime-by-side attribution view,side-specific or regime-specific threshold tuning,US100 M5 research branch design; post-2026-04-14 forward evidence remains research-only,future materialization can test the branch without forbidden tuning or direct pocket filtering,"branch only improves through forbidden tuning, direct filters, or subject swap",Directly excluding the known losing regime labels from Stage334. | Side drop or side-specific threshold chosen from forward stress outcome.,Stop or downgrade if any forbidden variable is required to improve the result. | Stop or downgrade if any forbidden variable is required to improve the result.,"[""run330F_long_short_attribution_report"", ""run330F_regime_attribution_report"", ""run330F_session_hour_month_regime_slices"", ""run334F_direction_diagnostics"", ""run334F_regime_slice_diagnostics"", ""run334G_axis_failure_heatmap"", ""run335A_materialization_contract""]","[""negative_control_direction"", ""negative_control_regime_slice""]",false,designed_ready_for_materialization,research_development_only_stage335C_branch_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b10_subject_swap_negative_control,subject_swap_negative_control,negative_control_guard,"[""runtime_parity"", ""cp322a_exact_forward_handoff_missing""]",runtime_parity can guide a timestamp-safe research branch without direct forward-pocket fitting. | cp322a_exact_forward_handoff_missing can guide a timestamp-safe research branch without direct forward-pocket fitting.,may_influence_next_design_only_not_candidate_selection,Stage334 failure memory; run335B guard inputs; no-trade/random/shuffle/adjacent controls,"[""fixed train/validation/OOS boundary until WFO contract is written"", ""fixed threshold policy until explicitly predeclared"", ""fixed lot/risk logic during diagnostic scoring"", ""Tier A separate, Tier B separate, and Tier A+B combined reporting"", ""no runtime authority without MT5 tester report and telemetry""]",must-reject control package and source authority check,"identity bridge, replay bridge, or non-identity package treated as same subject",US100 M5 research branch design; post-2026-04-14 forward evidence remains research-only,future materialization can test the branch without forbidden tuning or direct pocket filtering,"branch only improves through forbidden tuning, direct filters, or subject swap",Compile-only or Python-only parity used as runtime authority. | Treating run333E bridge or Stage330 non-identity attempts as cp322A exact continuation.,Stop or downgrade if any forbidden variable is required to improve the result. | Stop or downgrade if any forbidden variable is required to improve the result.,"[""run329H_exact_handoff_feasibility_matrix"", ""run329H_route_signal_coverage_audit"", ""run334B_cp322a_identity_audit_manifest"", ""run334B_runtime_parity_receipt"", ""run334B_source_authority_gate"", ""run334F_runtime_identity_diagnostics"", ""run334G_runtime_identity_review"", ""run334H_failure_memory_handoff"", ""run335A_materialization_contract"", ""run335A_runtime_parity_bridge""]","[""negative_control_cp322a_exact_forward_handoff_missing"", ""negative_control_runtime_parity""]",false,designed_ready_for_materialization,research_development_only_stage335C_branch_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
