ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1__mt5_tier_a_only_s240_highbonus010_samecap_validation_is,240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_tier_a_only_s240_highbonus010_samecap_validation_is,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_tier_a_only_s240_highbonus010_samecap_validation_is,Tier A,trading_risk_execution,baseline_adapter_stage240_highbonus_dd_midpf_repair,completed,open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final,stages/240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff/02_runs/run240A/mt5/reports/Project_Obsidian_Prime_v2_run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1_s240_highbonus010_samecap_ta_val.htm,net_profit=967.85;pf=1.57;expectancy=3.6;trades=269;win_rate=55.02;decision=open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_highbonus_dd_midpf_repair_after_score_shape_tradeoff,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=150.67;recovery=6.42;fill=471;reject=0;skip=42964;subtypes=NA;next_stage=241_adapter_research__stage240_highbonus_repair_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1__mt5_routed_s240_highbonus010_samecap_validation_is,240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_routed_s240_highbonus010_samecap_validation_is,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_routed_s240_highbonus010_samecap_validation_is,Tier A+B,trading_risk_execution,baseline_adapter_stage240_highbonus_dd_midpf_repair,completed,open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final,stages/240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff/02_runs/run240A/mt5/reports/Project_Obsidian_Prime_v2_run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1_s240_highbonus010_samecap_rt_val.htm,net_profit=967.85;pf=1.57;expectancy=3.6;trades=269;win_rate=55.02;decision=open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_highbonus_dd_midpf_repair_after_score_shape_tradeoff,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=150.67;recovery=6.42;fill=471;reject=0;skip=42964;next_stage=241_adapter_research__stage240_highbonus_repair_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1__mt5_tier_a_only_s240_highbonus010_samecap_oos,240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_tier_a_only_s240_highbonus010_samecap_oos,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_tier_a_only_s240_highbonus010_samecap_oos,Tier A,trading_risk_execution,baseline_adapter_stage240_highbonus_dd_midpf_repair,completed,open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final,stages/240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff/02_runs/run240A/mt5/reports/Project_Obsidian_Prime_v2_run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1_s240_highbonus010_samecap_ta_oos.htm,net_profit=812.8;pf=1.78;expectancy=4.17;trades=195;win_rate=56.41;decision=open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_highbonus_dd_midpf_repair_after_score_shape_tradeoff,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=112.81;recovery=7.21;fill=344;reject=0;skip=29753;subtypes=NA;next_stage=241_adapter_research__stage240_highbonus_repair_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1__mt5_routed_s240_highbonus010_samecap_oos,240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_routed_s240_highbonus010_samecap_oos,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_routed_s240_highbonus010_samecap_oos,Tier A+B,trading_risk_execution,baseline_adapter_stage240_highbonus_dd_midpf_repair,completed,open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final,stages/240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff/02_runs/run240A/mt5/reports/Project_Obsidian_Prime_v2_run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1_s240_highbonus010_samecap_rt_oos.htm,net_profit=812.8;pf=1.78;expectancy=4.17;trades=195;win_rate=56.41;decision=open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_highbonus_dd_midpf_repair_after_score_shape_tradeoff,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=112.81;recovery=7.21;fill=344;reject=0;skip=29753;next_stage=241_adapter_research__stage240_highbonus_repair_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1__mt5_tier_a_only_s240_highbonus010_cap0275_validation_is,240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_tier_a_only_s240_highbonus010_cap0275_validation_is,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_tier_a_only_s240_highbonus010_cap0275_validation_is,Tier A,trading_risk_execution,baseline_adapter_stage240_highbonus_dd_midpf_repair,completed,open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final,stages/240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff/02_runs/run240A/mt5/reports/Project_Obsidian_Prime_v2_run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1_s240_highbonus010_cap0275_ta_val.htm,net_profit=804.67;pf=1.58;expectancy=2.99;trades=269;win_rate=55.02;decision=open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_highbonus_dd_midpf_repair_after_score_shape_tradeoff,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=122.46;recovery=6.57;fill=471;reject=0;skip=42964;subtypes=NA;next_stage=241_adapter_research__stage240_highbonus_repair_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1__mt5_routed_s240_highbonus010_cap0275_validation_is,240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_routed_s240_highbonus010_cap0275_validation_is,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_routed_s240_highbonus010_cap0275_validation_is,Tier A+B,trading_risk_execution,baseline_adapter_stage240_highbonus_dd_midpf_repair,completed,open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final,stages/240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff/02_runs/run240A/mt5/reports/Project_Obsidian_Prime_v2_run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1_s240_highbonus010_cap0275_rt_val.htm,net_profit=804.67;pf=1.58;expectancy=2.99;trades=269;win_rate=55.02;decision=open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_highbonus_dd_midpf_repair_after_score_shape_tradeoff,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=122.46;recovery=6.57;fill=471;reject=0;skip=42964;next_stage=241_adapter_research__stage240_highbonus_repair_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1__mt5_tier_a_only_s240_highbonus010_cap0275_oos,240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_tier_a_only_s240_highbonus010_cap0275_oos,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_tier_a_only_s240_highbonus010_cap0275_oos,Tier A,trading_risk_execution,baseline_adapter_stage240_highbonus_dd_midpf_repair,completed,open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final,stages/240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff/02_runs/run240A/mt5/reports/Project_Obsidian_Prime_v2_run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1_s240_highbonus010_cap0275_ta_oos.htm,net_profit=672.18;pf=1.79;expectancy=3.45;trades=195;win_rate=56.41;decision=open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_highbonus_dd_midpf_repair_after_score_shape_tradeoff,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=90.8;recovery=7.4;fill=344;reject=0;skip=29753;subtypes=NA;next_stage=241_adapter_research__stage240_highbonus_repair_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1__mt5_routed_s240_highbonus010_cap0275_oos,240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_routed_s240_highbonus010_cap0275_oos,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_routed_s240_highbonus010_cap0275_oos,Tier A+B,trading_risk_execution,baseline_adapter_stage240_highbonus_dd_midpf_repair,completed,open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final,stages/240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff/02_runs/run240A/mt5/reports/Project_Obsidian_Prime_v2_run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1_s240_highbonus010_cap0275_rt_oos.htm,net_profit=672.18;pf=1.79;expectancy=3.45;trades=195;win_rate=56.41;decision=open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_highbonus_dd_midpf_repair_after_score_shape_tradeoff,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=90.8;recovery=7.4;fill=344;reject=0;skip=29753;next_stage=241_adapter_research__stage240_highbonus_repair_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1__mt5_tier_a_only_s240_highbonus010_cap0251_validation_is,240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_tier_a_only_s240_highbonus010_cap0251_validation_is,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_tier_a_only_s240_highbonus010_cap0251_validation_is,Tier A,trading_risk_execution,baseline_adapter_stage240_highbonus_dd_midpf_repair,completed,open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final,stages/240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff/02_runs/run240A/mt5/reports/Project_Obsidian_Prime_v2_run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1_s240_highbonus010_cap0251_ta_val.htm,net_profit=718.17;pf=1.59;expectancy=2.67;trades=269;win_rate=55.02;decision=open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_highbonus_dd_midpf_repair_after_score_shape_tradeoff,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=106.92;recovery=6.72;fill=471;reject=0;skip=42964;subtypes=NA;next_stage=241_adapter_research__stage240_highbonus_repair_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1__mt5_routed_s240_highbonus010_cap0251_validation_is,240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_routed_s240_highbonus010_cap0251_validation_is,run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,mt5_routed_s240_highbonus010_cap0251_validation_is,Tier A+B,trading_risk_execution,baseline_adapter_stage240_highbonus_dd_midpf_repair,completed,open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final,stages/240_adapter_research__highbonus_dd_midpf_repair_after_score_shape_tradeoff/02_runs/run240A/mt5/reports/Project_Obsidian_Prime_v2_run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1_s240_highbonus010_cap0251_rt_val.htm,net_profit=718.17;pf=1.59;expectancy=2.67;trades=269;win_rate=55.02;decision=open_stage241_bounded_followup_due_to_highbonus_dd_midpf_tradeoff_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_highbonus_dd_midpf_repair_after_score_shape_tradeoff,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=106.92;recovery=6.72;fill=471;reject=0;skip=42964;next_stage=241_adapter_research__stage240_highbonus_repair_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
