run_id,candidate_id,queue_rank,variant_family,queue_status,source_variant_id,transform,h17_overlay_policy,cost_stress_policy,trade_splitting_status,top_n_status,net_profit,profit_factor,expectancy,trade_count,trade_density,long_trade_count,short_trade_count,short_share,closed_trade_drawdown_proxy,closed_trade_recovery_proxy,gross_profit_sum,gross_loss_sum,swap_sum,commission_sum,parent_trade_count,parent_net_profit,parent_profit_factor,parent_trade_density,parent_short_trade_count,net_delta_vs_parent,profit_factor_delta_vs_parent,trade_delta_vs_parent,short_delta_vs_parent,stress_adjusted_net_swap_haircut_1x,stress_adjusted_net_delta_vs_parent,feature_boundary,claim_boundary,candidate_status,selection_score
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,9,session_focus(세션 집중),ready_for_proxy_scout(프록시 정찰 준비),cd02_ca01_clone_current_session,focus_h17_overlay_only(17시 오버레이 집중),focus_best_overlay_open_hour=17,hour_focus_seed_only,"not_used_no_added_entries(미사용, 추가 진입 없음)","not_used_fixed_rule_surface(미사용, 고정 규칙 표면)",1001.5,1.3999745705,0.9945382324,1007,3.2070063694,903,104,0.1032770606,67.67,14.7997635584,3523.4,-2516.76,-5.14,0.0,1008,997.49,1.3977475137,3.2101910828,105,4.01,0.0022270568,-1,-1,996.36,-1.13,entry-known source_bucket/open_hour/month/probabilities only(진입기지 원천/시간/월/확률만),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,"proxy_review_candidate_no_split(프록시 검토 후보, 무분할)",187.7175284
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg07_native_short_cost_firewall,7,cost_layering(비용 층화),ready_for_proxy_scout(프록시 정찰 준비),cd02_ca01_clone_current_session,native_short_hour17_20_cost_firewall(기본 숏 17/20시 비용 방화벽),keep_synthetic_overlay,native_short_swap_cost_firewall,"not_used_no_added_entries(미사용, 추가 진입 없음)","not_used_fixed_rule_surface(미사용, 고정 규칙 표면)",1071.27,1.4472258461,1.0831850354,989,3.1496815287,903,86,0.0869565217,67.67,15.8307965125,3483.27,-2406.86,-5.14,0.0,1008,997.49,1.3977475137,3.2101910828,105,73.78,0.0494783324,-19,-19,1066.13,68.64,entry-known source_bucket/open_hour/month/probabilities only(진입기지 원천/시간/월/확률만),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,"watch_short_floor_below_100(관찰, 숏 100개 미만)",167.7511662
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg12_trade_shape_quality_no_split,12,trade_shape(거래 형태),ready_for_proxy_scout(프록시 정찰 준비),cd02_ca01_clone_current_session,"entry_known_source_quality_no_split(진입기지 원천 품질, 무분할)",no_count_split_quality_surface,hold_and_source_quality_guard,"not_used_no_added_entries(미사용, 추가 진입 없음)","not_used_fixed_rule_surface(미사용, 고정 규칙 표면)",1033.47,1.4226630855,1.040755287,993,3.1624203822,903,90,0.0906344411,67.67,15.2722033397,3495.91,-2457.3,-5.14,0.0,1008,997.49,1.3977475137,3.2101910828,105,35.98,0.0249155718,-15,-15,1028.33,30.84,entry-known source_bucket/open_hour/month/probabilities only(진입기지 원천/시간/월/확률만),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,"watch_short_floor_below_100(관찰, 숏 100개 미만)",153.3497859
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg08_bad_overlay_month_guard_scout,8,regime_guard(국면 가드),ready_for_proxy_scout(프록시 정찰 준비),cd02_ca01_clone_current_session,drop_negative_overlay_months(음수 오버레이 월 제거),"guard_negative_overlay_months=2025-02,2025-04,2025-06,2025-07,2025-08,2026-03",month_guard_seed_only,"not_used_no_added_entries(미사용, 추가 진입 없음)","not_used_fixed_rule_surface(미사용, 고정 규칙 표면)",1031.29,1.4210169271,1.0396068548,992,3.1592356688,903,89,0.0897177419,67.67,15.2399881779,3498.16,-2461.73,-5.14,0.0,1008,997.49,1.3977475137,3.2101910828,105,33.8,0.0232694134,-16,-16,1026.15,28.66,entry-known source_bucket/open_hour/month/probabilities only(진입기지 원천/시간/월/확률만),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,"watch_short_floor_below_100(관찰, 숏 100개 미만)",148.4047067
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg01_current_session_semantics_anchor,1,semantics_anchor(의미 기준),ready_for_proxy_scout(프록시 정찰 준비),cd02_ca01_clone_current_session,preserve_cd02_current_session(CD02 현재 세션 보존),keep_h17_overlay_as_is,none,"not_used_no_added_entries(미사용, 추가 진입 없음)","not_used_fixed_rule_surface(미사용, 고정 규칙 표면)",997.49,1.3977475137,0.9895734127,1008,3.2101910828,903,105,0.1041666667,67.67,14.7405053938,3523.4,-2520.77,-5.14,0.0,1008,997.49,1.3977475137,3.2101910828,105,0.0,0.0,0,0,992.35,-5.14,entry-known source_bucket/open_hour/month/probabilities only(진입기지 원천/시간/월/확률만),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,"diagnostic_watch_no_package(진단 관찰, 패키지 아님)",125.0
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg10_gross_net_swap_layered_score,10,cost_layering(비용 층화),ready_for_proxy_scout(프록시 정찰 준비),cd02_ca01_clone_current_session,preserve_cd02_current_session(CD02 현재 세션 보존),rank_by_gross_net_swap_layered_score,swap_haircut_1x,"not_used_no_added_entries(미사용, 추가 진입 없음)","not_used_fixed_rule_surface(미사용, 고정 규칙 표면)",997.49,1.3977475137,0.9895734127,1008,3.2101910828,903,105,0.1041666667,67.67,14.7405053938,3523.4,-2520.77,-5.14,0.0,1008,997.49,1.3977475137,3.2101910828,105,0.0,0.0,0,0,992.35,-5.14,entry-known source_bucket/open_hour/month/probabilities only(진입기지 원천/시간/월/확률만),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,"diagnostic_watch_no_package(진단 관찰, 패키지 아님)",125.0
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg11_short_balance_floor_guard,11,side_balance(방향 균형),ready_for_proxy_scout(프록시 정찰 준비),cd02_ca01_clone_current_session,"short_floor_guard_no_filter(숏 100개 하한 가드, 필터 없음)",short_count_floor_100_and_overlay_kept,short_balance_guard,"not_used_no_added_entries(미사용, 추가 진입 없음)","not_used_fixed_rule_surface(미사용, 고정 규칙 표면)",997.49,1.3977475137,0.9895734127,1008,3.2101910828,903,105,0.1041666667,67.67,14.7405053938,3523.4,-2520.77,-5.14,0.0,1008,997.49,1.3977475137,3.2101910828,105,0.0,0.0,0,0,992.35,-5.14,entry-known source_bucket/open_hour/month/probabilities only(진입기지 원천/시간/월/확률만),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,"diagnostic_watch_no_package(진단 관찰, 패키지 아님)",125.0
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg02_h17_overlay_loose_margin_floor,2,h17_overlay_quality(17시 오버레이 품질),ready_for_proxy_scout(프록시 정찰 준비),cd02_ca01_clone_current_session,"drop_weak_h17_overlay(ps>=0.449557,margin>=0.0882)(약한 17시 오버레이 제거)",synthetic_overlay_p_short_q25_margin_q25,none,"not_used_no_added_entries(미사용, 추가 진입 없음)","not_used_fixed_rule_surface(미사용, 고정 규칙 표면)",934.33,1.3769686659,0.9399698189,994,3.1656050955,903,91,0.0915492958,87.24,10.7098807886,3431.64,-2492.17,-5.14,0.0,1008,997.49,1.3977475137,3.2101910828,105,-63.16,-0.0207788478,-14,-14,929.19,-68.3,entry-known source_bucket/open_hour/month/probabilities only(진입기지 원천/시간/월/확률만),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,"negative_proxy_net_pf_worse(부정 프록시, 순수익/PF 악화)",44.0965761
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg03_h17_overlay_mid_margin_floor,3,h17_overlay_quality(17시 오버레이 품질),ready_for_proxy_scout(프록시 정찰 준비),cd02_ca01_clone_current_session,"drop_weak_h17_overlay(ps>=0.456788,margin>=0.10307)(약한 17시 오버레이 제거)",synthetic_overlay_p_short_q50_margin_q50,none,"not_used_no_added_entries(미사용, 추가 진입 없음)","not_used_fixed_rule_surface(미사용, 고정 규칙 표면)",923.49,1.3771744914,0.9394608342,983,3.1305732484,903,80,0.0813835198,69.76,13.2381020642,3390.7,-2462.07,-5.14,0.0,1008,997.49,1.3977475137,3.2101910828,105,-74.0,-0.0205730223,-25,-25,918.35,-79.14,entry-known source_bucket/open_hour/month/probabilities only(진입기지 원천/시간/월/확률만),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,"negative_proxy_net_pf_worse(부정 프록시, 순수익/PF 악화)",4.11348885
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg04_h17_overlay_strict_margin_floor,4,h17_overlay_quality_extreme(17시 오버레이 품질 극단),ready_for_proxy_scout(프록시 정찰 준비),cd02_ca01_clone_current_session,"drop_weak_h17_overlay(ps>=0.471477,margin>=0.118213)(약한 17시 오버레이 제거)",synthetic_overlay_p_short_q75_margin_q75,none,"not_used_no_added_entries(미사용, 추가 진입 없음)","not_used_fixed_rule_surface(미사용, 고정 규칙 표면)",912.52,1.3754408359,0.9359179487,975,3.1050955414,903,72,0.0738461538,73.15,12.4746411483,3361.88,-2444.22,-5.14,0.0,1008,997.49,1.3977475137,3.2101910828,105,-84.97,-0.0223066778,-33,-33,907.38,-90.11,entry-known source_bucket/open_hour/month/probabilities only(진입기지 원천/시간/월/확률만),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,"negative_proxy_net_pf_worse(부정 프록시, 순수익/PF 악화)",-27.1413389
