queue_id,priority,source_artifact,task,success_condition,forbidden,claim_boundary
review_branch_spec_card_completeness,1,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336B/branch_spec_cards.csv,"Review every branch spec card for source constraints, required outputs, controls, and forbidden actions.",all branch cards remain selection-ineligible and review-ready,candidate_selection;model_training_before_review,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
review_proxy_block_manifest,2,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336B/score_input_allowlist_and_proxy_block_manifest.csv,Verify old proxy values are blocked from rank and Forward decision paths.,rank_use and forward_decision_use stay blocked for old proxy rows,proxy_rank_use;retrofit_proxy_to_mt5_profit,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
review_gate_template_coverage,3,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336B/gate_template_manifest.csv,"Verify each branch has cost, curve, underwater, direction, regime, and lot-normalized gate templates.",branch_count times gate_count coverage is complete,skip_gate_after_good_kpi;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
review_runtime_preflight_schema,4,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336B/runtime_parity_preflight_schema.csv,Verify runtime preflight requires feature/model/report/telemetry/row-level parity identity.,future MT5 runtime probe cannot claim authority without tester and telemetry evidence,runtime_authority_without_tester_output,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
review_negative_control_enforcement,5,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336B/negative_control_checklist.csv,"Verify lookahead, proxy, threshold, lot, side, regime, and runtime authority controls are enforceable.",each branch carries all global controls and explicit branch controls,skip_negative_control_after_good_kpi,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
review_regime_slice_schema,6,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336B/regime_slice_output_schema.csv,"Verify session, hour, month, volatility, ADX, VIX, USD, and rate slices are attribution-only.",regime slices cannot become after-result branch filters,pick_profitable_slice_after_result,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
review_package_repair_proxy_exclusion_handoff_contract,10,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336B/materialized_input_package_manifest.csv,Review materialized package for repair_proxy_exclusion_handoff_contract.,package can move to controlled research implementation only after review passes,candidate_selection;Forward_Passed;runtime_authority,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
review_package_defense_cost_curve_underwater_gate,10,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336B/materialized_input_package_manifest.csv,Review materialized package for defense_cost_curve_underwater_gate.,package can move to controlled research implementation only after review passes,candidate_selection;Forward_Passed;runtime_authority,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
review_package_defense_direction_symmetry_negative_control,10,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336B/materialized_input_package_manifest.csv,Review materialized package for defense_direction_symmetry_negative_control.,package can move to controlled research implementation only after review passes,candidate_selection;Forward_Passed;runtime_authority,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
review_package_offense_m48_plain_density_quality_seed,10,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336B/materialized_input_package_manifest.csv,Review materialized package for offense_m48_plain_density_quality_seed.,package can move to controlled research implementation only after review passes,candidate_selection;Forward_Passed;runtime_authority,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
