run_id,pair_id,parameter,left_value,right_value,difference_category,functional_drift_flag,claim_boundary
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca01_vs_bx3,InpExplorationLabel,stage364_BX3GuardStack__RuntimeProbe,stage364_OverlayHour17NativeShort__RuntimeAblation,run_identity_expected(실행 정체성 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca01_vs_bx3,InpFeatureCsvPath,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/features/density_lift_trade_shape_features.csv,Project_Obsidian_Prime_v2/stage364/run364BX_overlay_hour17_native_short_ablation/features/density_lift_trade_shape_features.csv,"input_path_same_source_hash_expected(입력 경로 차이, 원천 해시 확인 필요)",False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca01_vs_bx3,InpMagic,36427001,36426023,run_identity_expected(실행 정체성 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca01_vs_bx3,InpModelPath,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/models/h12_move5__rf5_l80_n64.onnx,Project_Obsidian_Prime_v2/stage364/run364BX_overlay_hour17_native_short_ablation/models/h12_move5__rf5_l80_n64.onnx,"input_path_same_source_hash_expected(입력 경로 차이, 원천 해시 확인 필요)",False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca01_vs_bx3,InpRunId,run364CA_execute_bx03_guard_stack_runtime_probe_without_db_v1_run364CA_ca01_bx03_semantics_control,run364BX_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1_run364BX_bx03_hour17_overlay_weak_late_firewall,run_identity_expected(실행 정체성 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca01_vs_bx3,InpSplitLabel,validation_oos_ca01_bx03_semantics_control,validation_oos_bx03_hour17_late_firewall,run_identity_expected(실행 정체성 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca01_vs_bx3,InpSummaryCsvPath,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/telemetry/run364CA_ca01_bx03_semantics_control_summary.csv,Project_Obsidian_Prime_v2/stage364/run364BX_overlay_hour17_native_short_ablation/telemetry/run364BX_bx03_hour17_overlay_weak_late_firewall_summary.csv,output_path_expected(출력 경로 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca01_vs_bx3,InpTelemetryCsvPath,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/telemetry/run364CA_ca01_bx03_semantics_control_telemetry.csv,Project_Obsidian_Prime_v2/stage364/run364BX_overlay_hour17_native_short_ablation/telemetry/run364BX_bx03_hour17_overlay_weak_late_firewall_telemetry.csv,output_path_expected(출력 경로 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca02_vs_ca01,InpCalendarBlockStartHour,22,21,functional_parameter(기능 파라미터),True,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca02_vs_ca01,InpMagic,36427002,36427001,run_identity_expected(실행 정체성 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
