protocol_id,branch_id,branch_name,runtime_requirement,required_before,evidence,runtime_claim_boundary,bridge_status,run335G_status,mt5_runtime_probe_result_status,claim_effect
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,not_applicable_for_this_protocol_design,runtime_probe,out_of_scope_by_claim_design_only,research_only_no_runtime_probe_no_runtime_authority,out_of_scope_by_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,not_applicable_for_this_protocol_design,runtime_probe,out_of_scope_by_claim_design_only,research_only_no_runtime_probe_no_runtime_authority,out_of_scope_by_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,not_applicable_for_this_protocol_design,runtime_probe,out_of_scope_by_claim_design_only,research_only_no_runtime_probe_no_runtime_authority,out_of_scope_by_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,not_applicable_for_this_protocol_design,runtime_probe,out_of_scope_by_claim_design_only,research_only_no_runtime_probe_no_runtime_authority,out_of_scope_by_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,not_applicable_for_this_protocol_design,runtime_probe,out_of_scope_by_claim_design_only,research_only_no_runtime_probe_no_runtime_authority,out_of_scope_by_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,exact_feature_order,runtime_probe,feature_order_hash and adapter manifest,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,model_identity,runtime_probe,"ONNX sha256, package manifest, threshold policy",not_applicable_until_mt5_tester_output_and_telemetry_exist,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,file_handoff_identity,runtime_probe,"handoff manifest, row counts, signal timestamps",not_applicable_until_mt5_tester_output_and_telemetry_exist,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,MT5_strategy_tester_output,runtime_authority_candidate,"tester report, telemetry, settings, spread/slippage record",not_applicable_until_mt5_tester_output_and_telemetry_exist,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,cp322a_exact_subject_boundary,any cp322A exact Forward Passed/Failed claim,genuine post-2026-04-14 route-signal source; source_authority_gate=stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334B/source_authority_gate_receipt.csv,cp322A exact remains blocked unless exact handoff is proven,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,exact_feature_order,runtime_probe,feature_order_hash and adapter manifest,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,model_identity,runtime_probe,"ONNX sha256, package manifest, threshold policy",not_applicable_until_mt5_tester_output_and_telemetry_exist,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,file_handoff_identity,runtime_probe,"handoff manifest, row counts, signal timestamps",not_applicable_until_mt5_tester_output_and_telemetry_exist,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,MT5_strategy_tester_output,runtime_authority_candidate,"tester report, telemetry, settings, spread/slippage record",not_applicable_until_mt5_tester_output_and_telemetry_exist,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,cp322a_exact_subject_boundary,any cp322A exact Forward Passed/Failed claim,genuine post-2026-04-14 route-signal source; source_authority_gate=stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334B/source_authority_gate_receipt.csv,cp322A exact remains blocked unless exact handoff is proven,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,not_applicable_for_this_protocol_design,runtime_probe,out_of_scope_by_claim_design_only,research_only_no_runtime_probe_no_runtime_authority,out_of_scope_by_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,not_applicable_for_this_protocol_design,runtime_probe,out_of_scope_by_claim_design_only,research_only_no_runtime_probe_no_runtime_authority,out_of_scope_by_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,exact_feature_order,runtime_probe,feature_order_hash and adapter manifest,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,model_identity,runtime_probe,"ONNX sha256, package manifest, threshold policy",not_applicable_until_mt5_tester_output_and_telemetry_exist,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,file_handoff_identity,runtime_probe,"handoff manifest, row counts, signal timestamps",not_applicable_until_mt5_tester_output_and_telemetry_exist,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,MT5_strategy_tester_output,runtime_authority_candidate,"tester report, telemetry, settings, spread/slippage record",not_applicable_until_mt5_tester_output_and_telemetry_exist,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,cp322a_exact_subject_boundary,any cp322A exact Forward Passed/Failed claim,genuine post-2026-04-14 route-signal source; source_authority_gate=stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334B/source_authority_gate_receipt.csv,cp322A exact remains blocked unless exact handoff is proven,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,exact_feature_order,runtime_probe,feature_order_hash and adapter manifest,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,model_identity,runtime_probe,"ONNX sha256, package manifest, threshold policy",not_applicable_until_mt5_tester_output_and_telemetry_exist,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,file_handoff_identity,runtime_probe,"handoff manifest, row counts, signal timestamps",not_applicable_until_mt5_tester_output_and_telemetry_exist,required_before_any_runtime_claim,runtime_requirement_materialized_or_out_of_scope,not_executed_in_run335G,runtime authority remains unavailable until tester report and telemetry exist
