record_view,tier_scope,candidate_id,candidate_alias,candidate_role,source_test_id,followup_profile,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s264_aia_rep_trend_strength_adx_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,weekday,Monday,44,-289.75,240.93,-530.68,0.454002,-6.585227,0.409091,13.385,-20.410769,0.655781,293.32,58.248109,43,0.977273,5,-0.987829,deep_negative_or_dd_slice
mt5_ta_s264_aih_abl_volatility_bandwidth_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,aih_core_role_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,weekday,Monday,42,-243.84,175.22,-419.06,0.418126,-5.805714,0.380952,10.95125,-16.117692,0.679455,246.74,49.063432,41,0.97619,5,-0.988247,deep_negative_or_dd_slice
mt5_ta_s264_aia_rep_volatility_atr_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,weekday,Monday,44,-234.18,227.05,-461.23,0.492271,-5.322273,0.454545,11.3525,-19.217917,0.590725,237.19,47.154132,43,0.977273,4,-0.98731,deep_negative_or_dd_slice
mt5_ta_s264_aih_abl_volatility_bandwidth_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,aih_core_role_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,month,2024-12,23,-194.95,154.56,-349.51,0.442219,-8.476087,0.304348,22.08,-21.844375,1.010787,198.79,39.758,23,1.0,5,-0.980683,deep_negative_or_dd_slice
mt5_ta_s264_aia_rep_trend_strength_adx_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,month,2024-12,23,-157.55,236.33,-393.88,0.600005,-6.85,0.434783,23.633,-30.298462,0.780007,206.38,41.276,23,1.0,4,-0.763398,deep_negative_or_dd_slice
mt5_ta_s264_aia_rep_volatility_atr_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,month,2024-12,23,-154.93,221.5,-376.43,0.588423,-6.736087,0.391304,24.611111,-26.887857,0.915324,187.46,37.31067,16,0.956522,4,-0.82647,deep_negative_or_dd_slice
mt5_ta_s264_aia_rep_trend_strength_adx_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-97.91,0,-97.91,0.0,-32.636667,0.0,,-32.636667,,97.91,19.582,3,1.0,3,-1.0,negative_fragile_slice
mt5_ta_s264_aia_rep_volatility_atr_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-91.94,0,-91.94,0.0,-30.646667,0.0,,-30.646667,,91.94,18.388,3,1.0,3,-1.0,negative_fragile_slice
mt5_ta_s264_aih_abl_volatility_bandwidth_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,aih_core_role_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-83.05,0,-83.05,0.0,-27.683333,0.0,,-27.683333,,83.05,16.61,3,1.0,3,-1.0,negative_fragile_slice
mt5_ta_s264_aia_rep_volatility_atr_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,month,2024-07,39,-38.65,198.93,-237.58,0.837318,-0.991026,0.538462,9.472857,-13.198889,0.717701,83.88,16.776,39,1.0,5,-0.460777,minor_negative_slice
