artifact_binding_id,blueprint_id,branch_id,future_artifact_hint,registry_path,must_exist_before_execution_review,hash_required,registry_required,next_review,can_support_model_training,can_support_forward_decision,can_support_runtime_authority,claim_boundary
run336H_materialize_constraint_bound_runner_scaffolds_v1__repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder,repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder,repair_proxy_exclusion_handoff_contract,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator,repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator,repair_proxy_exclusion_handoff_contract,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template,repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template,repair_proxy_exclusion_handoff_contract,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__defense_cost_curve_underwater_gate__cost_stress_runner,defense_cost_curve_underwater_gate__cost_stress_runner,defense_cost_curve_underwater_gate,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__cost_stress_runner.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__defense_cost_curve_underwater_gate__rolling_curve_pocket_runner,defense_cost_curve_underwater_gate__rolling_curve_pocket_runner,defense_cost_curve_underwater_gate,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__rolling_curve_pocket_runner.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__defense_cost_curve_underwater_gate__underwater_stretch_runner,defense_cost_curve_underwater_gate__underwater_stretch_runner,defense_cost_curve_underwater_gate,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__underwater_stretch_runner.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__defense_cost_curve_underwater_gate__lot_normalized_view_builder,defense_cost_curve_underwater_gate__lot_normalized_view_builder,defense_cost_curve_underwater_gate,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__lot_normalized_view_builder.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__defense_direction_symmetry_negative_control__long_short_attribution_runner,defense_direction_symmetry_negative_control__long_short_attribution_runner,defense_direction_symmetry_negative_control,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__long_short_attribution_runner.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__defense_direction_symmetry_negative_control__direction_label_flip_canary_runner,defense_direction_symmetry_negative_control__direction_label_flip_canary_runner,defense_direction_symmetry_negative_control,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__direction_label_flip_canary_runner.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__defense_direction_symmetry_negative_control__side_drop_rejection_validator,defense_direction_symmetry_negative_control__side_drop_rejection_validator,defense_direction_symmetry_negative_control,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__side_drop_rejection_validator.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__offense_m48_plain_density_quality_seed__feature_family_seed_card_builder,offense_m48_plain_density_quality_seed__feature_family_seed_card_builder,offense_m48_plain_density_quality_seed,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_m48_plain_density_quality_seed__feature_family_seed_card_builder.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
