run_id,queue_id,axis_id,variant_id,queue_type,materialized_policy,session_policy,side_policy,restore_policy,combined_net_profit,combined_profit_factor,combined_trade_per_business_day,combined_short_count,pf_delta_vs_run364AJ_selected,density_delta_vs_run364AJ_selected,candidate_status,claim_boundary
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,density_anchor_hold6_pf_probe(밀도 기준 보유6 PF 탐침),hold_shape(보유 형태),density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold6,candidate(후보),density_anchor_hold6_pf_probe(밀도 기준 보유 6 PF 탐침),all_sessions(전체 세션),all_sides(전체 방향),max_hold6_trade_shape_probe(최대 보유 6 거래 형태 탐침),858.662,1.2724135667,3.5075075075,127,-0.0015222054,0.5015015015,watch_density_safe_pf_below_reference(밀도 안전이나 PF 기준 미달 관찰),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,control_replay_density_anchor(대조 재생 밀도 기준점),control_anchor(대조 기준),control_replay_density_anchor_대조_재생_밀도_기준점__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold8,control(대조),control_replay_density_anchor(대조 재생 밀도 기준),all_sessions(전체 세션),all_sides(전체 방향),none(없음),840.055,1.2739357721,3.006006006,119,0.0,0.0,watch_density_safe_pf_below_reference(밀도 안전이나 PF 기준 미달 관찰),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,density_anchor_short0455_edge(밀도 기준 숏0.455 경계),threshold_edge(임계값 경계),density_anchor_short0455_edge_밀도_기준_숏0_455_경계__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_455__floor0_00__hold8,candidate(후보),density_anchor_short0455_edge(밀도 기준 숏 0.455 경계),all_sessions_except_premarket_short(프리마켓 숏 제외 전체),"long_all_short_no_premarket(롱 전체, 숏 프리마켓 제외)",recover_density_edge_0_455(밀도 경계 0.455 복원),789.589,1.2670836468,2.9039039039,86,-0.0068521253,-0.1021021021,fail_density_floor(밀도 하한 실패),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_core_short_restore_budget_010(PF통과 핵심 숏 0.10 복원),short_restore(숏 복원),pfpass_core_short_restore_budget_010_PF통과_핵심_숏_0_10_복원__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,candidate(후보),pf_pass_core_short_density_restore_budget_010(PF 통과 핵심 숏 밀도 복원 0.10),pfpass_base_plus_core_short_budget(피에프 통과 기준 + 핵심 숏 예산),long_seed_short_core_budget_010(롱 씨앗 + 핵심 숏 0.10),restore_core_short_from_control_budget_010(대조에서 핵심 숏 0.10 복원),845.554,1.3287468527,2.6636636637,6,0.0548110806,-0.3423423423,fail_density_floor(밀도 하한 실패),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_guardrail_no_trade_split(PF통과 거래쪼개기 금지 가드),guardrail(가드레일),pfpass_guardrail_no_trade_split_PF통과_거래쪼개기_금지_가드__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,control(대조),pf_pass_guardrail_no_trade_split(PF 통과 거래 쪼개기 금지 가드),"guardrail_only_same_as_seed(가드레일 전용, 씨앗 동일)","guardrail_only_same_as_seed(가드레일 전용, 씨앗 동일)",no_trade_split_no_topn_guardrail(거래 쪼개기와 top_n 금지 가드),845.554,1.3287468527,2.6636636637,6,0.0548110806,-0.3423423423,fail_density_floor(밀도 하한 실패),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,dd_seed_density_restore_core_late(낙폭 씨앗 핵심후반 밀도 복원),dd_restore(낙폭 복원),dd_seed_density_restore_core_late_낙폭_씨앗_핵심후반_밀도_복원__seed_pfpass_core_plus_premarket_long_restore_PF_통과_핵심_프리마켓_롱_복원_ps0_5_floor0_0_hold8__ps0_45__floor0_00__hold8,candidate(후보),dd_seed_core_late_density_restore(낙폭 씨앗 핵심/후반 밀도 복원),us_cash_core_plus_post_cash_late_long(핵심 + 현금장 후반 롱),core_both_sides_late_long(핵심 양방향 + 후반 롱),restore_core_late_density_from_dd_seed(낙폭 씨앗에서 핵심/후반 밀도 복원),688.499,1.2534558955,2.7807807808,109,-0.0204798766,-0.2252252252,fail_density_floor(밀도 하한 실패),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_late_long_density_patch(PF통과 후반 롱 밀도 패치),late_long_restore(후반 롱 복원),pfpass_late_long_density_patch_PF통과_후반_롱_밀도_패치__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,candidate(후보),pf_pass_late_long_density_patch(PF 통과 후반 롱 밀도 패치),pfpass_base_plus_post_cash_late_long(PF 통과 기준 + 현금장 후반 롱),long_late_patch_short_seed(후반 롱 패치 + 숏 씨앗),restore_sparse_late_long_from_control(대조에서 희소 후반 롱 복원),810.666,1.310783255,2.6696696697,6,0.0368474829,-0.3363363363,fail_density_floor(밀도 하한 실패),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_month_pocket_observation(PF통과 월 포켓 관찰),market_behavior(시장 현상),pfpass_month_pocket_observation_PF통과_월_포켓_관찰__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,observation(관찰),"month_pocket_observation_no_filter(월 포켓 관찰, 필터 아님)",all_sessions(전체 세션),all_sides(전체 방향),"month_pockets_report_only_not_filter(월 포켓은 보고 전용, 필터 아님)",799.943,1.3066323163,2.6726726727,8,0.0326965442,-0.3333333333,fail_density_floor(밀도 하한 실패),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_validation_balance_patch(PF통과 검증 균형 패치),split_balance(분할 균형),pfpass_validation_balance_patch_PF통과_검증_균형_패치__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_01__hold8,candidate(후보),pf_pass_validation_balance_patch(PF 통과 검증 균형 패치),"all_sessions_with_validation_report(전체 세션, 검증 분리 보고)",all_sides(전체 방향),validation_balance_report_only(검증 균형 보고 전용),390.702,1.2128851815,1.7087087087,8,-0.0610505906,-1.2972972973,fail_density_floor(밀도 하한 실패),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_non_drag_session_restore(PF통과 비끌림 세션 복원),session_restore(세션 복원),pfpass_non_drag_session_restore_PF통과_비끌림_세션_복원__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_01__hold8,candidate(후보),pf_pass_non_drag_session_restore(PF 통과 비끌림 세션 복원),all_sessions_except_premarket_short(프리마켓 숏 제외 전체),"long_all_short_no_premarket(롱 전체, 숏 프리마켓 제외)",restore_non_drag_core_late_from_control(대조에서 비끌림 핵심/후반 복원),343.724,1.1795958461,1.7537537538,6,-0.094339926,-1.2522522522,fail_density_floor(밀도 하한 실패),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
