design_id,source_queue_id,source_matrix_id,candidate_id,candidate_alias,candidate_role,test_type,test_id,feature_family,features_or_replacements,prior_transform_type,prior_materialization_boundary,source_feature_file,source_feature_columns,source_surface_status,required_action_lane,run267T_evidence_status,run267T_signature_id,run267T_collapse_read,true_internal_requirement,success_criteria,failure_criteria,invalid_conditions,design_status,selected_candidate,onnx_readiness
run267U_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_aih__abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,feature_category_ablation(피처 범주 제거),abl_volatility_bandwidth,volatility_bandwidth,atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aih.csv,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,compressed_surface_only_upstream_rebuild_required,reconstruct_upstream_raw_feature_surface_before_true_ablation,executed_in_run267T,sig02,collapsed_across_all_five_candidates,bind_raw_ATR_ADX_DI_supertrend_vortex_bollinger_historical_vol_columns_before_drop_replace,feature_order_hash_changes_by_real_column_removal_or_replacement_and_KPI_shape_distinguishes_candidate,new_variant_keeps_proxy_only_boundary_or_collapses_to_same_two_KPI_signatures,2024_period_used_as_training_target_or_feature_order_claim_does_not_match_runtime_contract,needs_upstream_surface_rebuild_before_materialization,none,not_claimed
run267U_02_s264_aih_abl_trend_strength_direction,run267N_02_s264_aih_abl_trend_strength_direction,s264_aih__abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,challenger_core,feature_category_ablation(피처 범주 제거),abl_trend_strength_direction,trend_strength_direction,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aih.csv,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,compressed_surface_only_upstream_rebuild_required,reconstruct_upstream_raw_feature_surface_before_true_ablation,executed_in_run267T,sig01,collapsed_across_all_five_candidates,bind_raw_ATR_ADX_DI_supertrend_vortex_bollinger_historical_vol_columns_before_drop_replace,feature_order_hash_changes_by_real_column_removal_or_replacement_and_KPI_shape_distinguishes_candidate,new_variant_keeps_proxy_only_boundary_or_collapses_to_same_two_KPI_signatures,2024_period_used_as_training_target_or_feature_order_claim_does_not_match_runtime_contract,needs_upstream_surface_rebuild_before_materialization,none,not_claimed
run267U_03_s264_aih_rep_trend_strength_adx,run267N_03_s264_aih_rep_trend_strength_adx,s264_aih__rep_trend_strength_adx,s264_allow_inner_high_quarter,s264_aih,challenger_core,similar_feature_replacement(유사 피처 대체),rep_trend_strength_adx,trend_strength(추세 강도),adx_14 -> di_spread_14;vortex_indicator;supertrend_10_3,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aih.csv,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,compressed_surface_only_upstream_rebuild_required,reconstruct_upstream_raw_feature_surface_before_true_ablation,executed_in_run267T,sig01,collapsed_across_all_five_candidates,bind_raw_ATR_ADX_DI_supertrend_vortex_bollinger_historical_vol_columns_before_drop_replace,feature_order_hash_changes_by_real_column_removal_or_replacement_and_KPI_shape_distinguishes_candidate,new_variant_keeps_proxy_only_boundary_or_collapses_to_same_two_KPI_signatures,2024_period_used_as_training_target_or_feature_order_claim_does_not_match_runtime_contract,needs_upstream_surface_rebuild_before_materialization,none,not_claimed
run267U_04_s264_aih_rep_volatility_atr,run267N_04_s264_aih_rep_volatility_atr,s264_aih__rep_volatility_atr,s264_allow_inner_high_quarter,s264_aih,challenger_core,similar_feature_replacement(유사 피처 대체),rep_volatility_atr,volatility_risk(변동성 위험),atr_14 -> atr_50;atr_14_over_atr_50;historical_vol_20;historical_vol_5_over_20;bollinger_width_20,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aih.csv,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,compressed_surface_only_upstream_rebuild_required,reconstruct_upstream_raw_feature_surface_before_true_ablation,executed_in_run267T,sig02,collapsed_across_all_five_candidates,bind_raw_ATR_ADX_DI_supertrend_vortex_bollinger_historical_vol_columns_before_drop_replace,feature_order_hash_changes_by_real_column_removal_or_replacement_and_KPI_shape_distinguishes_candidate,new_variant_keeps_proxy_only_boundary_or_collapses_to_same_two_KPI_signatures,2024_period_used_as_training_target_or_feature_order_claim_does_not_match_runtime_contract,needs_upstream_surface_rebuild_before_materialization,none,not_claimed
run267U_05_s264_lc_abl_gate_rank_bucket,run267N_05_s264_lc_abl_gate_rank_bucket,s264_lc__abl_gate_rank_bucket,s264_lowrank_control,s264_lc,defensive_control,feature_category_ablation(피처 범주 제거),abl_gate_rank_bucket,source_feature_rank_bucket,stage258/262/264_source_feature_rank_bucket,direct_rank_bucket_neutralization(직접 순위 구간 중립화),direct_runtime_surface_ablation(직접 런타임 표면 제거),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_lc.csv,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,compressed_rank_column_available,direct_compressed_rank_ablation_possible_but_not_raw_market_feature_ablation,not_executed_in_run267T,,,change_existing_internal_feature_order_and_model_hash_before_mt5_attempt,feature_order_hash_changes_by_real_column_removal_or_replacement_and_KPI_shape_distinguishes_candidate,new_variant_keeps_proxy_only_boundary_or_collapses_to_same_two_KPI_signatures,2024_period_used_as_training_target_or_feature_order_claim_does_not_match_runtime_contract,direct_internal_compressed_column_probe_design_ready,none,not_claimed
run267U_06_s264_lc_abl_gate_variant_rule,run267N_06_s264_lc_abl_gate_variant_rule,s264_lc__abl_gate_variant_rule,s264_lowrank_control,s264_lc,defensive_control,feature_category_ablation(피처 범주 제거),abl_gate_variant_rule,source_feature_gate,stage258/262/264_source_feature_gate_*,direct_gate_filter_disable(직접 게이트 필터 비활성화),direct_runtime_surface_ablation(직접 런타임 표면 제거),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_lc.csv,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,compressed_gate_column_available,direct_compressed_gate_ablation_possible_but_not_raw_market_feature_ablation,not_executed_in_run267T,,,change_existing_internal_feature_order_and_model_hash_before_mt5_attempt,feature_order_hash_changes_by_real_column_removal_or_replacement_and_KPI_shape_distinguishes_candidate,new_variant_keeps_proxy_only_boundary_or_collapses_to_same_two_KPI_signatures,2024_period_used_as_training_target_or_feature_order_claim_does_not_match_runtime_contract,direct_internal_compressed_column_probe_design_ready,none,not_claimed
run267U_07_s264_lc_abl_trend_strength_direction,run267N_07_s264_lc_abl_trend_strength_direction,s264_lc__abl_trend_strength_direction,s264_lowrank_control,s264_lc,defensive_control,feature_category_ablation(피처 범주 제거),abl_trend_strength_direction,trend_strength_direction,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_lc.csv,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,compressed_surface_only_upstream_rebuild_required,reconstruct_upstream_raw_feature_surface_before_true_ablation,executed_in_run267T,sig01,collapsed_across_all_five_candidates,bind_raw_ATR_ADX_DI_supertrend_vortex_bollinger_historical_vol_columns_before_drop_replace,feature_order_hash_changes_by_real_column_removal_or_replacement_and_KPI_shape_distinguishes_candidate,new_variant_keeps_proxy_only_boundary_or_collapses_to_same_two_KPI_signatures,2024_period_used_as_training_target_or_feature_order_claim_does_not_match_runtime_contract,needs_upstream_surface_rebuild_before_materialization,none,not_claimed
run267U_08_s264_lc_rep_trend_strength_adx,run267N_08_s264_lc_rep_trend_strength_adx,s264_lc__rep_trend_strength_adx,s264_lowrank_control,s264_lc,defensive_control,similar_feature_replacement(유사 피처 대체),rep_trend_strength_adx,trend_strength(추세 강도),adx_14 -> di_spread_14;vortex_indicator;supertrend_10_3,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_lc.csv,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,compressed_surface_only_upstream_rebuild_required,reconstruct_upstream_raw_feature_surface_before_true_ablation,executed_in_run267T,sig01,collapsed_across_all_five_candidates,bind_raw_ATR_ADX_DI_supertrend_vortex_bollinger_historical_vol_columns_before_drop_replace,feature_order_hash_changes_by_real_column_removal_or_replacement_and_KPI_shape_distinguishes_candidate,new_variant_keeps_proxy_only_boundary_or_collapses_to_same_two_KPI_signatures,2024_period_used_as_training_target_or_feature_order_claim_does_not_match_runtime_contract,needs_upstream_surface_rebuild_before_materialization,none,not_claimed
run267U_09_s264_lc_rep_volatility_atr,run267N_09_s264_lc_rep_volatility_atr,s264_lc__rep_volatility_atr,s264_lowrank_control,s264_lc,defensive_control,similar_feature_replacement(유사 피처 대체),rep_volatility_atr,volatility_risk(변동성 위험),atr_14 -> atr_50;atr_14_over_atr_50;historical_vol_20;historical_vol_5_over_20;bollinger_width_20,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_lc.csv,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,compressed_surface_only_upstream_rebuild_required,reconstruct_upstream_raw_feature_surface_before_true_ablation,executed_in_run267T,sig02,collapsed_across_all_five_candidates,bind_raw_ATR_ADX_DI_supertrend_vortex_bollinger_historical_vol_columns_before_drop_replace,feature_order_hash_changes_by_real_column_removal_or_replacement_and_KPI_shape_distinguishes_candidate,new_variant_keeps_proxy_only_boundary_or_collapses_to_same_two_KPI_signatures,2024_period_used_as_training_target_or_feature_order_claim_does_not_match_runtime_contract,needs_upstream_surface_rebuild_before_materialization,none,not_claimed
run267U_10_s262_lih_abl_gate_rank_bucket,run267N_10_s262_lih_abl_gate_rank_bucket,s262_lih__abl_gate_rank_bucket,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,feature_category_ablation(피처 범주 제거),abl_gate_rank_bucket,source_feature_rank_bucket,stage258/262/264_source_feature_rank_bucket,direct_rank_bucket_neutralization(직접 순위 구간 중립화),direct_runtime_surface_ablation(직접 런타임 표면 제거),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s262_lih.csv,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter,compressed_rank_column_available,direct_compressed_rank_ablation_possible_but_not_raw_market_feature_ablation,not_executed_in_run267T,,,change_existing_internal_feature_order_and_model_hash_before_mt5_attempt,feature_order_hash_changes_by_real_column_removal_or_replacement_and_KPI_shape_distinguishes_candidate,new_variant_keeps_proxy_only_boundary_or_collapses_to_same_two_KPI_signatures,2024_period_used_as_training_target_or_feature_order_claim_does_not_match_runtime_contract,direct_internal_compressed_column_probe_design_ready,none,not_claimed
