plan_id,source_queue_id,priority,candidate_id,candidate_alias,candidate_role,profile_label,profile_token,source_test_id,source_queue_id_run267W,source_feature_file,source_model_file,source_feature_order_hash,source_feature_count,engineered_features,materialization_decision,source_limitation,claim_boundary
run267cf_01_s264_aih_loss_shape_proxy,run267cf_q01_loss_shape_state_minimal_bundle,P0,s264_allow_inner_high_quarter,s264_aih,challenger_core,loss_shape_proxy_minimal,loss_shape_proxy,rep_volatility_atr,run267W_04_s264_aih_rep_volatility_atr,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aih/run267w_04_s264_aih_rep_volatility_atr/features/s264_aih_rep_volatility_atr_true_internal.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aih/run267w_04_s264_aih_rep_volatility_atr/models/s264_aih_rep_volatility_atr_true_internal_model.csv,9a73828f6d51f71329536d8603e4ca27dcaa4c63ad7f6b254f7a293d899dd00d,32,stage267cf_adverse_excursion_proxy_score;stage267cf_profit_giveback_proxy_score;stage267cf_loss_cluster_bar_state_proxy_score,materialize_tier_a_and_duplicate_boundary_attempt_inputs,uses_run267W_bar_state_surface; true_trade_path_MAE_MFE_and_closed_trade_loss_cluster_not_available_yet,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cf_02_s264_lc_loss_shape_proxy,run267cf_q01_loss_shape_state_minimal_bundle,P0,s264_lowrank_control,s264_lc,defensive_control,loss_shape_proxy_minimal,loss_shape_proxy,rep_volatility_atr,run267W_09_s264_lc_rep_volatility_atr,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_lc/run267w_09_s264_lc_rep_volatility_atr/features/s264_lc_rep_volatility_atr_true_internal.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_lc/run267w_09_s264_lc_rep_volatility_atr/models/s264_lc_rep_volatility_atr_true_internal_model.csv,7a0b68ab4fd7060aa98cc39c4d86e65bd918cc713b6d225555c3e59f7419877e,32,stage267cf_adverse_excursion_proxy_score;stage267cf_profit_giveback_proxy_score;stage267cf_loss_cluster_bar_state_proxy_score,materialize_tier_a_and_duplicate_boundary_attempt_inputs,uses_run267W_bar_state_surface; true_trade_path_MAE_MFE_and_closed_trade_loss_cluster_not_available_yet,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cf_03_s262_lih_loss_shape_proxy,run267cf_q01_loss_shape_state_minimal_bundle,P0,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,loss_shape_proxy_minimal,loss_shape_proxy,rep_volatility_atr,run267W_14_s262_lih_rep_volatility_atr,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s262_lih/run267w_14_s262_lih_rep_volatility_atr/features/s262_lih_rep_volatility_atr_true_internal.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s262_lih/run267w_14_s262_lih_rep_volatility_atr/models/s262_lih_rep_volatility_atr_true_internal_model.csv,96e663581264f20e6acc29f06f8d267a2af27e7ced4c3fa851d18e0c645ec725,32,stage267cf_adverse_excursion_proxy_score;stage267cf_profit_giveback_proxy_score;stage267cf_loss_cluster_bar_state_proxy_score,materialize_tier_a_and_duplicate_boundary_attempt_inputs,uses_run267W_bar_state_surface; true_trade_path_MAE_MFE_and_closed_trade_loss_cluster_not_available_yet,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cf_04_s264_aia_loss_shape_proxy,run267cf_q01_loss_shape_state_minimal_bundle,P0,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,loss_shape_proxy_minimal,loss_shape_proxy,rep_volatility_atr,run267W_19_s264_aia_rep_volatility_atr,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aia/run267w_19_s264_aia_rep_volatility_atr/features/s264_aia_rep_volatility_atr_true_internal.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aia/run267w_19_s264_aia_rep_volatility_atr/models/s264_aia_rep_volatility_atr_true_internal_model.csv,057a939561d360f5b6f80e7e505f4ded89da87cb4f89dec12bf23756e6199274,32,stage267cf_adverse_excursion_proxy_score;stage267cf_profit_giveback_proxy_score;stage267cf_loss_cluster_bar_state_proxy_score,materialize_tier_a_and_duplicate_boundary_attempt_inputs,uses_run267W_bar_state_surface; true_trade_path_MAE_MFE_and_closed_trade_loss_cluster_not_available_yet,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cf_05_s258_stc_loss_shape_proxy,run267cf_q01_loss_shape_state_minimal_bundle,P0,s258_short_tight_control,s258_stc,stress_challenger,loss_shape_proxy_minimal,loss_shape_proxy,rep_trend_strength_adx,run267W_24_s258_stc_rep_trend_strength_adx,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s258_stc/run267w_24_s258_stc_rep_trend_strength_adx/features/s258_stc_rep_trend_strength_adx_true_internal.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s258_stc/run267w_24_s258_stc_rep_trend_strength_adx/models/s258_stc_rep_trend_strength_adx_true_internal_model.csv,d2bbf9430fc7a98d780f3c4b76321df58d89e58dda79fcae753ec25fac4dd2ce,32,stage267cf_adverse_excursion_proxy_score;stage267cf_profit_giveback_proxy_score;stage267cf_loss_cluster_bar_state_proxy_score,materialize_tier_a_and_duplicate_boundary_attempt_inputs,uses_run267W_bar_state_surface; true_trade_path_MAE_MFE_and_closed_trade_loss_cluster_not_available_yet,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cf_06_s264_aih_similar_repl,run267cf_q02_similar_feature_replacement_bundle,P0,s264_allow_inner_high_quarter,s264_aih,challenger_core,similar_replacement_impulse,similar_repl,rep_trend_strength_adx,run267W_03_s264_aih_rep_trend_strength_adx,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aih/run267w_03_s264_aih_rep_trend_strength_adx/features/s264_aih_rep_trend_strength_adx_true_internal.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aih/run267w_03_s264_aih_rep_trend_strength_adx/models/s264_aih_rep_trend_strength_adx_true_internal_model.csv,129ce96a0e184682383602f54ff8edc3acd50fa26339a71c61328c13214c27cd,32,stage267cf_trend_strength_replacement_score;stage267cf_volatility_energy_transition_score;stage267cf_range_pressure_asymmetry_score,materialize_tier_a_and_duplicate_boundary_attempt_inputs,uses_run267W_bar_state_surface; true_trade_path_MAE_MFE_and_closed_trade_loss_cluster_not_available_yet,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cf_07_s264_lc_similar_repl,run267cf_q02_similar_feature_replacement_bundle,P0,s264_lowrank_control,s264_lc,defensive_control,similar_replacement_impulse,similar_repl,rep_trend_strength_adx,run267W_08_s264_lc_rep_trend_strength_adx,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_lc/run267w_08_s264_lc_rep_trend_strength_adx/features/s264_lc_rep_trend_strength_adx_true_internal.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_lc/run267w_08_s264_lc_rep_trend_strength_adx/models/s264_lc_rep_trend_strength_adx_true_internal_model.csv,9379f2bc0775d13254edac21e7b0643c13deed4cd0d3610a4dbfac31c0622878,32,stage267cf_trend_strength_replacement_score;stage267cf_volatility_energy_transition_score;stage267cf_range_pressure_asymmetry_score,materialize_tier_a_and_duplicate_boundary_attempt_inputs,uses_run267W_bar_state_surface; true_trade_path_MAE_MFE_and_closed_trade_loss_cluster_not_available_yet,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cf_08_s262_lih_similar_repl,run267cf_q02_similar_feature_replacement_bundle,P0,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,similar_replacement_impulse,similar_repl,rep_trend_strength_adx,run267W_13_s262_lih_rep_trend_strength_adx,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s262_lih/run267w_13_s262_lih_rep_trend_strength_adx/features/s262_lih_rep_trend_strength_adx_true_internal.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s262_lih/run267w_13_s262_lih_rep_trend_strength_adx/models/s262_lih_rep_trend_strength_adx_true_internal_model.csv,e8c788c3bb0ef37f39c7b9d3e3f963bbe80b877b2aa9d2dccc623b6ee1a6a320,32,stage267cf_trend_strength_replacement_score;stage267cf_volatility_energy_transition_score;stage267cf_range_pressure_asymmetry_score,materialize_tier_a_and_duplicate_boundary_attempt_inputs,uses_run267W_bar_state_surface; true_trade_path_MAE_MFE_and_closed_trade_loss_cluster_not_available_yet,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cf_09_s264_aia_similar_repl,run267cf_q02_similar_feature_replacement_bundle,P0,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,similar_replacement_impulse,similar_repl,rep_trend_strength_adx,run267W_18_s264_aia_rep_trend_strength_adx,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aia/run267w_18_s264_aia_rep_trend_strength_adx/features/s264_aia_rep_trend_strength_adx_true_internal.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aia/run267w_18_s264_aia_rep_trend_strength_adx/models/s264_aia_rep_trend_strength_adx_true_internal_model.csv,3fa971741f7384c060223564505aa4e6fc5a87ace83bf50c8e82bc4f01fa4a2e,32,stage267cf_trend_strength_replacement_score;stage267cf_volatility_energy_transition_score;stage267cf_range_pressure_asymmetry_score,materialize_tier_a_and_duplicate_boundary_attempt_inputs,uses_run267W_bar_state_surface; true_trade_path_MAE_MFE_and_closed_trade_loss_cluster_not_available_yet,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cf_10_s258_stc_similar_repl,run267cf_q02_similar_feature_replacement_bundle,P0,s258_short_tight_control,s258_stc,stress_challenger,similar_replacement_impulse,similar_repl,rep_trend_strength_adx,run267W_24_s258_stc_rep_trend_strength_adx,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s258_stc/run267w_24_s258_stc_rep_trend_strength_adx/features/s258_stc_rep_trend_strength_adx_true_internal.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s258_stc/run267w_24_s258_stc_rep_trend_strength_adx/models/s258_stc_rep_trend_strength_adx_true_internal_model.csv,d2bbf9430fc7a98d780f3c4b76321df58d89e58dda79fcae753ec25fac4dd2ce,32,stage267cf_trend_strength_replacement_score;stage267cf_volatility_energy_transition_score;stage267cf_range_pressure_asymmetry_score,materialize_tier_a_and_duplicate_boundary_attempt_inputs,uses_run267W_bar_state_surface; true_trade_path_MAE_MFE_and_closed_trade_loss_cluster_not_available_yet,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
