stage_id,run_id,parent_run_id,run_date,status,judgment,decision,next_run_id,primary_artifact,report_path,gate_passes,gate_total,claim_boundary,view,tier,metric_scope,candidate_model_id,net_profit,profit_factor,drawdown,recovery_factor,trade_count,result_status,sample_rows,feature_count,matched_rows,expectancy,attempt_count
340_runtime_lifecycle_exit__quality_balance_pressure_review,run340B_review_quality_balance_blend_mt5_probe_without_db_v1,run340A_branch_stage339_to_quality_balance_pressure_review_without_db_v1,2026-06-01,completed_stage340B_quality_balance_reviewed_local_floor_positive_clue_no_selection,f01_local_floor_pass_pressure_test_required_no_selection,stage340B_open_run340C_f01_local_floor_pressure_package,run340C_materialize_f01_local_floor_pressure_mt5_probe_package_without_db_v1,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/02_runs/run340B/final_decision.json,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/03_reviews/run340B_quality_balance_review.md,10,10,research_development_quality_balance_mt5_probe_review_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,mt5_runtime_probe_review,logreg_balanced_c025_f01_s55_l51_m01_h12,122.9,1.89,89.31,1.38,33.0,"reviewed_local_floor_positive_clue_no_selection(검토된 로컬 하한 긍정 단서, 선정 없음)",,,58270.0,3.72,10.0
340_runtime_lifecycle_exit__quality_balance_pressure_review,run340B_review_quality_balance_blend_mt5_probe_without_db_v1,run340A_branch_stage339_to_quality_balance_pressure_review_without_db_v1,2026-06-01,completed_stage340B_quality_balance_reviewed_local_floor_positive_clue_no_selection,f01_local_floor_pass_pressure_test_required_no_selection,stage340B_open_run340C_f01_local_floor_pressure_package,run340C_materialize_f01_local_floor_pressure_mt5_probe_package_without_db_v1,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/02_runs/run340B/final_decision.json,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/03_reviews/run340B_quality_balance_review.md,10,10,research_development_quality_balance_mt5_probe_review_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,,,,,,,missing_required(필수 누락),,,,,
340_runtime_lifecycle_exit__quality_balance_pressure_review,run340B_review_quality_balance_blend_mt5_probe_without_db_v1,run340A_branch_stage339_to_quality_balance_pressure_review_without_db_v1,2026-06-01,completed_stage340B_quality_balance_reviewed_local_floor_positive_clue_no_selection,f01_local_floor_pass_pressure_test_required_no_selection,stage340B_open_run340C_f01_local_floor_pressure_package,run340C_materialize_f01_local_floor_pressure_mt5_probe_package_without_db_v1,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/02_runs/run340B/final_decision.json,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/03_reviews/run340B_quality_balance_review.md,10,10,research_development_quality_balance_mt5_probe_review_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,logreg_balanced_c025_f01_s55_l51_m01_h12,122.9,1.89,89.31,1.38,33.0,same_as_tier_a_until_tier_b_available,,,58270.0,3.72,10.0
340_runtime_lifecycle_exit__quality_balance_pressure_review,run340C_materialize_f01_local_floor_pressure_mt5_probe_package_without_db_v1,run340B_review_quality_balance_blend_mt5_probe_without_db_v1,2026-06-01,completed_stage340C_f01_local_floor_pressure_probe_package_materialized_no_selection,f01_local_floor_pressure_mt5_probe_package_ready_runtime_execution_required_no_selection,stage340C_open_run340D_execute_f01_local_floor_pressure_probe,run340D_execute_f01_local_floor_pressure_mt5_probe_without_db_v1,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/02_runs/run340C/final_decision.json,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/03_reviews/run340C_probe_package.md,11,11,research_development_f01_local_floor_pressure_runtime_probe_package_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,mt5_package,logreg_balanced_c025,,,,,,mt5_probe_package_ready_runtime_execution_required(런타임 실행 필요),5827.0,53.0,,,10.0
340_runtime_lifecycle_exit__quality_balance_pressure_review,run340C_materialize_f01_local_floor_pressure_mt5_probe_package_without_db_v1,run340B_review_quality_balance_blend_mt5_probe_without_db_v1,2026-06-01,completed_stage340C_f01_local_floor_pressure_probe_package_materialized_no_selection,f01_local_floor_pressure_mt5_probe_package_ready_runtime_execution_required_no_selection,stage340C_open_run340D_execute_f01_local_floor_pressure_probe,run340D_execute_f01_local_floor_pressure_mt5_probe_without_db_v1,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/02_runs/run340C/final_decision.json,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/03_reviews/run340C_probe_package.md,11,11,research_development_f01_local_floor_pressure_runtime_probe_package_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,,,,,,,missing_required(필수 누락),,,,,
340_runtime_lifecycle_exit__quality_balance_pressure_review,run340C_materialize_f01_local_floor_pressure_mt5_probe_package_without_db_v1,run340B_review_quality_balance_blend_mt5_probe_without_db_v1,2026-06-01,completed_stage340C_f01_local_floor_pressure_probe_package_materialized_no_selection,f01_local_floor_pressure_mt5_probe_package_ready_runtime_execution_required_no_selection,stage340C_open_run340D_execute_f01_local_floor_pressure_probe,run340D_execute_f01_local_floor_pressure_mt5_probe_without_db_v1,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/02_runs/run340C/final_decision.json,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/03_reviews/run340C_probe_package.md,11,11,research_development_f01_local_floor_pressure_runtime_probe_package_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,logreg_balanced_c025,,,,,,mt5_probe_package_ready_runtime_execution_required(런타임 실행 필요),5827.0,53.0,,,10.0
340_runtime_lifecycle_exit__quality_balance_pressure_review,run340D_execute_f01_local_floor_pressure_mt5_probe_without_db_v1,run340C_materialize_f01_local_floor_pressure_mt5_probe_package_without_db_v1,2026-06-01,completed_stage340D_f01_local_floor_pressure_mt5_probe_executed_review_required_no_selection,mt5_f01_local_floor_pressure_probe_outputs_available_review_required_no_selection,stage340D_open_run340E_review_f01_local_floor_pressure_probe,run340E_review_f01_local_floor_pressure_mt5_probe_without_db_v1,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/02_runs/run340D/final_decision.json,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/03_reviews/run340D_mt5_probe.md,9,9,research_development_f01_local_floor_pressure_mt5_runtime_probe_attempt_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,mt5_runtime_probe,,-25.81,0.78,,-0.32,40.0,mt5_f01_local_floor_pressure_probe_outputs_available_review_required_no_selection,,,58270.0,,10.0
340_runtime_lifecycle_exit__quality_balance_pressure_review,run340D_execute_f01_local_floor_pressure_mt5_probe_without_db_v1,run340C_materialize_f01_local_floor_pressure_mt5_probe_package_without_db_v1,2026-06-01,completed_stage340D_f01_local_floor_pressure_mt5_probe_executed_review_required_no_selection,mt5_f01_local_floor_pressure_probe_outputs_available_review_required_no_selection,stage340D_open_run340E_review_f01_local_floor_pressure_probe,run340E_review_f01_local_floor_pressure_mt5_probe_without_db_v1,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/02_runs/run340D/final_decision.json,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/03_reviews/run340D_mt5_probe.md,9,9,research_development_f01_local_floor_pressure_mt5_runtime_probe_attempt_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,,,,,,,missing_required,,,,,
340_runtime_lifecycle_exit__quality_balance_pressure_review,run340D_execute_f01_local_floor_pressure_mt5_probe_without_db_v1,run340C_materialize_f01_local_floor_pressure_mt5_probe_package_without_db_v1,2026-06-01,completed_stage340D_f01_local_floor_pressure_mt5_probe_executed_review_required_no_selection,mt5_f01_local_floor_pressure_probe_outputs_available_review_required_no_selection,stage340D_open_run340E_review_f01_local_floor_pressure_probe,run340E_review_f01_local_floor_pressure_mt5_probe_without_db_v1,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/02_runs/run340D/final_decision.json,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/03_reviews/run340D_mt5_probe.md,9,9,research_development_f01_local_floor_pressure_mt5_runtime_probe_attempt_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,,-25.81,0.78,,-0.32,40.0,same_as_tier_a_until_tier_b_available,,,58270.0,,10.0
340_runtime_lifecycle_exit__quality_balance_pressure_review,run340E_review_f01_local_floor_pressure_mt5_probe_without_db_v1,run340D_execute_f01_local_floor_pressure_mt5_probe_without_db_v1,2026-06-01,completed_stage340E_f01_pressure_probe_reviewed_negative_with_control_semantics_repair_required_no_selection,pressure_surface_negative_but_exact_replay_control_semantics_invalid_close_on_flat_mismatch_repair_required_no_selection,stage340E_open_run340F_corrected_f01_close_on_flat_false_pressure_package,run340F_materialize_f01_close_on_flat_false_pressure_mt5_probe_package_without_db_v1,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/02_runs/run340E/final_decision.json,stages/340_runtime_lifecycle_exit__quality_balance_pressure_review/03_reviews/run340E_f01_pressure_probe_review.md,12,12,research_development_f01_pressure_mt5_probe_review_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,mt5_runtime_probe_review_with_control_semantics,logreg_balanced_c025_p09_s545_l51_m01_h12,-25.81,0.78,81.75,-0.32,40.0,negative_with_control_semantics_repair_required_no_selection,,,58270.0,-0.65,10.0
