record_view,tier_scope,candidate_id,candidate_alias,candidate_role,source_test_id,followup_profile,repair_profile,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,tier_only_total,month,2024-01,14,65.87,85.18,-19.31,4.411186,4.705,0.642857,9.464444,-3.862,2.450659,18.43,3.445246,4,0.428571,3,3.574064,measured_slice
mt5_ta_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,tier_only_total,month,2024-02,15,182.14,205.3,-23.16,8.864421,12.142667,0.8,17.108333,-7.72,2.216105,18.81,2.683501,2,0.2,2,9.683147,measured_slice
mt5_ta_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,tier_only_total,month,2024-03,14,70.79,97.76,-26.97,3.624768,5.056429,0.571429,12.22,-4.495,2.718576,11.19,1.992096,2,0.428571,2,6.326184,measured_slice
mt5_ta_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,tier_only_total,month,2024-04,29,105.67,268.65,-162.98,1.648362,3.643793,0.551724,16.790625,-12.536923,1.339294,47.3,7.98946,12,0.724138,3,2.234038,measured_slice
mt5_ta_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,tier_only_total,month,2024-05,12,50.82,110.8,-59.98,1.847282,4.235,0.666667,13.85,-14.995,0.923641,34.86,6.65839,5,0.75,2,1.457831,measured_slice
mt5_ta_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,tier_only_total,month,2024-06,10,-26.24,91.71,-117.95,0.777533,-2.624,0.3,30.57,-16.85,1.814243,57.08,10.752769,5,0.8,3,-0.459706,minor_negative_slice
mt5_ta_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,tier_only_total,month,2024-07,36,-4.15,205.96,-210.11,0.980248,-0.115278,0.555556,10.298,-13.131875,0.784199,84.0,16.8,36,1.0,5,-0.049405,minor_negative_slice
mt5_ta_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,tier_only_total,month,2024-08,43,104.07,328.63,-224.56,1.46344,2.420233,0.604651,12.639615,-13.209412,0.956864,51.57,7.865597,10,0.674419,3,2.018034,measured_slice
mt5_ta_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,tier_only_total,month,2024-09,37,135.01,313.44,-178.43,1.756655,3.648919,0.621622,13.627826,-12.745,1.069268,68.52,12.06062,23,0.702703,5,1.970374,measured_slice
mt5_ta_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,tier_only_total,month,2024-10,27,207.94,339.46,-131.52,2.581052,7.701481,0.555556,22.630667,-10.96,2.064842,50.82,7.729042,8,0.666667,5,4.091696,measured_slice
mt5_ta_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,tier_only_total,month,2024-11,30,260.58,462.53,-201.95,2.290319,8.686,0.6,25.696111,-16.829167,1.52688,95.86,18.614677,15,0.8,3,2.718339,measured_slice
mt5_ta_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,tier_only_total,month,2024-12,23,-135.39,217.42,-352.81,0.616252,-5.886522,0.434783,21.742,-27.139231,0.801128,180.34,36.068,23,1.0,4,-0.750749,deep_negative_or_dd_slice
mt5_rt_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,routed_total,month,2024-01,14,65.87,85.18,-19.31,4.411186,4.705,0.642857,9.464444,-3.862,2.450659,18.43,3.445246,4,0.428571,3,3.574064,measured_slice
mt5_rt_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,routed_total,month,2024-02,15,182.14,205.3,-23.16,8.864421,12.142667,0.8,17.108333,-7.72,2.216105,18.81,2.683501,2,0.2,2,9.683147,measured_slice
mt5_rt_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,routed_total,month,2024-03,14,70.79,97.76,-26.97,3.624768,5.056429,0.571429,12.22,-4.495,2.718576,11.19,1.992096,2,0.428571,2,6.326184,measured_slice
mt5_rt_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,routed_total,month,2024-04,29,105.67,268.65,-162.98,1.648362,3.643793,0.551724,16.790625,-12.536923,1.339294,47.3,7.98946,12,0.724138,3,2.234038,measured_slice
mt5_rt_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,routed_total,month,2024-05,12,50.82,110.8,-59.98,1.847282,4.235,0.666667,13.85,-14.995,0.923641,34.86,6.65839,5,0.75,2,1.457831,measured_slice
mt5_rt_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,routed_total,month,2024-06,10,-26.24,91.71,-117.95,0.777533,-2.624,0.3,30.57,-16.85,1.814243,57.08,10.752769,5,0.8,3,-0.459706,minor_negative_slice
mt5_rt_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,routed_total,month,2024-07,36,-4.15,205.96,-210.11,0.980248,-0.115278,0.555556,10.298,-13.131875,0.784199,84.0,16.8,36,1.0,5,-0.049405,minor_negative_slice
mt5_rt_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,routed_total,month,2024-08,43,104.07,328.63,-224.56,1.46344,2.420233,0.604651,12.639615,-13.209412,0.956864,51.57,7.865597,10,0.674419,3,2.018034,measured_slice
mt5_rt_s264_aia_rep_trend_strength_adx_repair_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_state_guard_repair_v3,aia_dual_replacement_state_guard_repair_v3,noncalendar_state_guard_repair_score_table_terms_only_not_retrained,routed_total,month,2024-09,37,135.01,313.44,-178.43,1.756655,3.648919,0.621622,13.627826,-12.745,1.069268,68.52,12.06062,23,0.702703,5,1.970374,measured_slice
