run_id,candidate_rank,filter_expression,filter_feature_status,removed_trade_count,removed_net_profit_after_cost,projected_trade_count_if_removed,projected_net_if_removed,projected_trade_per_business_day_if_removed,density_floor_status,proxy_scope,effect(효과),claim_boundary(주장 경계)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,1,entry_hour=16,entry_known_candidate(진입 시점 사용 가능 후보),177,-112.31,904,1101.53,2.7147147147,fail_density_floor(밀도 하한 실패),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,2,entry_hour=16|side=short,entry_known_candidate(진입 시점 사용 가능 후보),32,-81.47,1049,1070.69,3.1501501501,pass(통과),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,3,entry_month=2025-03,entry_known_candidate(진입 시점 사용 가능 후보),87,-88.94,994,1078.16,2.9849849849,fail_density_floor(밀도 하한 실패),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,4,entry_month=2025-03|side=long,entry_known_candidate(진입 시점 사용 가능 후보),70,-57.99,1011,1047.21,3.036036036,pass(통과),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,5,entry_month=2026-03|entry_hour=18,entry_known_candidate(진입 시점 사용 가능 후보),23,-36.47,1058,1025.69,3.1771771771,pass(통과),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,6,entry_month=2025-04|entry_hour=17,entry_known_candidate(진입 시점 사용 가능 후보),20,-34.8,1061,1024.02,3.1861861861,pass(통과),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,7,entry_month=2025-12|entry_hour=17,entry_known_candidate(진입 시점 사용 가능 후보),21,-32.77,1060,1021.99,3.1831831831,pass(통과),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,8,entry_month=2025-03|entry_hour=17,entry_known_candidate(진입 시점 사용 가능 후보),22,-29.16,1059,1018.38,3.1801801801,pass(통과),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,9,side=long,entry_known_candidate(진입 시점 사용 가능 후보),952,942.33,129,46.89,0.3873873874,fail_density_floor(밀도 하한 실패),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,10,entry_month=2025-09,entry_known_candidate(진입 시점 사용 가능 후보),49,-32.61,1032,1021.83,3.0990990991,pass(통과),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
