branch_id,primary_axes,dependency_type,dependency_rule,aggregation_boundary,selection_eligible
run335C_b01_cost_spread_slippage_grid_guard,"[""cost_stress""]",single_axis,"all axes must keep their own source, negative control, and stop condition rows",cross-axis agreement can guide design only; it cannot become direct exclusion or selection,false
run335C_b02_curve_noncalendar_state_holdout,"[""curve_pocket""]",single_axis,"all axes must keep their own source, negative control, and stop condition rows",cross-axis agreement can guide design only; it cannot become direct exclusion or selection,false
run335C_b03_direction_symmetry_no_side_drop,"[""direction""]",single_axis,"all axes must keep their own source, negative control, and stop condition rows",cross-axis agreement can guide design only; it cannot become direct exclusion or selection,false
run335C_b04_drawdown_underwater_recovery_quality,"[""drawdown_shape""]",single_axis,"all axes must keep their own source, negative control, and stop condition rows",cross-axis agreement can guide design only; it cannot become direct exclusion or selection,false
run335C_b05_regime_predeclared_macro_state,"[""regime_slice""]",single_axis,"all axes must keep their own source, negative control, and stop condition rows",cross-axis agreement can guide design only; it cannot become direct exclusion or selection,false
run335C_b06_runtime_identity_strict_handoff,"[""runtime_parity""]",single_axis,"all axes must keep their own source, negative control, and stop condition rows",cross-axis agreement can guide design only; it cannot become direct exclusion or selection,false
run335C_b07_cp322a_exact_blocker_control,"[""cp322a_exact_forward_handoff_missing""]",single_axis,"all axes must keep their own source, negative control, and stop condition rows",cross-axis agreement can guide design only; it cannot become direct exclusion or selection,false
run335C_b08_cost_curve_drawdown_interaction_guard,"[""cost_stress"", ""curve_pocket"", ""drawdown_shape""]",cross_axis,"all axes must keep their own source, negative control, and stop condition rows",cross-axis agreement can guide design only; it cannot become direct exclusion or selection,false
run335C_b09_regime_direction_interaction_guard,"[""regime_slice"", ""direction""]",cross_axis,"all axes must keep their own source, negative control, and stop condition rows",cross-axis agreement can guide design only; it cannot become direct exclusion or selection,false
run335C_b10_subject_swap_negative_control,"[""runtime_parity"", ""cp322a_exact_forward_handoff_missing""]",cross_axis,"all axes must keep their own source, negative control, and stop condition rows",cross-axis agreement can guide design only; it cannot become direct exclusion or selection,false
run335C_b11_null_adjacent_period_control,"[""cost_stress"", ""curve_pocket"", ""direction"", ""drawdown_shape"", ""regime_slice"", ""runtime_parity"", ""cp322a_exact_forward_handoff_missing""]",cross_axis,"all axes must keep their own source, negative control, and stop condition rows",cross-axis agreement can guide design only; it cannot become direct exclusion or selection,false
