ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes,hcardrail_kpi,run_number,date,decision,next_run_id,rows,gate_passes,gate_total,claim_boundary,report_path,trained_models,onnx_parity,best_proxy,candidate_rows,positive_proxy_rows,best_model_id,best_proxy_net,attempt_rows,feature_matrix_rows,runtime_completed_rows,matched_rows,mismatch_rows,positive_net_rows,best_net_profit,best_profit_factor,operating_ready_rows,run_date,primary_artifact,view,tier,metric_scope,net_profit,profit_factor,expectancy,drawdown,recovery_factor,trade_count,candidate_model_id,result_status,expected_probability_rows,long_trade_count,short_trade_count,feature_count,task_seed_rows,eligible_task_rows,trained_model_rows,best_inner_holdout_proxy_net,best_inner_holdout_profit_factor,candidate_model_ids,probe_priority_model,raw_top_model,lane,family,primary_report,balance_control_model,cost_control_model,primary_proxy_net,primary_profit_factor,primary_recovery_factor,sample_rows,attempt_count,source_package_run_id,row_id,scoreboard,evidence_boundary,work_family,evidence_scope,run_key,question,next_action,trade_density_per_feature_day,trade_density_requirement_status,result_judgment,max_drawdown_amount,final_decision_path,created_at,gate_audit_path,expected_estimated_mt5_density,usable_report_rows,artifact_count,created_at_utc,required_gate_audit,kpi_summary,runtime_authority,operating_promotion,trade_density,source_authority,goal_achieve,run_family,run_type,input_run_id,output_path,result_path,selected_net_profit,selected_profit_factor,selected_trade_density,expected_net_profit,expected_profit_factor,expected_trade_count,expected_trade_density,route_attribution_boundary,scaled_density_estimate,max_drawdown_percent,strict_joint_pass_count,probability_parity_pass_rows,best_candidate_id,candidate_count,scout_clue_count,materialization_candidate_count,meaningful_signal_count,completion_candidate_count,model,drawdown_percent,trades_per_day,oos_trades_per_day,oos_net_profit,oos_profit_factor,oos_trade_count,oos_drawdown_percent,model_variants,selected_surfaces,runtime_attempt_rows
frontier90A_stage_open_time_to_barrier_competing_risk_label_axis_v1__planned_current_run,stage_frontier_90__time_to_barrier_competing_risk_label_axis,frontier90A_stage_open_time_to_barrier_competing_risk_label_axis_v1,frontier90A_stage_open_time_to_barrier_competing_risk_label_axis_v1__stage_open_design,frontier89C_deal_path_teacher_repair_or_rotation_decision_v1,stage_open_design,not_applicable_stage_open,design_only_time_to_barrier_label_axis,frontier_stage_open,f90a_stage_open_design_prepared_f90b_barrier_label_feasibility_scout_planned_no_authority,design_only_time_to_barrier_competing_risk_label_axis_no_runtime_evidence,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90A/reports/result_summary.md,design_artifacts=3;task_force_calls=6,runtime_probe=false;authority=false;goal_achieve=false,out_of_scope_by_claim_no_strategy_tester_runtime_claim,F90A design-only stage open; Task Force actual calls recorded; no runtime authority.,,frontier90A,2026-06-19,open_f90_time_to_barrier_competing_risk_label_axis_and_plan_f90b_feasibility_scout,frontier90B_time_to_barrier_label_feasibility_scout_v1,1,13,13,design_only_stage_open_for_time_to_barrier_competing_risk_label_axis_no_model_candidate_no_wfo_pass_no_stress_pass_no_mt5_runtime_evidence_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90A/reports/result_summary.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90A/design/f90a_experiment_design.json,stage_open_design,not_applicable_stage_open,design_only,,,,,,,,f90a_stage_open_design_prepared_f90b_barrier_label_feasibility_scout_planned_no_authority,,,,,,,,,,,,,time_to_barrier_stage_open_design,experiment_design,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90A/reports/result_summary.md,,,,,,,,,frontier90A_stage_open_time_to_barrier_competing_risk_label_axis_v1__stage_open_design,,design_only_no_runtime_evidence,experiment_design,,,Can time-to-barrier competing-risk labels replace binary adverse-selection teacher claims?,frontier90B_time_to_barrier_label_feasibility_scout_v1,,,design_only_time_to_barrier_competing_risk_label_axis_no_runtime_evidence,,,2026-06-19T01:00:04Z,docs/agent_control/packets/frontier90A_stage_open_time_to_barrier_competing_risk_label_axis_v1/required_gate_coverage_audit.json,,,44,2026-06-19T01:00:04Z,docs/agent_control/packets/frontier90A_stage_open_time_to_barrier_competing_risk_label_axis_v1/required_gate_coverage_audit.json,,not_claimed,not_claimed,,not_claimed,not_claimed,experiment_design,stage_open_design,frontier89C_deal_path_teacher_repair_or_rotation_decision_v1,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90A,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90A/reports/result_summary.md,,,,,,,,,,,,,,0,1,0,0,0,,,,,,,,,,,0
frontier90B_time_to_barrier_label_feasibility_scout_v1__planned_current_run,stage_frontier_90__time_to_barrier_competing_risk_label_axis,frontier90B_time_to_barrier_label_feasibility_scout_v1,frontier90B_time_to_barrier_label_feasibility_scout_v1__planned_current_run,frontier90A_stage_open_time_to_barrier_competing_risk_label_axis_v1,planned_current_run,not_applicable_planned,pending,time_to_barrier_label_feasibility_scout,planned_current_run_no_authority,pending_time_to_barrier_label_feasibility_scout,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90A/design/f90b_time_to_barrier_label_feasibility_scout_brief.json,pending,pending,pending,Planned after F90A; must record Tier A/B/combined or structured missing_required rows.,,frontier90B,2026-06-19,pending_execution,,0,0,0,planned_current_run_no_authority_no_goal_achieve,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90A/design/f90b_time_to_barrier_label_feasibility_scout_brief.json,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90A/design/f90b_time_to_barrier_label_feasibility_scout_brief.json,planned_current_run,not_applicable_planned,pending,,,,,,,,planned_current_run_no_authority,,,,,,,,,,,,,time_to_barrier_label_feasibility_scout,experiment_execution,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90A/design/f90b_time_to_barrier_label_feasibility_scout_brief.json,,,,,,,,,frontier90B_time_to_barrier_label_feasibility_scout_v1__planned_current_run,,planned_only_no_authority,experiment_execution,,,Can F90B materialize leakage-safe competing-risk barrier labels?,build_time_to_barrier_label_feasibility_scout,,,pending,,,2026-06-19T01:00:04Z,,,,0,2026-06-19T01:00:04Z,,,not_claimed,not_claimed,,not_claimed,not_claimed,experiment_execution,planned_current_run,frontier90A_stage_open_time_to_barrier_competing_risk_label_axis_v1,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90A/design/f90b_time_to_barrier_label_feasibility_scout_brief.json,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0
frontier90B_time_to_barrier_label_feasibility_scout_v1__tier_a_separate,stage_frontier_90__time_to_barrier_competing_risk_label_axis,frontier90B_time_to_barrier_label_feasibility_scout_v1,frontier90B_time_to_barrier_label_feasibility_scout_v1__tier_a_separate,frontier90A_stage_open_time_to_barrier_competing_risk_label_axis_v1,tier_a_separate,Tier A separate,time_to_barrier_label_feasibility,structural_scout,f90b_label_feasibility_scout_executed_tier_b_missing_boundary_no_authority,exploratory_label_feasibility_clue_tier_b_missing_combined_blocked_no_runtime_evidence,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B/reports/result_summary.md,valid=46614;ambiguous=1137;censored=27,combined forbidden without Tier B,out_of_scope_by_claim_no_strategy_tester_runtime_claim,F90B label feasibility scout; no runtime authority.,,frontier90B,2026-06-19,continue_to_f90c_ordering_proxy_scout_only_after_preserving_tier_b_missing_boundary,frontier90C_time_to_barrier_ordering_proxy_scout_v1,46650,12,12,f90b_label_feasibility_scout_only_no_model_training_superiority_no_calibration_no_threshold_selection_no_selected_baseline_no_mt5_runtime_evidence_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B/reports/result_summary.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B/labels/label_feasibility_stats.json,tier_a_separate,Tier A separate,label_feasibility,,,,,,,,measured,,,,,,,,,,,,,time_to_barrier_label_feasibility_scout,experiment_execution,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B/reports/result_summary.md,,,,,,,,,frontier90B_time_to_barrier_label_feasibility_scout_v1__tier_a_separate,,label_feasibility_scout_only_no_runtime_evidence,experiment_execution,,,Can time-to-barrier labels be materialized leakage-safely?,frontier90C_time_to_barrier_ordering_proxy_scout_v1,,,exploratory_label_feasibility_clue_tier_b_missing_combined_blocked_no_runtime_evidence,,,2026-06-19T01:19:46Z,docs/agent_control/packets/frontier90B_time_to_barrier_label_feasibility_scout_v1/required_gate_coverage_audit.json,,,22,2026-06-19T01:19:46Z,docs/agent_control/packets/frontier90B_time_to_barrier_label_feasibility_scout_v1/required_gate_coverage_audit.json,,not_claimed,not_claimed,,not_claimed,not_claimed,experiment_execution,proxy_scout,frontier90A_stage_open_time_to_barrier_competing_risk_label_axis_v1,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B/reports/result_summary.md,,,,,,,,,,,,,,0,1,0,0,0,,,,,,,,,,,0
frontier90B_time_to_barrier_label_feasibility_scout_v1__tier_b_separate,stage_frontier_90__time_to_barrier_competing_risk_label_axis,frontier90B_time_to_barrier_label_feasibility_scout_v1,frontier90B_time_to_barrier_label_feasibility_scout_v1__tier_b_separate,frontier90A_stage_open_time_to_barrier_competing_risk_label_axis_v1,tier_b_separate,Tier B separate,time_to_barrier_label_feasibility,structural_scout,f90b_label_feasibility_scout_executed_tier_b_missing_boundary_no_authority,exploratory_label_feasibility_clue_tier_b_missing_combined_blocked_no_runtime_evidence,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B/reports/result_summary.md,missing_required_no_partial_context_source,no Tier B performance or labelability claim,out_of_scope_by_claim_no_strategy_tester_runtime_claim,F90B label feasibility scout; no runtime authority.,,frontier90B,2026-06-19,continue_to_f90c_ordering_proxy_scout_only_after_preserving_tier_b_missing_boundary,frontier90C_time_to_barrier_ordering_proxy_scout_v1,46650,12,12,f90b_label_feasibility_scout_only_no_model_training_superiority_no_calibration_no_threshold_selection_no_selected_baseline_no_mt5_runtime_evidence_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B/reports/result_summary.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B/labels/label_feasibility_stats.json,tier_b_separate,Tier B separate,label_feasibility,,,,,,,,missing_required,,,,,,,,,,,,,time_to_barrier_label_feasibility_scout,experiment_execution,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B/reports/result_summary.md,,,,,,,,,frontier90B_time_to_barrier_label_feasibility_scout_v1__tier_b_separate,,label_feasibility_scout_only_no_runtime_evidence,experiment_execution,,,Can time-to-barrier labels be materialized leakage-safely?,frontier90C_time_to_barrier_ordering_proxy_scout_v1,,,exploratory_label_feasibility_clue_tier_b_missing_combined_blocked_no_runtime_evidence,,,2026-06-19T01:19:46Z,docs/agent_control/packets/frontier90B_time_to_barrier_label_feasibility_scout_v1/required_gate_coverage_audit.json,,,22,2026-06-19T01:19:46Z,docs/agent_control/packets/frontier90B_time_to_barrier_label_feasibility_scout_v1/required_gate_coverage_audit.json,,not_claimed,not_claimed,,not_claimed,not_claimed,experiment_execution,proxy_scout,frontier90A_stage_open_time_to_barrier_competing_risk_label_axis_v1,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B/reports/result_summary.md,,,,,,,,,,,,,,0,1,0,0,0,,,,,,,,,,,0
frontier90B_time_to_barrier_label_feasibility_scout_v1__tier_ab_combined,stage_frontier_90__time_to_barrier_competing_risk_label_axis,frontier90B_time_to_barrier_label_feasibility_scout_v1,frontier90B_time_to_barrier_label_feasibility_scout_v1__tier_ab_combined,frontier90A_stage_open_time_to_barrier_competing_risk_label_axis_v1,tier_ab_combined,Tier A+B combined,time_to_barrier_label_feasibility,structural_scout,f90b_label_feasibility_scout_executed_tier_b_missing_boundary_no_authority,exploratory_label_feasibility_clue_tier_b_missing_combined_blocked_no_runtime_evidence,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B/reports/result_summary.md,blocked_by_missing_tier_b,whole-alpha combined read forbidden,out_of_scope_by_claim_no_strategy_tester_runtime_claim,F90B label feasibility scout; no runtime authority.,,frontier90B,2026-06-19,continue_to_f90c_ordering_proxy_scout_only_after_preserving_tier_b_missing_boundary,frontier90C_time_to_barrier_ordering_proxy_scout_v1,46650,12,12,f90b_label_feasibility_scout_only_no_model_training_superiority_no_calibration_no_threshold_selection_no_selected_baseline_no_mt5_runtime_evidence_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B/reports/result_summary.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B/labels/label_feasibility_stats.json,tier_ab_combined,Tier A+B combined,label_feasibility,,,,,,,,blocked_by_missing_tier_b,,,,,,,,,,,,,time_to_barrier_label_feasibility_scout,experiment_execution,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B/reports/result_summary.md,,,,,,,,,frontier90B_time_to_barrier_label_feasibility_scout_v1__tier_ab_combined,,label_feasibility_scout_only_no_runtime_evidence,experiment_execution,,,Can time-to-barrier labels be materialized leakage-safely?,frontier90C_time_to_barrier_ordering_proxy_scout_v1,,,exploratory_label_feasibility_clue_tier_b_missing_combined_blocked_no_runtime_evidence,,,2026-06-19T01:19:46Z,docs/agent_control/packets/frontier90B_time_to_barrier_label_feasibility_scout_v1/required_gate_coverage_audit.json,,,22,2026-06-19T01:19:46Z,docs/agent_control/packets/frontier90B_time_to_barrier_label_feasibility_scout_v1/required_gate_coverage_audit.json,,not_claimed,not_claimed,,not_claimed,not_claimed,experiment_execution,proxy_scout,frontier90A_stage_open_time_to_barrier_competing_risk_label_axis_v1,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90B/reports/result_summary.md,,,,,,,,,,,,,,0,1,0,0,0,,,,,,,,,,,0
frontier90C_time_to_barrier_ordering_proxy_scout_v1__planned_current_run,stage_frontier_90__time_to_barrier_competing_risk_label_axis,frontier90C_time_to_barrier_ordering_proxy_scout_v1,frontier90C_time_to_barrier_ordering_proxy_scout_v1__planned_current_run,frontier90B_time_to_barrier_label_feasibility_scout_v1,planned_current_run,not_applicable_planned,pending,structural_scout,planned_current_run_no_authority,pending_time_to_barrier_ordering_proxy_scout,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis,pending,pending_runtime_claim_forbidden,pending,Planned after F90B; must remain proxy scout until a runnable candidate exists.,,frontier90C,2026-06-19,pending_execution,,0,0,0,planned_current_run_no_authority_no_runtime_claim_no_goal_achieve,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/00_spec/stage_brief.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/00_spec/stage_brief.md,planned_current_run,not_applicable_planned,pending,,,,,,,,planned_current_run_no_authority,,,,,,,,,,,,,time_to_barrier_label_feasibility_scout,experiment_execution,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/00_spec/stage_brief.md,,,,,,,,,frontier90C_time_to_barrier_ordering_proxy_scout_v1__planned_current_run,,planned_only_no_runtime_evidence,experiment_execution,,,Can F90B label ordering become a proxy scout without runtime authority claims?,execute_time_to_barrier_ordering_proxy_scout,,,pending,,,2026-06-19T01:19:46Z,,,,0,2026-06-19T01:19:46Z,,,not_claimed,not_claimed,,not_claimed,not_claimed,experiment_execution,planned_current_run,frontier90B_time_to_barrier_label_feasibility_scout_v1,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/00_spec/stage_brief.md,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0
frontier90C_time_to_barrier_ordering_proxy_scout_v1__tier_a_separate,stage_frontier_90__time_to_barrier_competing_risk_label_axis,frontier90C_time_to_barrier_ordering_proxy_scout_v1,frontier90C_time_to_barrier_ordering_proxy_scout_v1__tier_a_separate,frontier90B_time_to_barrier_label_feasibility_scout_v1,tier_a_separate,Tier A separate,time_to_barrier_ordering_proxy,structural_scout,f90c_ordering_proxy_scout_negative_no_candidate_f90d_repair_or_rotation_planned_no_authority,negative_ordering_proxy_oos_lift_failed_no_runtime_trigger_tier_b_missing_boundary,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C/reports/result_summary.md,best=ridge_signed_speed_alpha10;val_hit=0.519969;oos_hit=0.498144;oos_auc=0.505861,no candidate; runtime trigger false,out_of_scope_by_claim_no_strategy_tester_runtime_claim,F90C ordering proxy failed candidate gates; no runtime authority.,,frontier90C,2026-06-19,plan_f90d_repair_or_rotation_decision_after_ordering_proxy_oos_failure,frontier90D_time_to_barrier_repair_or_rotation_decision_v1,45450,12,12,f90c_ordering_proxy_scout_only_no_candidate_no_calibration_no_threshold_selection_no_selected_baseline_no_mt5_runtime_evidence_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C/reports/result_summary.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C/proxy_scout/proxy_metrics.json,tier_a_separate,Tier A separate,ordering_proxy,,,,,,,,negative_measured,,,,,,,,,,,,,time_to_barrier_ordering_proxy_scout,experiment_execution,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C/reports/result_summary.md,,,,,,,,,frontier90C_time_to_barrier_ordering_proxy_scout_v1__tier_a_separate,,ordering_proxy_scout_only_no_runtime_evidence,experiment_execution,,,Can F90B labels create an ordering proxy?,frontier90D_time_to_barrier_repair_or_rotation_decision_v1,,,negative_ordering_proxy_oos_lift_failed_no_runtime_trigger_tier_b_missing_boundary,,,2026-06-19T01:41:18Z,docs/agent_control/packets/frontier90C_time_to_barrier_ordering_proxy_scout_v1/required_gate_coverage_audit.json,,,22,2026-06-19T01:41:18Z,docs/agent_control/packets/frontier90C_time_to_barrier_ordering_proxy_scout_v1/required_gate_coverage_audit.json,,not_claimed,not_claimed,,not_claimed,not_claimed,experiment_execution,experiment_run_proxy_scout,frontier90B_time_to_barrier_label_feasibility_scout_v1,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C/reports/result_summary.md,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0
frontier90C_time_to_barrier_ordering_proxy_scout_v1__tier_b_separate,stage_frontier_90__time_to_barrier_competing_risk_label_axis,frontier90C_time_to_barrier_ordering_proxy_scout_v1,frontier90C_time_to_barrier_ordering_proxy_scout_v1__tier_b_separate,frontier90B_time_to_barrier_label_feasibility_scout_v1,tier_b_separate,Tier B separate,time_to_barrier_ordering_proxy,structural_scout,f90c_ordering_proxy_scout_negative_no_candidate_f90d_repair_or_rotation_planned_no_authority,negative_ordering_proxy_oos_lift_failed_no_runtime_trigger_tier_b_missing_boundary,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C/reports/result_summary.md,missing_required_no_partial_context_source,no Tier B performance or proxy claim,out_of_scope_by_claim_no_strategy_tester_runtime_claim,F90C ordering proxy failed candidate gates; no runtime authority.,,frontier90C,2026-06-19,plan_f90d_repair_or_rotation_decision_after_ordering_proxy_oos_failure,frontier90D_time_to_barrier_repair_or_rotation_decision_v1,45450,12,12,f90c_ordering_proxy_scout_only_no_candidate_no_calibration_no_threshold_selection_no_selected_baseline_no_mt5_runtime_evidence_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C/reports/result_summary.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C/proxy_scout/proxy_metrics.json,tier_b_separate,Tier B separate,ordering_proxy,,,,,,,,missing_required,,,,,,,,,,,,,time_to_barrier_ordering_proxy_scout,experiment_execution,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C/reports/result_summary.md,,,,,,,,,frontier90C_time_to_barrier_ordering_proxy_scout_v1__tier_b_separate,,ordering_proxy_scout_only_no_runtime_evidence,experiment_execution,,,Can F90B labels create an ordering proxy?,frontier90D_time_to_barrier_repair_or_rotation_decision_v1,,,negative_ordering_proxy_oos_lift_failed_no_runtime_trigger_tier_b_missing_boundary,,,2026-06-19T01:41:18Z,docs/agent_control/packets/frontier90C_time_to_barrier_ordering_proxy_scout_v1/required_gate_coverage_audit.json,,,22,2026-06-19T01:41:18Z,docs/agent_control/packets/frontier90C_time_to_barrier_ordering_proxy_scout_v1/required_gate_coverage_audit.json,,not_claimed,not_claimed,,not_claimed,not_claimed,experiment_execution,experiment_run_proxy_scout,frontier90B_time_to_barrier_label_feasibility_scout_v1,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C/reports/result_summary.md,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0
frontier90C_time_to_barrier_ordering_proxy_scout_v1__tier_ab_combined,stage_frontier_90__time_to_barrier_competing_risk_label_axis,frontier90C_time_to_barrier_ordering_proxy_scout_v1,frontier90C_time_to_barrier_ordering_proxy_scout_v1__tier_ab_combined,frontier90B_time_to_barrier_label_feasibility_scout_v1,tier_ab_combined,Tier A+B combined,time_to_barrier_ordering_proxy,structural_scout,f90c_ordering_proxy_scout_negative_no_candidate_f90d_repair_or_rotation_planned_no_authority,negative_ordering_proxy_oos_lift_failed_no_runtime_trigger_tier_b_missing_boundary,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C/reports/result_summary.md,blocked_by_missing_tier_b,whole-alpha combined read forbidden,out_of_scope_by_claim_no_strategy_tester_runtime_claim,F90C ordering proxy failed candidate gates; no runtime authority.,,frontier90C,2026-06-19,plan_f90d_repair_or_rotation_decision_after_ordering_proxy_oos_failure,frontier90D_time_to_barrier_repair_or_rotation_decision_v1,45450,12,12,f90c_ordering_proxy_scout_only_no_candidate_no_calibration_no_threshold_selection_no_selected_baseline_no_mt5_runtime_evidence_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C/reports/result_summary.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C/proxy_scout/proxy_metrics.json,tier_ab_combined,Tier A+B combined,ordering_proxy,,,,,,,,blocked_by_missing_tier_b,,,,,,,,,,,,,time_to_barrier_ordering_proxy_scout,experiment_execution,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C/reports/result_summary.md,,,,,,,,,frontier90C_time_to_barrier_ordering_proxy_scout_v1__tier_ab_combined,,ordering_proxy_scout_only_no_runtime_evidence,experiment_execution,,,Can F90B labels create an ordering proxy?,frontier90D_time_to_barrier_repair_or_rotation_decision_v1,,,negative_ordering_proxy_oos_lift_failed_no_runtime_trigger_tier_b_missing_boundary,,,2026-06-19T01:41:18Z,docs/agent_control/packets/frontier90C_time_to_barrier_ordering_proxy_scout_v1/required_gate_coverage_audit.json,,,22,2026-06-19T01:41:18Z,docs/agent_control/packets/frontier90C_time_to_barrier_ordering_proxy_scout_v1/required_gate_coverage_audit.json,,not_claimed,not_claimed,,not_claimed,not_claimed,experiment_execution,experiment_run_proxy_scout,frontier90B_time_to_barrier_label_feasibility_scout_v1,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/02_runs/frontier90C/reports/result_summary.md,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0
frontier90D_time_to_barrier_repair_or_rotation_decision_v1__planned_current_run,stage_frontier_90__time_to_barrier_competing_risk_label_axis,frontier90D_time_to_barrier_repair_or_rotation_decision_v1,frontier90D_time_to_barrier_repair_or_rotation_decision_v1__planned_current_run,frontier90C_time_to_barrier_ordering_proxy_scout_v1,planned_current_run,not_applicable_planned,pending,structural_scout,planned_current_run_no_authority,pending_repair_or_rotation_decision,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis,pending,pending_runtime_claim_forbidden,pending,Planned after F90C negative proxy result.,,frontier90D,2026-06-19,pending_execution,,0,0,0,planned_current_run_no_authority_no_runtime_claim_no_goal_achieve,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/00_spec/stage_brief.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/00_spec/stage_brief.md,planned_current_run,not_applicable_planned,pending,,,,,,,,planned_current_run_no_authority,,,,,,,,,,,,,time_to_barrier_ordering_proxy_scout,experiment_execution,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/00_spec/stage_brief.md,,,,,,,,,frontier90D_time_to_barrier_repair_or_rotation_decision_v1__planned_current_run,,planned_only_no_runtime_evidence,experiment_execution,,,Should F90 repair time-to-barrier ordering or rotate after OOS proxy failure?,decide_repair_or_rotation,,,pending,,,2026-06-19T01:41:18Z,,,,0,2026-06-19T01:41:18Z,,,not_claimed,not_claimed,,not_claimed,not_claimed,experiment_execution,planned_current_run,frontier90C_time_to_barrier_ordering_proxy_scout_v1,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis,stages/stage_frontier_90__time_to_barrier_competing_risk_label_axis/00_spec/stage_brief.md,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0
