record_view,candidate_id,candidate_alias,candidate_role,test_id,test_type,materialization_boundary,route_role,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,report_equity_drawdown_percent,report_balance_drawdown_percent,report_recovery_factor,tier_b_fallback_used_count,tier_b_fallback_order_fill_count,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,curve_read
mt5_ta_s258_stc_explosive_second_historical_2024,s258_short_tight_control,s258_stc,stress_challenger,explosive_second_survival,explosive_second_survival,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,tier_a_only,533,2311.59,7155.05,-4843.46,1.47726,4.336942,0.547842,24.503596,-20.097344,1.219245,428.84,17.591321,150,0.833021,6,5.390332,16.4,14.67,4.73,0,0,0.916667,1,2024-07,-124.56,2024-10,608.96,974.92,145.43,1191.24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DA/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DA_run267cz_01_s258_stc_explosive_second_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s258_stc_explosive_second_historical_2024,s258_short_tight_control,s258_stc,stress_challenger,explosive_second_survival,explosive_second_survival,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,routed_total,533,2311.59,7155.05,-4843.46,1.47726,4.336942,0.547842,24.503596,-20.097344,1.219245,428.84,17.591321,150,0.833021,6,5.390332,16.4,14.67,4.73,0,0,0.916667,1,2024-07,-124.56,2024-10,608.96,974.92,145.43,1191.24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DA/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DA_run267cz_01_s258_stc_explosive_second_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s264_aia_explosive_second_historical_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,explosive_second_survival,explosive_second_survival,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,tier_a_only,543,1445.48,5233.05,-3787.57,1.381638,2.662026,0.541436,17.79949,-15.211124,1.170163,265.9,19.471206,146,0.858195,5,5.436179,14.69,12.73,4.62,0,0,0.75,3,2024-07,-95.66,2024-10,378.74,629.07,118.75,697.66,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DA/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DA_run267cz_02_s264_aia_explosive_second_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s264_aia_explosive_second_historical_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,explosive_second_survival,explosive_second_survival,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,routed_total,543,1445.48,5233.05,-3787.57,1.381638,2.662026,0.541436,17.79949,-15.211124,1.170163,265.9,19.471206,146,0.858195,5,5.436179,14.69,12.73,4.62,0,0,0.75,3,2024-07,-95.66,2024-10,378.74,629.07,118.75,697.66,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DA/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DA_run267cz_02_s264_aia_explosive_second_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s264_aih_explosive_second_historical_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,explosive_second_survival,explosive_second_survival,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,tier_a_only,516,1280.09,5202.02,-3921.93,1.326393,2.480795,0.534884,18.847899,-16.341375,1.153385,336.46,22.975963,209,0.841085,6,3.804583,24.03,22.98,3.6,0,0,0.75,3,2024-12,-176.85,2024-10,393.39,929.33,-207.27,558.03,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DA/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DA_run267cz_03_s264_aih_explosive_second_ta_2024.png,profit_with_curve_risk_watch(수익은 있으나 곡선 위험 관찰)
mt5_rt_s264_aih_explosive_second_historical_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,explosive_second_survival,explosive_second_survival,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,routed_total,516,1280.09,5202.02,-3921.93,1.326393,2.480795,0.534884,18.847899,-16.341375,1.153385,336.46,22.975963,209,0.841085,6,3.804583,24.03,22.98,3.6,0,0,0.75,3,2024-12,-176.85,2024-10,393.39,929.33,-207.27,558.03,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DA/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DA_run267cz_03_s264_aih_explosive_second_rt_2024.png,profit_with_curve_risk_watch(수익은 있으나 곡선 위험 관찰)
mt5_ta_s264_aia_aia_val_damage_historical_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,aia_validation_damage_probe,aia_validation_damage_probe,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,tier_a_only,529,1489.15,5194.22,-3705.07,1.401922,2.815028,0.544423,18.035486,-15.373734,1.173136,247.31,18.272217,160,0.854442,5,6.02139,14.2,11.71,4.87,0,0,0.75,3,2024-07,-67.24,2024-11,366.84,663.31,44.64,781.2,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DA/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DA_run267cz_04_s264_aia_aia_val_damage_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s264_aia_aia_val_damage_historical_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,aia_validation_damage_probe,aia_validation_damage_probe,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,routed_total,529,1489.15,5194.22,-3705.07,1.401922,2.815028,0.544423,18.035486,-15.373734,1.173136,247.31,18.272217,160,0.854442,5,6.02139,14.2,11.71,4.87,0,0,0.75,3,2024-07,-67.24,2024-11,366.84,663.31,44.64,781.2,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DA/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DA_run267cz_04_s264_aia_aia_val_damage_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s264_aih_aih_final_supply_historical_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,aih_final_supply_or_prune,aih_final_supply_or_prune,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,tier_a_only,307,1364.23,3398.92,-2034.69,1.670485,4.443746,0.57329,19.312045,-15.531985,1.243373,319.96,14.823463,52,0.742671,7,4.263752,16.71,14.82,3.71,0,0,0.833333,2,2024-12,-261.4,2024-10,368.67,465.99,318.09,580.15,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DA/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DA_run267cz_05_s264_aih_aih_final_supply_ta_2024.png,profit_with_deep_dd_or_month_hole(수익은 있으나 손실폭 또는 월별 구멍 깊음)
mt5_rt_s264_aih_aih_final_supply_historical_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,aih_final_supply_or_prune,aih_final_supply_or_prune,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,routed_total,307,1364.23,3398.92,-2034.69,1.670485,4.443746,0.57329,19.312045,-15.531985,1.243373,319.96,14.823463,52,0.742671,7,4.263752,16.71,14.82,3.71,0,0,0.833333,2,2024-12,-261.4,2024-10,368.67,465.99,318.09,580.15,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DA/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DA_run267cz_05_s264_aih_aih_final_supply_rt_2024.png,profit_with_deep_dd_or_month_hole(수익은 있으나 손실폭 또는 월별 구멍 깊음)
