record_view,candidate_id,candidate_alias,candidate_role,test_id,test_type,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_rt_s258_stc_similar_repl_historical_2024,s258_short_tight_control,s258_stc,stress_challenger,similar_replacement_impulse,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,weekday,Monday,64,-313.09,480.27,-793.36,0.605362,-4.892031,0.5,15.008437,-24.7925,0.605362,366.56,72.487097,61,0.953125,4,-0.85413,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s264_aih_similar_repl_historical_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,similar_replacement_impulse,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,weekday,Monday,54,-256.75,408.84,-665.59,0.614252,-4.75463,0.481481,15.724615,-23.771071,0.661502,316.39,62.608093,52,0.962963,4,-0.811498,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s264_lc_similar_repl_historical_2024,s264_lowrank_control,s264_lc,defensive_control,similar_replacement_impulse,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,weekday,Monday,61,-256.56,489.03,-745.59,0.655897,-4.205902,0.508197,15.775161,-24.853,0.634739,358.53,70.887953,58,0.95082,4,-0.715589,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s264_aia_similar_repl_historical_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,similar_replacement_impulse,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,weekday,Monday,59,-215.73,443.78,-659.51,0.672894,-3.656441,0.508475,14.792667,-22.741724,0.650464,332.28,65.835827,57,0.966102,4,-0.649242,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s258_stc_loss_shape_proxy_historical_2024,s258_short_tight_control,s258_stc,stress_challenger,loss_shape_proxy_minimal,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,weekday,Monday,37,-185.98,149.67,-335.65,0.445911,-5.026486,0.405405,9.978,-15.256818,0.654003,185.98,37.196,37,1.0,4,-1.0,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s262_lih_similar_repl_historical_2024,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,similar_replacement_impulse,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,weekday,Monday,58,-180.03,411.35,-591.38,0.695576,-3.103966,0.517241,13.711667,-21.120714,0.649205,283.35,56.205741,57,0.982759,6,-0.635363,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s258_stc_similar_repl_historical_2024,s258_short_tight_control,s258_stc,stress_challenger,similar_replacement_impulse,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,month,2024-07,55,-173.27,351.48,-524.75,0.669805,-3.150364,0.472727,13.518462,-18.094828,0.74709,268.57,53.714,55,1.0,6,-0.645158,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s264_lc_similar_repl_historical_2024,s264_lowrank_control,s264_lc,defensive_control,similar_replacement_impulse,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,month,2024-12,37,-170.6,444.26,-614.86,0.722538,-4.610811,0.432432,27.76625,-29.279048,0.948332,303.63,60.726,37,1.0,3,-0.561868,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s264_aih_similar_repl_historical_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,similar_replacement_impulse,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,month,2024-12,32,-154.08,328.59,-482.67,0.680776,-4.815,0.46875,21.906,-28.392353,0.771546,226.01,43.450092,31,0.96875,3,-0.68174,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s262_lih_similar_repl_historical_2024,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,similar_replacement_impulse,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,month,2024-07,51,-152.26,244.98,-397.24,0.616705,-2.98549,0.509804,9.422308,-15.8896,0.592986,223.46,44.692,51,1.0,5,-0.681375,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s258_stc_similar_repl_historical_2024,s258_short_tight_control,s258_stc,stress_challenger,similar_replacement_impulse,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,month,2024-06,17,-146.22,160.83,-307.05,0.523791,-8.601176,0.294118,32.166,-25.5875,1.257098,149.41,29.692561,16,0.941176,5,-0.978649,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aia_loss_shape_proxy_historical_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,loss_shape_proxy_minimal,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,weekday,Monday,29,-141.03,63.43,-204.46,0.310232,-4.863103,0.37931,5.766364,-11.358889,0.507652,141.03,28.206,29,1.0,4,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aih_similar_repl_historical_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,similar_replacement_impulse,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,month,2024-07,47,-138.9,250.54,-389.44,0.643334,-2.955319,0.446809,11.930476,-14.978462,0.796509,171.4,34.28,47,1.0,5,-0.810385,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s264_lc_similar_repl_historical_2024,s264_lowrank_control,s264_lc,defensive_control,similar_replacement_impulse,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,session_report,session_07_12_report_time,3,-138.5,0,-138.5,0.0,-46.166667,0.0,,-46.166667,,138.5,27.7,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aia_similar_repl_historical_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,similar_replacement_impulse,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,month,2024-07,51,-136.74,282.42,-419.16,0.673776,-2.681176,0.529412,10.46,-17.465,0.598912,218.89,43.778,51,1.0,5,-0.624697,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s264_lc_loss_shape_proxy_historical_2024,s264_lowrank_control,s264_lc,defensive_control,loss_shape_proxy_minimal,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,weekday,Monday,33,-136.59,93.05,-229.64,0.405199,-4.139091,0.393939,7.157692,-11.482,0.623384,136.59,27.318,33,1.0,4,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aih_loss_shape_proxy_historical_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,loss_shape_proxy_minimal,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,weekday,Monday,29,-136.01,79.79,-215.8,0.369741,-4.69,0.413793,6.649167,-12.694118,0.523799,136.01,27.202,29,1.0,5,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aia_similar_repl_historical_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,similar_replacement_impulse,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,month,2024-06,15,-134.23,137.28,-271.51,0.505617,-8.948667,0.333333,27.456,-27.151,1.011233,137.75,27.357404,14,0.933333,4,-0.974446,negative_fragile_slice(음수 취약 구간)
mt5_rt_s258_stc_similar_repl_historical_2024,s258_short_tight_control,s258_stc,stress_challenger,similar_replacement_impulse,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,session_report,session_07_12_report_time,3,-131.4,0,-131.4,0.0,-43.8,0.0,,-43.8,,131.4,26.28,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aih_similar_repl_historical_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,similar_replacement_impulse,orthogonal_loss_shape_state,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work,routed_total,session_report,session_07_12_report_time,3,-125.96,0,-125.96,0.0,-41.986667,0.0,,-41.986667,,125.96,25.192,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
