ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1__mt5_tier_a_only_s238_rank3f_neutral_ref_validation_is,250_adapter_research__decision_surface_binding_repair_after_stage248_threshold_no_effect,run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1,mt5_tier_a_only_s238_rank3f_neutral_ref_validation_is,run249A_stage249_stage248_entry_source_followup_review_v1,mt5_tier_a_only_s238_rank3f_neutral_ref_validation_is,Tier A,trading_risk_execution,baseline_adapter_stage250_decision_surface_binding_repair,completed,open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_rank3f_neutral_ref_ta_val.htm,net_profit=952.16;pf=1.6;expectancy=3.54;trades=269;win_rate=55.02;decision=open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_decision_surface_binding_after_stage248_threshold_no_effect,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=140.86;recovery=6.76;fill=471;reject=0;skip=42964;subtypes=NA;next_stage=251_adapter_research__stage250_decision_binding_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1__mt5_routed_s238_rank3f_neutral_ref_validation_is,250_adapter_research__decision_surface_binding_repair_after_stage248_threshold_no_effect,run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1,mt5_routed_s238_rank3f_neutral_ref_validation_is,run249A_stage249_stage248_entry_source_followup_review_v1,mt5_routed_s238_rank3f_neutral_ref_validation_is,Tier A+B,trading_risk_execution,baseline_adapter_stage250_decision_surface_binding_repair,completed,open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_rank3f_neutral_ref_rt_val.htm,net_profit=952.16;pf=1.6;expectancy=3.54;trades=269;win_rate=55.02;decision=open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_decision_surface_binding_after_stage248_threshold_no_effect,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=140.86;recovery=6.76;fill=471;reject=0;skip=42964;next_stage=251_adapter_research__stage250_decision_binding_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1__mt5_tier_a_only_s238_rank3f_neutral_ref_oos,250_adapter_research__decision_surface_binding_repair_after_stage248_threshold_no_effect,run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1,mt5_tier_a_only_s238_rank3f_neutral_ref_oos,run249A_stage249_stage248_entry_source_followup_review_v1,mt5_tier_a_only_s238_rank3f_neutral_ref_oos,Tier A,trading_risk_execution,baseline_adapter_stage250_decision_surface_binding_repair,completed,open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_rank3f_neutral_ref_ta_oos.htm,net_profit=719.48;pf=1.74;expectancy=3.69;trades=195;win_rate=56.41;decision=open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_decision_surface_binding_after_stage248_threshold_no_effect,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=101.06;recovery=7.12;fill=344;reject=0;skip=29753;subtypes=NA;next_stage=251_adapter_research__stage250_decision_binding_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1__mt5_routed_s238_rank3f_neutral_ref_oos,250_adapter_research__decision_surface_binding_repair_after_stage248_threshold_no_effect,run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1,mt5_routed_s238_rank3f_neutral_ref_oos,run249A_stage249_stage248_entry_source_followup_review_v1,mt5_routed_s238_rank3f_neutral_ref_oos,Tier A+B,trading_risk_execution,baseline_adapter_stage250_decision_surface_binding_repair,completed,open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_rank3f_neutral_ref_rt_oos.htm,net_profit=719.48;pf=1.74;expectancy=3.69;trades=195;win_rate=56.41;decision=open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_decision_surface_binding_after_stage248_threshold_no_effect,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=101.06;recovery=7.12;fill=344;reject=0;skip=29753;next_stage=251_adapter_research__stage250_decision_binding_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1__mt5_tier_a_only_s238_lowpen015_rank3f_validation_is,250_adapter_research__decision_surface_binding_repair_after_stage248_threshold_no_effect,run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1,mt5_tier_a_only_s238_lowpen015_rank3f_validation_is,run249A_stage249_stage248_entry_source_followup_review_v1,mt5_tier_a_only_s238_lowpen015_rank3f_validation_is,Tier A,trading_risk_execution,baseline_adapter_stage250_decision_surface_binding_repair,completed,open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_lowpen015_rank3f_ta_val.htm,net_profit=224.17;pf=1.49;expectancy=1.28;trades=175;win_rate=59.43;decision=open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_decision_surface_binding_after_stage248_threshold_no_effect,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=98.32;recovery=2.28;fill=329;reject=0;skip=42964;subtypes=NA;next_stage=251_adapter_research__stage250_decision_binding_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1__mt5_routed_s238_lowpen015_rank3f_validation_is,250_adapter_research__decision_surface_binding_repair_after_stage248_threshold_no_effect,run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1,mt5_routed_s238_lowpen015_rank3f_validation_is,run249A_stage249_stage248_entry_source_followup_review_v1,mt5_routed_s238_lowpen015_rank3f_validation_is,Tier A+B,trading_risk_execution,baseline_adapter_stage250_decision_surface_binding_repair,completed,open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_lowpen015_rank3f_rt_val.htm,net_profit=224.17;pf=1.49;expectancy=1.28;trades=175;win_rate=59.43;decision=open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_decision_surface_binding_after_stage248_threshold_no_effect,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=98.32;recovery=2.28;fill=329;reject=0;skip=42964;next_stage=251_adapter_research__stage250_decision_binding_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1__mt5_tier_a_only_s238_lowpen015_rank3f_oos,250_adapter_research__decision_surface_binding_repair_after_stage248_threshold_no_effect,run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1,mt5_tier_a_only_s238_lowpen015_rank3f_oos,run249A_stage249_stage248_entry_source_followup_review_v1,mt5_tier_a_only_s238_lowpen015_rank3f_oos,Tier A,trading_risk_execution,baseline_adapter_stage250_decision_surface_binding_repair,completed,open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_lowpen015_rank3f_ta_oos.htm,net_profit=247.02;pf=1.77;expectancy=1.8;trades=137;win_rate=59.12;decision=open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_decision_surface_binding_after_stage248_threshold_no_effect,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=40.04;recovery=6.17;fill=258;reject=0;skip=29753;subtypes=NA;next_stage=251_adapter_research__stage250_decision_binding_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1__mt5_routed_s238_lowpen015_rank3f_oos,250_adapter_research__decision_surface_binding_repair_after_stage248_threshold_no_effect,run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1,mt5_routed_s238_lowpen015_rank3f_oos,run249A_stage249_stage248_entry_source_followup_review_v1,mt5_routed_s238_lowpen015_rank3f_oos,Tier A+B,trading_risk_execution,baseline_adapter_stage250_decision_surface_binding_repair,completed,open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_lowpen015_rank3f_rt_oos.htm,net_profit=247.02;pf=1.77;expectancy=1.8;trades=137;win_rate=59.12;decision=open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_decision_surface_binding_after_stage248_threshold_no_effect,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=40.04;recovery=6.17;fill=258;reject=0;skip=29753;next_stage=251_adapter_research__stage250_decision_binding_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1__mt5_tier_a_only_s238_lowpen025_rank3f_validation_is,250_adapter_research__decision_surface_binding_repair_after_stage248_threshold_no_effect,run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1,mt5_tier_a_only_s238_lowpen025_rank3f_validation_is,run249A_stage249_stage248_entry_source_followup_review_v1,mt5_tier_a_only_s238_lowpen025_rank3f_validation_is,Tier A,trading_risk_execution,baseline_adapter_stage250_decision_surface_binding_repair,completed,open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_lowpen025_rank3f_ta_val.htm,net_profit=122.98;pf=1.4;expectancy=1.41;trades=87;win_rate=55.17;decision=open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_decision_surface_binding_after_stage248_threshold_no_effect,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=93.27;recovery=1.32;fill=157;reject=0;skip=42964;subtypes=NA;next_stage=251_adapter_research__stage250_decision_binding_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1__mt5_routed_s238_lowpen025_rank3f_validation_is,250_adapter_research__decision_surface_binding_repair_after_stage248_threshold_no_effect,run250A_stage250_decision_surface_binding_repair_after_stage248_threshold_no_effect_v1,mt5_routed_s238_lowpen025_rank3f_validation_is,run249A_stage249_stage248_entry_source_followup_review_v1,mt5_routed_s238_lowpen025_rank3f_validation_is,Tier A+B,trading_risk_execution,baseline_adapter_stage250_decision_surface_binding_repair,completed,open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_lowpen025_rank3f_rt_val.htm,net_profit=122.98;pf=1.4;expectancy=1.41;trades=87;win_rate=55.17;decision=open_stage251_bounded_followup_due_to_decision_binding_still_inactive_candidate_not_final;external_status=completed;variant_count=4;target_surface=legacy_34d_kpi_lesson_only_v2_native_decision_surface_binding_after_stage248_threshold_no_effect,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=93.27;recovery=1.32;fill=157;reject=0;skip=42964;next_stage=251_adapter_research__stage250_decision_binding_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
