ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes,hcardrail_kpi,run_number,date,decision,next_run_id,rows,gate_passes,gate_total,claim_boundary,report_path,trained_models,onnx_parity,best_proxy,candidate_rows,positive_proxy_rows,best_model_id,best_proxy_net,attempt_rows,feature_matrix_rows,runtime_completed_rows,matched_rows,mismatch_rows,positive_net_rows,best_net_profit,best_profit_factor,operating_ready_rows,run_date,primary_artifact,view,tier,metric_scope,net_profit,profit_factor,expectancy,drawdown,recovery_factor,trade_count,candidate_model_id,result_status,expected_probability_rows,long_trade_count,short_trade_count,feature_count,task_seed_rows,eligible_task_rows,trained_model_rows,best_inner_holdout_proxy_net,best_inner_holdout_profit_factor,candidate_model_ids,probe_priority_model,raw_top_model,lane,family,primary_report,balance_control_model,cost_control_model,primary_proxy_net,primary_profit_factor,primary_recovery_factor,sample_rows,attempt_count,source_package_run_id,row_id,scoreboard,evidence_boundary,work_family,evidence_scope,run_key,question,next_action,trade_density_per_feature_day,trade_density_requirement_status,result_judgment,max_drawdown_amount,final_decision_path,created_at,gate_audit_path,expected_estimated_mt5_density,usable_report_rows,artifact_count,created_at_utc,required_gate_audit,kpi_summary,runtime_authority,operating_promotion,trade_density,source_authority,goal_achieve,run_family,run_type,input_run_id,output_path,result_path,selected_net_profit,selected_profit_factor,selected_trade_density,expected_net_profit,expected_profit_factor,expected_trade_count,expected_trade_density,route_attribution_boundary,scaled_density_estimate,max_drawdown_percent,strict_joint_pass_count,probability_parity_pass_rows,best_candidate_id,candidate_count,scout_clue_count,materialization_candidate_count,meaningful_signal_count,completion_candidate_count,model,drawdown_percent,trades_per_day,oos_trades_per_day,oos_net_profit,oos_profit_factor,oos_trade_count,oos_drawdown_percent
run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1__materialized_or_blocked,100_adapter_research__v41_oos_early_context_gate_runtime_repair,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,materialized_or_blocked,run99A_stage99_v41_oos_early_side_session_context_repair_v1,materialized_or_blocked,Tier A+B,stage100_v41_oos_early_context_gate_runtime_repair,runtime_probe,blocked,continue_context_gate_runtime_repair_in_stage101_due_to_incomplete_runtime,stages/100_adapter_research__v41_oos_early_context_gate_runtime_repair/03_reviews/stage100_decision.md,mt5_kpi_records=0,target_surface=legacy_34d_kpi_lesson_only_no_legacy_inheritance,blocked,Stage100 run materialized or blocked before KPI records were available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1__mt5_tier_a_only_s100_v41_h3_cd8_lng_earlymid_adx20_validation_is,100_adapter_research__v41_oos_early_context_gate_runtime_repair,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,mt5_tier_a_only_s100_v41_h3_cd8_lng_earlymid_adx20_validation_is,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,mt5_tier_a_only_s100_v41_h3_cd8_lng_earlymid_adx20_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/100_adapter_research__v41_oos_early_context_gate_runtime_repair/02_runs/run100A/mt5/reports/Project_Obsidian_Prime_v2_run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1_s100_v41_h3_cd8_lng_earlymid_adx20_ta_val.htm,net_profit=1208.59;pf=1.77;expectancy=6.91;trades=175;win_rate=61.14,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=274.11;recovery=4.41;fill=331;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1__mt5_routed_s100_v41_h3_cd8_lng_earlymid_adx20_validation_is,100_adapter_research__v41_oos_early_context_gate_runtime_repair,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,mt5_routed_s100_v41_h3_cd8_lng_earlymid_adx20_validation_is,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,mt5_routed_s100_v41_h3_cd8_lng_earlymid_adx20_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/100_adapter_research__v41_oos_early_context_gate_runtime_repair/02_runs/run100A/mt5/reports/Project_Obsidian_Prime_v2_run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1_s100_v41_h3_cd8_lng_earlymid_adx20_rt_val.htm,net_profit=1208.59;pf=1.77;expectancy=6.91;trades=175;win_rate=61.14,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=274.11;recovery=4.41;fill=331;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1__mt5_tier_a_only_s100_v41_h3_cd8_lng_earlymid_adx20_oos,100_adapter_research__v41_oos_early_context_gate_runtime_repair,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,mt5_tier_a_only_s100_v41_h3_cd8_lng_earlymid_adx20_oos,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,mt5_tier_a_only_s100_v41_h3_cd8_lng_earlymid_adx20_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/100_adapter_research__v41_oos_early_context_gate_runtime_repair/02_runs/run100A/mt5/reports/Project_Obsidian_Prime_v2_run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1_s100_v41_h3_cd8_lng_earlymid_adx20_ta_oos.htm,net_profit=574.26;pf=1.58;expectancy=4.22;trades=136;win_rate=56.62,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=242.47;recovery=2.37;fill=253;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1__mt5_routed_s100_v41_h3_cd8_lng_earlymid_adx20_oos,100_adapter_research__v41_oos_early_context_gate_runtime_repair,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,mt5_routed_s100_v41_h3_cd8_lng_earlymid_adx20_oos,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,mt5_routed_s100_v41_h3_cd8_lng_earlymid_adx20_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/100_adapter_research__v41_oos_early_context_gate_runtime_repair/02_runs/run100A/mt5/reports/Project_Obsidian_Prime_v2_run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1_s100_v41_h3_cd8_lng_earlymid_adx20_rt_oos.htm,net_profit=574.26;pf=1.58;expectancy=4.22;trades=136;win_rate=56.62,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=242.47;recovery=2.37;fill=253;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1__mt5_tier_a_only_s100_v41_h3_cd8_lng_early_adx20_validation_is,100_adapter_research__v41_oos_early_context_gate_runtime_repair,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,mt5_tier_a_only_s100_v41_h3_cd8_lng_early_adx20_validation_is,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,mt5_tier_a_only_s100_v41_h3_cd8_lng_early_adx20_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/100_adapter_research__v41_oos_early_context_gate_runtime_repair/02_runs/run100A/mt5/reports/Project_Obsidian_Prime_v2_run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1_s100_v41_h3_cd8_lng_early_adx20_ta_val.htm,net_profit=1289;pf=1.72;expectancy=6.54;trades=197;win_rate=60.91,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=285.97;recovery=4.51;fill=372;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1__mt5_routed_s100_v41_h3_cd8_lng_early_adx20_validation_is,100_adapter_research__v41_oos_early_context_gate_runtime_repair,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,mt5_routed_s100_v41_h3_cd8_lng_early_adx20_validation_is,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,mt5_routed_s100_v41_h3_cd8_lng_early_adx20_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/100_adapter_research__v41_oos_early_context_gate_runtime_repair/02_runs/run100A/mt5/reports/Project_Obsidian_Prime_v2_run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1_s100_v41_h3_cd8_lng_early_adx20_rt_val.htm,net_profit=1289;pf=1.72;expectancy=6.54;trades=197;win_rate=60.91,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=285.97;recovery=4.51;fill=372;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1__mt5_tier_a_only_s100_v41_h3_cd8_lng_early_adx20_oos,100_adapter_research__v41_oos_early_context_gate_runtime_repair,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,mt5_tier_a_only_s100_v41_h3_cd8_lng_early_adx20_oos,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,mt5_tier_a_only_s100_v41_h3_cd8_lng_early_adx20_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/100_adapter_research__v41_oos_early_context_gate_runtime_repair/02_runs/run100A/mt5/reports/Project_Obsidian_Prime_v2_run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1_s100_v41_h3_cd8_lng_early_adx20_ta_oos.htm,net_profit=605.06;pf=1.58;expectancy=4.06;trades=149;win_rate=55.03,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=190.92;recovery=3.17;fill=279;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1__mt5_routed_s100_v41_h3_cd8_lng_early_adx20_oos,100_adapter_research__v41_oos_early_context_gate_runtime_repair,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,mt5_routed_s100_v41_h3_cd8_lng_early_adx20_oos,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,mt5_routed_s100_v41_h3_cd8_lng_early_adx20_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/100_adapter_research__v41_oos_early_context_gate_runtime_repair/02_runs/run100A/mt5/reports/Project_Obsidian_Prime_v2_run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1_s100_v41_h3_cd8_lng_early_adx20_rt_oos.htm,net_profit=605.06;pf=1.58;expectancy=4.06;trades=149;win_rate=55.03,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=190.92;recovery=3.17;fill=279;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run101A_stage101_v41_context_gate_followup_review_v1__review_gate,101_adapter_research__v41_context_gate_followup_review,run101A_stage101_v41_context_gate_followup_review_v1,review_gate,run100A_stage100_v41_oos_early_context_gate_runtime_repair_v1,stage101_review_gate,Tier A+B,stage101_v41_context_gate_followup_review,regular_risk_execution_review,reviewed,continue_oos_net_density_dd_repair_in_stage102,stages/101_adapter_research__v41_context_gate_followup_review/03_reviews/stage101_decision.md,best_oos_adapter=s100_v41_h3_cd8_lng_early_adx20;oos_pf=1.584029;oos_net=605.06;oos_dd_pct=18.690000,pf_gap_to_34d=0.000872;net_gap_to_34d=-382.54;dd_gap_to_34d=5.780864;trade_gap_to_34d=-255,completed_existing_stage100_mt5_runtime_evidence_reviewed,Review-only gate using Stage100 MT5 runtime evidence; no new runtime claim.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
