gate,status,evidence_path,detail
parent_protocol_outputs_loaded,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/run335G_probe_input_materialization_queue.csv,queue_rows=11;parent_failed_gates=0
scope_completion_gate,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_package_manifest.csv,packages=11;missing_payloads=0
kpi_contract_audit,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/measurement_input_manifest.csv,measurement_rows=66;expected=66
proxy_expected_manifest_gate,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/proxy_expected_result_manifest.csv,proxy_rows=11;proxy_result_claims=0
mt5_runtime_result_or_block_gate,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/mt5_runtime_probe_result_or_block.csv,mt5_rows=11;mt5_result_claims=0
proxy_mt5_usability_guard,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/proxy_mt5_comparison_readiness_matrix.csv,readiness_rows=11;usable_claims=0
negative_control_materialization_gate,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/negative_control_input_manifest.csv,negative_rows=21;expected=21
stop_condition_materialization_gate,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/stop_condition_input_manifest.csv,stop_rows=66;expected=66
runtime_bridge_materialization_gate,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/runtime_bridge_input_manifest.csv,runtime_rows=27;expected=27
no_retune_guard_locked,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/no_retune_materialization_guard.csv,no_retune_rows=11;unlocked=0;selection_true=0
skill_receipt_lint,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/run_evidence_system_receipt.json,"run evidence, experiment design, data integrity, model validation, runtime parity, artifact lineage, and result judgment receipts emitted"
required_gate_coverage_audit,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/run335H_probe_input_review_queue.csv,review_queue_rows=11;forbidden_findings=0
