ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1__mt5_tier_a_only_s246_cap0305_control_validation_is,246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_tier_a_only_s246_cap0305_control_validation_is,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_tier_a_only_s246_cap0305_control_validation_is,Tier A,trading_risk_execution,baseline_adapter_stage246_soft_timestamp_guard_repair,completed,open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_cap0305_control_ta_val.htm,net_profit=976.67;pf=1.59;expectancy=3.63;trades=269;win_rate=55.02;decision=open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_soft_timestamp_guard_repair,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=146.78;recovery=6.65;fill=471;reject=0;skip=42964;subtypes=NA;next_stage=247_adapter_research__stage246_soft_guard_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1__mt5_routed_s246_cap0305_control_validation_is,246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_routed_s246_cap0305_control_validation_is,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_routed_s246_cap0305_control_validation_is,Tier A+B,trading_risk_execution,baseline_adapter_stage246_soft_timestamp_guard_repair,completed,open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_cap0305_control_rt_val.htm,net_profit=976.67;pf=1.59;expectancy=3.63;trades=269;win_rate=55.02;decision=open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_soft_timestamp_guard_repair,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=146.78;recovery=6.65;fill=471;reject=0;skip=42964;next_stage=247_adapter_research__stage246_soft_guard_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1__mt5_tier_a_only_s246_cap0305_control_oos,246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_tier_a_only_s246_cap0305_control_oos,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_tier_a_only_s246_cap0305_control_oos,Tier A,trading_risk_execution,baseline_adapter_stage246_soft_timestamp_guard_repair,completed,open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_cap0305_control_ta_oos.htm,net_profit=775.76;pf=1.78;expectancy=3.98;trades=195;win_rate=56.41;decision=open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_soft_timestamp_guard_repair,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=107.36;recovery=7.23;fill=344;reject=0;skip=29753;subtypes=NA;next_stage=247_adapter_research__stage246_soft_guard_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1__mt5_routed_s246_cap0305_control_oos,246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_routed_s246_cap0305_control_oos,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_routed_s246_cap0305_control_oos,Tier A+B,trading_risk_execution,baseline_adapter_stage246_soft_timestamp_guard_repair,completed,open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_cap0305_control_rt_oos.htm,net_profit=775.76;pf=1.78;expectancy=3.98;trades=195;win_rate=56.41;decision=open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_soft_timestamp_guard_repair,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=107.36;recovery=7.23;fill=344;reject=0;skip=29753;next_stage=247_adapter_research__stage246_soft_guard_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1__mt5_tier_a_only_s246_softlow_flat003_validation_is,246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_tier_a_only_s246_softlow_flat003_validation_is,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_tier_a_only_s246_softlow_flat003_validation_is,Tier A,trading_risk_execution,baseline_adapter_stage246_soft_timestamp_guard_repair,completed,open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_softlow_flat003_ta_val.htm,net_profit=921.3;pf=1.58;expectancy=3.42;trades=269;win_rate=55.02;decision=open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_soft_timestamp_guard_repair,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=138.14;recovery=6.67;fill=471;reject=0;skip=42964;subtypes=NA;next_stage=247_adapter_research__stage246_soft_guard_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1__mt5_routed_s246_softlow_flat003_validation_is,246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_routed_s246_softlow_flat003_validation_is,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_routed_s246_softlow_flat003_validation_is,Tier A+B,trading_risk_execution,baseline_adapter_stage246_soft_timestamp_guard_repair,completed,open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_softlow_flat003_rt_val.htm,net_profit=921.3;pf=1.58;expectancy=3.42;trades=269;win_rate=55.02;decision=open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_soft_timestamp_guard_repair,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=138.14;recovery=6.67;fill=471;reject=0;skip=42964;next_stage=247_adapter_research__stage246_soft_guard_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1__mt5_tier_a_only_s246_softlow_flat003_oos,246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_tier_a_only_s246_softlow_flat003_oos,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_tier_a_only_s246_softlow_flat003_oos,Tier A,trading_risk_execution,baseline_adapter_stage246_soft_timestamp_guard_repair,completed,open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_softlow_flat003_ta_oos.htm,net_profit=772.8;pf=1.79;expectancy=3.96;trades=195;win_rate=56.41;decision=open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_soft_timestamp_guard_repair,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=106.86;recovery=7.23;fill=344;reject=0;skip=29753;subtypes=NA;next_stage=247_adapter_research__stage246_soft_guard_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1__mt5_routed_s246_softlow_flat003_oos,246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_routed_s246_softlow_flat003_oos,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_routed_s246_softlow_flat003_oos,Tier A+B,trading_risk_execution,baseline_adapter_stage246_soft_timestamp_guard_repair,completed,open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_softlow_flat003_rt_oos.htm,net_profit=772.8;pf=1.79;expectancy=3.96;trades=195;win_rate=56.41;decision=open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_soft_timestamp_guard_repair,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=106.86;recovery=7.23;fill=344;reject=0;skip=29753;next_stage=247_adapter_research__stage246_soft_guard_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1__mt5_tier_a_only_s246_softlow_flat005_validation_is,246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_tier_a_only_s246_softlow_flat005_validation_is,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_tier_a_only_s246_softlow_flat005_validation_is,Tier A,trading_risk_execution,baseline_adapter_stage246_soft_timestamp_guard_repair,completed,open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_softlow_flat005_ta_val.htm,net_profit=905.28;pf=1.58;expectancy=3.37;trades=269;win_rate=55.02;decision=open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_soft_timestamp_guard_repair,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=135.83;recovery=6.66;fill=471;reject=0;skip=42964;subtypes=NA;next_stage=247_adapter_research__stage246_soft_guard_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1__mt5_routed_s246_softlow_flat005_validation_is,246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_routed_s246_softlow_flat005_validation_is,run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,mt5_routed_s246_softlow_flat005_validation_is,Tier A+B,trading_risk_execution,baseline_adapter_stage246_soft_timestamp_guard_repair,completed,open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_softlow_flat005_rt_val.htm,net_profit=905.28;pf=1.58;expectancy=3.37;trades=269;win_rate=55.02;decision=open_stage247_bounded_followup_due_to_soft_guard_tradeoff_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_soft_timestamp_guard_repair,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=135.83;recovery=6.66;fill=471;reject=0;skip=42964;next_stage=247_adapter_research__stage246_soft_guard_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
