record_view,candidate_id,candidate_alias,candidate_role,test_id,test_type,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_rt_s264_lc_lc_weekday_dd_historical_2024,s264_lowrank_control,s264_lc,defensive_control,s264_lc_weekday_dd_control,s264_lc_weekday_dd_control,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed,routed_total,weekday,Monday,70,-235.05,540.56,-775.61,0.696948,-3.357857,0.528571,14.60973,-23.503333,0.621602,330.98,62.445522,66,0.942857,5,-0.710164,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s264_lc_lc_weekday_dd_historical_2024,s264_lowrank_control,s264_lc,defensive_control,s264_lc_weekday_dd_control,s264_lc_weekday_dd_control,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed,routed_total,month,2024-06,17,-163.98,117.71,-281.69,0.417871,-9.645882,0.411765,16.815714,-28.169,0.596958,182.75,36.231166,16,0.941176,4,-0.897291,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s262_lih_lih_weekday_dd_historical_2024,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,s262_lih_weekday_dd_control,s262_lih_weekday_dd_control,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed,routed_total,weekday,Monday,69,-135.08,542.81,-677.89,0.800735,-1.957681,0.536232,14.670541,-21.184062,0.692527,252.49,47.726972,65,0.942029,4,-0.534991,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s264_lc_lc_weekday_dd_historical_2024,s264_lowrank_control,s264_lc,defensive_control,s264_lc_weekday_dd_control,s264_lc_weekday_dd_control,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed,routed_total,session_report,session_07_12_report_time,3,-133.21,0,-133.21,0.0,-44.403333,0.0,,-44.403333,,133.21,26.642,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_lc_lc_weekday_dd_historical_2024,s264_lowrank_control,s264_lc,defensive_control,s264_lc_weekday_dd_control,s264_lc_weekday_dd_control,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed,routed_total,month,2024-12,41,-129.63,516.04,-645.67,0.799232,-3.161707,0.390244,32.2525,-25.8268,1.2488,221.33,40.976414,31,0.95122,4,-0.585687,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s264_aia_aia_ablation_neutral_historical_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,s264_aia_ablation_neutralized_watch,s264_aia_ablation_neutralized_watch,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed,routed_total,session_report,session_07_12_report_time,3,-128.9,0,-128.9,0.0,-42.966667,0.0,,-42.966667,,128.9,25.78,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_rt_s262_lih_lih_weekday_dd_historical_2024,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,s262_lih_weekday_dd_control,s262_lih_weekday_dd_control,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed,routed_total,session_report,session_07_12_report_time,3,-124.22,0,-124.22,0.0,-41.406667,0.0,,-41.406667,,124.22,24.844,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_rt_s262_lih_lih_weekday_dd_historical_2024,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,s262_lih_weekday_dd_control,s262_lih_weekday_dd_control,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed,routed_total,month,2024-12,43,-118.64,434.33,-552.97,0.785449,-2.75907,0.488372,20.682381,-25.135,0.822852,203.07,37.172564,32,0.953488,4,-0.584232,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s264_aia_aia_similar_replacement_historical_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,s264_aia_similar_replacement_watch,s264_aia_similar_replacement_watch,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed,routed_total,session_report,session_07_12_report_time,3,-114.69,0,-114.69,0.0,-38.23,0.0,,-38.23,,114.69,22.938,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aia_aia_ablation_neutral_historical_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,s264_aia_ablation_neutralized_watch,s264_aia_ablation_neutralized_watch,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed,routed_total,month,2024-12,44,-94.76,544.7,-639.46,0.851812,-2.153636,0.522727,23.682609,-30.450476,0.777742,265.82,47.732088,43,0.977273,3,-0.356482,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
