queue_id,source_queue_id,axis_id,candidate_id,candidate_alias,candidate_role,test_id,test_type,materialization_boundary,attempt_name,tier,split,attempt_role,record_view_prefix,set_path,set_sha256,ini_path,ini_sha256,common_telemetry_path,common_summary_path,fallback_enabled,execution_status,runtime_status
run267t_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,run267S_axis01_pool_wide_variant_distinguishability,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",run267t_01_s264_aih_abl_volatility_bandwidth_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aih_abl_volatility_bandwidth_run267t,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_01_s264_aih_abl_volatility_bandwidth_ta_2024.set,a86d78448ea70d3dd3937eb415a4fcb0439d850a1607dbb1e700a93f65462a24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_01_s264_aih_abl_volatility_bandwidth_ta_2024.ini,5c181a526555613a0b74db1a251b30dae454e9ed41972f1b9726427f194fe9eb,OPV2/s267t/run267T_orthogonal_stability/s264_aih/run267t_01_s264_aih_abl_volatility_bandwidth/telemetry/run267t_01_s264_aih_abl_volatility_bandwidth_ta_2024_telemetry.csv,OPV2/s267t/run267T_orthogonal_stability/s264_aih/run267t_01_s264_aih_abl_volatility_bandwidth/telemetry/run267t_01_s264_aih_abl_volatility_bandwidth_ta_2024_summary.csv,False,completed,completed
run267t_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,run267S_axis01_pool_wide_variant_distinguishability,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",run267t_01_s264_aih_abl_volatility_bandwidth_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_aih_abl_volatility_bandwidth_run267t,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_01_s264_aih_abl_volatility_bandwidth_rt_2024.set,2d846c69650dcb2b6a472bf7c6e44d010ecafcf73f5f88ab02d792b28249158b,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_01_s264_aih_abl_volatility_bandwidth_rt_2024.ini,f99482832553bed883d2d53d2072e2099b2e726347da4023c7911782c46c78ee,OPV2/s267t/run267T_orthogonal_stability/s264_aih/run267t_01_s264_aih_abl_volatility_bandwidth/telemetry/run267t_01_s264_aih_abl_volatility_bandwidth_rt_2024_telemetry.csv,OPV2/s267t/run267T_orthogonal_stability/s264_aih/run267t_01_s264_aih_abl_volatility_bandwidth/telemetry/run267t_01_s264_aih_abl_volatility_bandwidth_rt_2024_summary.csv,False,completed,completed
run267t_02_s264_aih_rep_volatility_atr,run267N_04_s264_aih_rep_volatility_atr,run267S_axis01_pool_wide_variant_distinguishability,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",run267t_02_s264_aih_rep_volatility_atr_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aih_rep_volatility_atr_run267t,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_02_s264_aih_rep_volatility_atr_ta_2024.set,b45716711f55f09a832ba9690b46cf31ed599edc91e7797d54be15e947cad472,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_02_s264_aih_rep_volatility_atr_ta_2024.ini,94d0b6f6724b71f05bcd33f59d1f209acf916c0def017987ee6346be17555e4f,OPV2/s267t/run267T_orthogonal_stability/s264_aih/run267t_02_s264_aih_rep_volatility_atr/telemetry/run267t_02_s264_aih_rep_volatility_atr_ta_2024_telemetry.csv,OPV2/s267t/run267T_orthogonal_stability/s264_aih/run267t_02_s264_aih_rep_volatility_atr/telemetry/run267t_02_s264_aih_rep_volatility_atr_ta_2024_summary.csv,False,completed,completed
run267t_02_s264_aih_rep_volatility_atr,run267N_04_s264_aih_rep_volatility_atr,run267S_axis01_pool_wide_variant_distinguishability,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",run267t_02_s264_aih_rep_volatility_atr_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_aih_rep_volatility_atr_run267t,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_02_s264_aih_rep_volatility_atr_rt_2024.set,bfececaa2eb978124c9a7731516e88f1ae99f4f94feb2178263bd02d493e48ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_02_s264_aih_rep_volatility_atr_rt_2024.ini,90efbe628ca2fee34e944f859b199108dc49bdbd80e9d1db4cd03e41f9ac1fda,OPV2/s267t/run267T_orthogonal_stability/s264_aih/run267t_02_s264_aih_rep_volatility_atr/telemetry/run267t_02_s264_aih_rep_volatility_atr_rt_2024_telemetry.csv,OPV2/s267t/run267T_orthogonal_stability/s264_aih/run267t_02_s264_aih_rep_volatility_atr/telemetry/run267t_02_s264_aih_rep_volatility_atr_rt_2024_summary.csv,False,completed,completed
run267t_03_s264_aih_abl_trend_strength_direction,run267N_02_s264_aih_abl_trend_strength_direction,run267S_axis02_non_calendar_weak_slice_resilience,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",run267t_03_s264_aih_abl_trend_strength_direction_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aih_abl_trend_strength_direction_run267t,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_03_s264_aih_abl_trend_strength_direction_ta_2024.set,abb30b565f8236a3c7c3e117b02b3cc1c6fefe53f966e83a503d0175c002fb46,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_03_s264_aih_abl_trend_strength_direction_ta_2024.ini,7a9fdad896e1fe6005ffebeddd99d5f4428c1aa3321ea79730dbe22bbae03522,OPV2/s267t/run267T_orthogonal_stability/s264_aih/run267t_03_s264_aih_abl_trend_strength_direction/telemetry/run267t_03_s264_aih_abl_trend_strength_direction_ta_2024_telemetry.csv,OPV2/s267t/run267T_orthogonal_stability/s264_aih/run267t_03_s264_aih_abl_trend_strength_direction/telemetry/run267t_03_s264_aih_abl_trend_strength_direction_ta_2024_summary.csv,False,completed,completed
run267t_03_s264_aih_abl_trend_strength_direction,run267N_02_s264_aih_abl_trend_strength_direction,run267S_axis02_non_calendar_weak_slice_resilience,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",run267t_03_s264_aih_abl_trend_strength_direction_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_aih_abl_trend_strength_direction_run267t,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_03_s264_aih_abl_trend_strength_direction_rt_2024.set,c152a97490e8f89231b3827190514f76b92265b9e6df03f35050d23fd5b7fae3,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_03_s264_aih_abl_trend_strength_direction_rt_2024.ini,ace609bd9e598408a11411cc8561b906d833984cd33bf8db1e018aa7e8e7fd82,OPV2/s267t/run267T_orthogonal_stability/s264_aih/run267t_03_s264_aih_abl_trend_strength_direction/telemetry/run267t_03_s264_aih_abl_trend_strength_direction_rt_2024_telemetry.csv,OPV2/s267t/run267T_orthogonal_stability/s264_aih/run267t_03_s264_aih_abl_trend_strength_direction/telemetry/run267t_03_s264_aih_abl_trend_strength_direction_rt_2024_summary.csv,False,completed,completed
run267t_04_s264_aih_rep_trend_strength_adx,run267N_03_s264_aih_rep_trend_strength_adx,run267S_axis02_non_calendar_weak_slice_resilience,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",run267t_04_s264_aih_rep_trend_strength_adx_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aih_rep_trend_strength_adx_run267t,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_04_s264_aih_rep_trend_strength_adx_ta_2024.set,f933941da201f26578788392b6ecd44eae69d6e57ce4e1636b25dbd02158cb46,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_04_s264_aih_rep_trend_strength_adx_ta_2024.ini,974ebceb3a995409837ef4f60c21b6864545fc6669c6792c7f7cca2179c9756b,OPV2/s267t/run267T_orthogonal_stability/s264_aih/run267t_04_s264_aih_rep_trend_strength_adx/telemetry/run267t_04_s264_aih_rep_trend_strength_adx_ta_2024_telemetry.csv,OPV2/s267t/run267T_orthogonal_stability/s264_aih/run267t_04_s264_aih_rep_trend_strength_adx/telemetry/run267t_04_s264_aih_rep_trend_strength_adx_ta_2024_summary.csv,False,completed,completed
run267t_04_s264_aih_rep_trend_strength_adx,run267N_03_s264_aih_rep_trend_strength_adx,run267S_axis02_non_calendar_weak_slice_resilience,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",run267t_04_s264_aih_rep_trend_strength_adx_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_aih_rep_trend_strength_adx_run267t,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_04_s264_aih_rep_trend_strength_adx_rt_2024.set,ed0d71ec1d756b4c2f86468f3bc5f71f39a1bf78e001912543d19a8f2aede728,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_04_s264_aih_rep_trend_strength_adx_rt_2024.ini,26dc99360545149df5efd0b2119d46be80ecfe9dd39f03e99feed5a6eccc21a6,OPV2/s267t/run267T_orthogonal_stability/s264_aih/run267t_04_s264_aih_rep_trend_strength_adx/telemetry/run267t_04_s264_aih_rep_trend_strength_adx_rt_2024_telemetry.csv,OPV2/s267t/run267T_orthogonal_stability/s264_aih/run267t_04_s264_aih_rep_trend_strength_adx/telemetry/run267t_04_s264_aih_rep_trend_strength_adx_rt_2024_summary.csv,False,completed,completed
run267t_05_s264_lc_rep_volatility_atr,run267N_09_s264_lc_rep_volatility_atr,run267S_axis01_pool_wide_variant_distinguishability,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",run267t_05_s264_lc_rep_volatility_atr_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_lc_rep_volatility_atr_run267t,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_05_s264_lc_rep_volatility_atr_ta_2024.set,e7bc9efd0a124d450db284afee9d1083321e1bf4cf63919b15a5c9cb2070e2c4,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_05_s264_lc_rep_volatility_atr_ta_2024.ini,d233ecad889a1501d61db2d269a1cc14a306ab3bc9cae9cd27088e25e8c0367e,OPV2/s267t/run267T_orthogonal_stability/s264_lc/run267t_05_s264_lc_rep_volatility_atr/telemetry/run267t_05_s264_lc_rep_volatility_atr_ta_2024_telemetry.csv,OPV2/s267t/run267T_orthogonal_stability/s264_lc/run267t_05_s264_lc_rep_volatility_atr/telemetry/run267t_05_s264_lc_rep_volatility_atr_ta_2024_summary.csv,False,completed,completed
run267t_05_s264_lc_rep_volatility_atr,run267N_09_s264_lc_rep_volatility_atr,run267S_axis01_pool_wide_variant_distinguishability,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",run267t_05_s264_lc_rep_volatility_atr_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_lc_rep_volatility_atr_run267t,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_05_s264_lc_rep_volatility_atr_rt_2024.set,9d762eb7b93fd3d070ffb57597e9b8c2bcb44f79c300c563e65aa20416db30b9,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/mt5/run267t_05_s264_lc_rep_volatility_atr_rt_2024.ini,f42017b4a6a4d540a2b0c68ceb669219500f8c5b4d1495aba12e39b3d86e4a0c,OPV2/s267t/run267T_orthogonal_stability/s264_lc/run267t_05_s264_lc_rep_volatility_atr/telemetry/run267t_05_s264_lc_rep_volatility_atr_rt_2024_telemetry.csv,OPV2/s267t/run267T_orthogonal_stability/s264_lc/run267t_05_s264_lc_rep_volatility_atr/telemetry/run267t_05_s264_lc_rep_volatility_atr_rt_2024_summary.csv,False,completed,completed
