variant_id,run_id,record_view,split,status,report_path,trade_count,trades_per_day,net_profit,profit_factor_recomputed,expectancy,cost_stress_per_trade,cost_stressed_expectancy,mfe_capture_ratio,mfe_capture_ratio_all_trades,reference_mfe_capture_ratio,mfe_capture_delta_vs_d390h10,mfe_capture_materially_worse_than_d390h10,winner_count,winner_truncation_rate,loser_count,loser_escape_rate,same_direction_reentry_3_bars,same_direction_reentry_6_bars,same_direction_reentry_12_bars,same_move_reentry_ratio,density_gain_survives_12bar_cooldown,mt5_average_position_holding_bars,cooldown_window_bars,cooldown_removed_trades,trade_count_after_cooldown,trades_per_day_after_cooldown,net_after_cooldown,profit_factor_after_cooldown,error
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_validation_is.htm,748,4.087431694,341.54,1.129371212,0.4566042781,0.3,0.1566042781,0.6400747268,-4.679334266,,,False,380,0.2921052632,368,0.3179347826,394,419,456,0.6096256684,False,22.68,12,456,292,1.595628415,141.07,1.149113164,
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_oos.htm,594,3.046153846,273.2,1.121265924,0.4599326599,0.3,0.1599326599,0.6282646615,-2.954786603,,,False,308,0.3214285714,286,0.2657342657,302,332,354,0.595959596,False,22.61333333,12,354,240,1.230769231,373.66,1.462273138,
s238_rank3f_neutral_ref,run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_rank3f_neutral_ref,mt5_routed_s238_rank3f_neutral_ref_validation_is,validation_is,completed,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_rank3f_neutral_ref_rt_val.htm,269,1.469945355,952.16,1.60008067,3.539628253,0.3,3.239628253,0.6773077989,-7.045807504,0.6400747268,0.0372330721,False,148,0.2432432432,121,0.2396694215,0,0,16,0.0594795539,False,11.58666667,12,16,253,1.382513661,891.61,1.574487278,
s238_rank3f_neutral_ref,run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_rank3f_neutral_ref,mt5_routed_s238_rank3f_neutral_ref_oos,oos,completed,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_rank3f_neutral_ref_rt_oos.htm,195,1,719.48,1.74146442,3.689641026,0.3,3.389641026,0.7127440841,-2.89155008,0.6282646615,0.08447942261,False,110,0.2272727273,85,0.2352941176,0,0,10,0.05128205128,False,6.533333333,12,10,185,0.9487179487,692.79,1.738440385,
s238_lowpen015_rank3f,run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_lowpen015_rank3f,mt5_routed_s238_lowpen015_rank3f_validation_is,validation_is,completed,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_lowpen015_rank3f_rt_val.htm,175,0.956284153,224.17,1.49045004,1.280971429,0.3,0.9809714286,0.6691202293,-9.632382568,0.6400747268,0.02904550248,False,103,0.2524271845,71,0.2957746479,0,0,10,0.05714285714,False,3.29,12,10,165,0.9016393443,207.86,1.469708268,
s238_lowpen015_rank3f,run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_lowpen015_rank3f,mt5_routed_s238_lowpen015_rank3f_oos,oos,completed,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_lowpen015_rank3f_rt_oos.htm,137,0.7025641026,247.02,1.767261997,1.803065693,0.3,1.503065693,0.7132745307,-1.892776043,0.6282646615,0.08500986915,False,81,0.2222222222,56,0.2321428571,0,0,9,0.06569343066,False,2.923333333,12,9,128,0.6564102564,229.29,1.736958827,
s238_lowpen025_rank3f,run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_lowpen025_rank3f,mt5_routed_s238_lowpen025_rank3f_validation_is,validation_is,completed,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_lowpen025_rank3f_rt_val.htm,87,0.4754098361,122.98,1.396556172,1.413563218,0.3,1.113563218,0.6391250777,-3.33457944,0.6400747268,-0.0009496491857,False,48,0.2916666667,39,0.3076923077,0,0,0,0,False,3.386666667,12,0,87,0.4754098361,122.98,1.396556172,
s238_lowpen025_rank3f,run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_lowpen025_rank3f,mt5_routed_s238_lowpen025_rank3f_oos,oos,completed,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_lowpen025_rank3f_rt_oos.htm,73,0.3743589744,145.62,1.716422316,1.994794521,0.3,1.694794521,0.6900987371,-2.17634505,0.6282646615,0.06183407555,False,41,0.2682926829,32,0.25,0,0,3,0.04109589041,False,2.833333333,12,3,70,0.358974359,139.92,1.695634881,
s238_highbonus010_rank3f,run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_highbonus010_rank3f,mt5_routed_s238_highbonus010_rank3f_validation_is,validation_is,completed,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_highbonus010_rank3f_rt_val.htm,269,1.469945355,967.85,1.571188291,3.59795539,0.3,3.29795539,0.6772919461,-7.045878948,0.6400747268,0.03721721931,False,148,0.2432432432,121,0.2396694215,0,0,16,0.0594795539,False,11.58666667,12,16,253,1.382513661,905.16,1.545362527,
s238_highbonus010_rank3f,run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_highbonus010_rank3f,mt5_routed_s238_highbonus010_rank3f_oos,oos,completed,stages/238_adapter_research__score_shape_repair_after_threshold_surface_discrete/02_runs/run238A/mt5/reports/Project_Obsidian_Prime_v2_run238A_stage238_score_shape_repair_after_threshold_surface_discrete_v1_s238_highbonus010_rank3f_rt_oos.htm,195,1,812.8,1.780090793,4.168205128,0.3,3.868205128,0.712700637,-2.891512611,0.6282646615,0.08443597547,False,110,0.2272727273,85,0.2352941176,0,0,10,0.05128205128,False,6.533333333,12,10,185,0.9487179487,788.84,1.784829521,
