scaffold_id,package_family,package_id,required_field_review,missing_fields,family_file_review,source_identity_review,closed_flag_review,result_ingestion_block_review,next_review_binding,forbidden_review,review_status,claim_boundary
run337J_01_001,no_lookahead,no_lookahead_future_bar_canary_harness_package_spec,pass,,pass,pass,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_01_002,no_lookahead,no_lookahead_forward_pocket_filter_canary_harness_package_spec,pass,,pass,pass,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_01_003,no_lookahead,no_threshold_retune_canary_harness_package_spec,pass,,pass,pass,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_01_004,no_lookahead,no_lot_optimization_canary_harness_package_spec,pass,,pass,pass,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_01_005,no_lookahead,timestamp_basis_canary_harness_package_spec,pass,,pass,pass,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_02_001,proxy_mt5,m48_bal_rf_proxy_mt5_fresh_probe_package_spec,pass,,pass,pass,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_02_002,proxy_mt5,m48_plain_rf_proxy_mt5_fresh_probe_package_spec,pass,,pass,pass,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_02_003,proxy_mt5,u42_bal_rf_proxy_mt5_fresh_probe_package_spec,pass,,pass,pass,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_02_004,proxy_mt5,u42_plain_rf_proxy_mt5_fresh_probe_package_spec,pass,,pass,pass,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_02_005,proxy_mt5,core56_refresh_candidate_proxy_mt5_fresh_probe_package_spec,pass,,pass,pass,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
