ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1_mt5_routed_c01_tier_a_used_validation_is_Tier_A,43_model_rebuild__low_complexity_feature_subset_regularized_signal,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c01_tier_a_used_validation_is,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c01_tier_a_used_validation_is,Tier A,mt5_runtime_probe,runtime_probe,completed,reviewed_completed_inconclusive_runtime_probe_only,,"{""aggregation"":""actual_routed_component"",""expectancy"":null,""fill_count"":536,""fill_rate"":1.0,""flat_count"":2920,""long_count"":412,""max_drawdown_amount"":null,""max_drawdown_percent"":null,""net_profit"":null,""no_tier_labelable_rows"":203,""order_attempt_count"":536,""profit_attribution"":""not_separable_from_single_routed_account_path"",""profit_factor"":null,""recovery_factor"":null,""reject_count"":0,""route_bar_count"":3731,""route_coverage_split"":""validation"",""route_role"":""primary_used"",""route_share"":0.8437358661239258,""routed_labelable_rows"":12210,""short_count"":399,""signal_count"":811,""skip_count"":0,""status"":""completed"",""tier_a_primary_labelable_rows"":9844,""tier_b_fallback_labelable_rows"":2366,""tier_scope"":""Tier A"",""trade_count"":null,""win_rate_percent"":null}",Tier A used;Tier B fallback used;actual routed total;no synthetic sum,completed,runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1_mt5_routed_c01_tier_b_fallback_used_validation_is_Tier_B,43_model_rebuild__low_complexity_feature_subset_regularized_signal,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c01_tier_b_fallback_used_validation_is,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c01_tier_b_fallback_used_validation_is,Tier B,mt5_runtime_probe,runtime_probe,completed,reviewed_completed_inconclusive_runtime_probe_only,,"{""aggregation"":""actual_routed_component"",""expectancy"":null,""fill_count"":76,""fill_rate"":1.0,""flat_count"":590,""long_count"":48,""max_drawdown_amount"":null,""max_drawdown_percent"":null,""net_profit"":null,""no_tier_labelable_rows"":203,""order_attempt_count"":76,""partial_context_subtype_counts"":{""B_core_only"":25,""B_macro_missing"":2126,""B_mixed_partial_context"":215},""profit_attribution"":""not_separable_from_single_routed_account_path"",""profit_factor"":null,""recovery_factor"":null,""reject_count"":0,""route_bar_count"":691,""route_coverage_split"":""validation"",""route_role"":""fallback_used"",""route_share"":0.15626413387607418,""routed_labelable_rows"":12210,""short_count"":53,""signal_count"":101,""skip_count"":0,""status"":""completed"",""tier_a_primary_labelable_rows"":9844,""tier_b_fallback_labelable_rows"":2366,""tier_scope"":""Tier B"",""trade_count"":null,""win_rate_percent"":null}",Tier A used;Tier B fallback used;actual routed total;no synthetic sum,completed,runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1_mt5_routed_c01_validation_is_Tier_A_B,43_model_rebuild__low_complexity_feature_subset_regularized_signal,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c01_validation_is,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c01_validation_is,Tier A+B,mt5_runtime_probe,runtime_probe,completed,reviewed_completed_inconclusive_runtime_probe_only,,"{""aggregation"":""actual_routed_tester_run"",""balance_drawdown_maximal_amount"":583.95,""balance_drawdown_maximal_percent"":99.59,""deal_count"":1036,""equity_drawdown_maximal_amount"":611.47,""equity_drawdown_maximal_percent"":99.61,""expectancy"":-0.96,""feature_ready_count"":4422,""fill_count"":612,""fill_rate"":1.0,""gross_loss"":-1749.37,""gross_profit"":1251.76,""long_trade_count"":255,""long_win_rate_percent"":37.65,""losing_trade_count"":326,""loss_rate_percent"":62.93,""max_drawdown_amount"":611.47,""max_drawdown_percent"":99.61,""missing_required_metrics"":[],""model_fail_count"":14668,""model_ok_count"":4422,""net_profit"":-497.61,""no_tier_count"":14668,""no_tier_labelable_rows"":203,""order_attempt_count"":612,""parsed_row_count"":2166,""partial_context_subtype_counts"":{""B_core_only"":25,""B_macro_missing"":2126,""B_mixed_partial_context"":215},""profit_factor"":0.72,""recovery_factor"":-0.81,""reject_count"":0,""report_path"":""C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidi",Tier A used;Tier B fallback used;actual routed total;no synthetic sum,completed,runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1_mt5_routed_c01_tier_a_used_oos_Tier_A,43_model_rebuild__low_complexity_feature_subset_regularized_signal,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c01_tier_a_used_oos,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c01_tier_a_used_oos,Tier A,mt5_runtime_probe,runtime_probe,completed,reviewed_completed_inconclusive_runtime_probe_only,,"{""aggregation"":""actual_routed_component"",""expectancy"":null,""fill_count"":984,""fill_rate"":1.0,""flat_count"":5998,""long_count"":789,""max_drawdown_amount"":null,""max_drawdown_percent"":null,""net_profit"":null,""no_tier_labelable_rows"":159,""order_attempt_count"":984,""profit_attribution"":""not_separable_from_single_routed_account_path"",""profit_factor"":null,""recovery_factor"":null,""reject_count"":0,""route_bar_count"":7584,""route_coverage_split"":""oos"",""route_role"":""primary_used"",""route_share"":0.8771686328938237,""routed_labelable_rows"":8646,""short_count"":797,""signal_count"":1586,""skip_count"":0,""status"":""completed"",""tier_a_primary_labelable_rows"":7584,""tier_b_fallback_labelable_rows"":1062,""tier_scope"":""Tier A"",""trade_count"":null,""win_rate_percent"":null}",Tier A used;Tier B fallback used;actual routed total;no synthetic sum,completed,runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1_mt5_routed_c01_tier_b_fallback_used_oos_Tier_B,43_model_rebuild__low_complexity_feature_subset_regularized_signal,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c01_tier_b_fallback_used_oos,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c01_tier_b_fallback_used_oos,Tier B,mt5_runtime_probe,runtime_probe,completed,reviewed_completed_inconclusive_runtime_probe_only,,"{""aggregation"":""actual_routed_component"",""expectancy"":null,""fill_count"":112,""fill_rate"":1.0,""flat_count"":907,""long_count"":77,""max_drawdown_amount"":null,""max_drawdown_percent"":null,""net_profit"":null,""no_tier_labelable_rows"":159,""order_attempt_count"":112,""partial_context_subtype_counts"":{""B_core_only"":24,""B_full_context_outside_tier_a_scope"":1,""B_macro_missing"":809,""B_mixed_partial_context"":228},""profit_attribution"":""not_separable_from_single_routed_account_path"",""profit_factor"":null,""recovery_factor"":null,""reject_count"":0,""route_bar_count"":1062,""route_coverage_split"":""oos"",""route_role"":""fallback_used"",""route_share"":0.12283136710617627,""routed_labelable_rows"":8646,""short_count"":78,""signal_count"":155,""skip_count"":0,""status"":""completed"",""tier_a_primary_labelable_rows"":7584,""tier_b_fallback_labelable_rows"":1062,""tier_scope"":""Tier B"",""trade_count"":null,""win_rate_percent"":null}",Tier A used;Tier B fallback used;actual routed total;no synthetic sum,completed,runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1_mt5_routed_c01_oos_Tier_A_B,43_model_rebuild__low_complexity_feature_subset_regularized_signal,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c01_oos,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c01_oos,Tier A+B,mt5_runtime_probe,runtime_probe,completed,reviewed_completed_inconclusive_runtime_probe_only,,"{""aggregation"":""actual_routed_tester_run"",""balance_drawdown_maximal_amount"":196.03,""balance_drawdown_maximal_percent"":26.0,""deal_count"":1816,""equity_drawdown_maximal_amount"":210.43,""equity_drawdown_maximal_percent"":27.82,""expectancy"":0.1,""feature_ready_count"":8646,""fill_count"":1096,""fill_rate"":1.0,""gross_loss"":-2232.23,""gross_profit"":2327.47,""long_trade_count"":459,""long_win_rate_percent"":39.22,""losing_trade_count"":549,""loss_rate_percent"":60.46,""max_drawdown_amount"":210.43,""max_drawdown_percent"":27.82,""missing_required_metrics"":[],""model_fail_count"":28691,""model_ok_count"":8646,""net_profit"":95.24,""no_tier_count"":28691,""no_tier_labelable_rows"":159,""order_attempt_count"":1096,""parsed_row_count"":3726,""partial_context_subtype_counts"":{""B_core_only"":24,""B_full_context_outside_tier_a_scope"":1,""B_macro_missing"":809,""B_mixed_partial_context"":228},""profit_factor"":1.04,""recovery_factor"":0.45,""reject_count"":0,""report_path"":""C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E",Tier A used;Tier B fallback used;actual routed total;no synthetic sum,completed,runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1_mt5_routed_c02_tier_a_used_validation_is_Tier_A,43_model_rebuild__low_complexity_feature_subset_regularized_signal,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c02_tier_a_used_validation_is,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c02_tier_a_used_validation_is,Tier A,mt5_runtime_probe,runtime_probe,completed,reviewed_completed_inconclusive_runtime_probe_only,,"{""aggregation"":""actual_routed_component"",""expectancy"":null,""fill_count"":1189,""fill_rate"":1.0,""flat_count"":5320,""long_count"":1943,""max_drawdown_amount"":null,""max_drawdown_percent"":null,""net_profit"":null,""no_tier_labelable_rows"":203,""order_attempt_count"":1189,""profit_attribution"":""not_separable_from_single_routed_account_path"",""profit_factor"":null,""recovery_factor"":null,""reject_count"":0,""route_bar_count"":9844,""route_coverage_split"":""validation"",""route_role"":""primary_used"",""route_share"":0.8062244062244063,""routed_labelable_rows"":12210,""short_count"":2581,""signal_count"":4524,""skip_count"":0,""status"":""completed"",""tier_a_primary_labelable_rows"":9844,""tier_b_fallback_labelable_rows"":2366,""tier_scope"":""Tier A"",""trade_count"":null,""win_rate_percent"":null}",Tier A used;Tier B fallback used;actual routed total;no synthetic sum,completed,runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1_mt5_routed_c02_tier_b_fallback_used_validation_is_Tier_B,43_model_rebuild__low_complexity_feature_subset_regularized_signal,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c02_tier_b_fallback_used_validation_is,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c02_tier_b_fallback_used_validation_is,Tier B,mt5_runtime_probe,runtime_probe,completed,reviewed_completed_inconclusive_runtime_probe_only,,"{""aggregation"":""actual_routed_component"",""expectancy"":null,""fill_count"":144,""fill_rate"":1.0,""flat_count"":2129,""long_count"":92,""max_drawdown_amount"":null,""max_drawdown_percent"":null,""net_profit"":null,""no_tier_labelable_rows"":203,""order_attempt_count"":144,""partial_context_subtype_counts"":{""B_core_only"":25,""B_macro_missing"":2126,""B_mixed_partial_context"":215},""profit_attribution"":""not_separable_from_single_routed_account_path"",""profit_factor"":null,""recovery_factor"":null,""reject_count"":0,""route_bar_count"":2366,""route_coverage_split"":""validation"",""route_role"":""fallback_used"",""route_share"":0.19377559377559378,""routed_labelable_rows"":12210,""short_count"":145,""signal_count"":237,""skip_count"":0,""status"":""completed"",""tier_a_primary_labelable_rows"":9844,""tier_b_fallback_labelable_rows"":2366,""tier_scope"":""Tier B"",""trade_count"":null,""win_rate_percent"":null}",Tier A used;Tier B fallback used;actual routed total;no synthetic sum,completed,runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1_mt5_routed_c02_validation_is_Tier_A_B,43_model_rebuild__low_complexity_feature_subset_regularized_signal,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c02_validation_is,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c02_validation_is,Tier A+B,mt5_runtime_probe,runtime_probe,completed,reviewed_completed_inconclusive_runtime_probe_only,,"{""aggregation"":""actual_routed_tester_run"",""balance_drawdown_maximal_amount"":280.63,""balance_drawdown_maximal_percent"":21.55,""deal_count"":1412,""equity_drawdown_maximal_amount"":284.47,""equity_drawdown_maximal_percent"":21.79,""expectancy"":0.8,""feature_ready_count"":12210,""fill_count"":1333,""fill_rate"":1.0,""gross_loss"":-2447.53,""gross_profit"":3012.02,""long_trade_count"":339,""long_win_rate_percent"":53.98,""losing_trade_count"":347,""loss_rate_percent"":49.15,""max_drawdown_amount"":284.47,""max_drawdown_percent"":21.79,""missing_required_metrics"":[],""model_fail_count"":40598,""model_ok_count"":12210,""net_profit"":564.49,""no_tier_count"":40598,""no_tier_labelable_rows"":203,""order_attempt_count"":1333,""parsed_row_count"":2918,""partial_context_subtype_counts"":{""B_core_only"":25,""B_macro_missing"":2126,""B_mixed_partial_context"":215},""profit_factor"":1.23,""recovery_factor"":1.98,""reject_count"":0,""report_path"":""C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidi",Tier A used;Tier B fallback used;actual routed total;no synthetic sum,completed,runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1_mt5_routed_c02_tier_a_used_oos_Tier_A,43_model_rebuild__low_complexity_feature_subset_regularized_signal,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c02_tier_a_used_oos,run37A_low_complexity_feature_subset_rebuild_broad_mt5_probe_v1,mt5_routed_c02_tier_a_used_oos,Tier A,mt5_runtime_probe,runtime_probe,completed,reviewed_completed_inconclusive_runtime_probe_only,,"{""aggregation"":""actual_routed_component"",""expectancy"":null,""fill_count"":908,""fill_rate"":1.0,""flat_count"":3716,""long_count"":1856,""max_drawdown_amount"":null,""max_drawdown_percent"":null,""net_profit"":null,""no_tier_labelable_rows"":159,""order_attempt_count"":908,""profit_attribution"":""not_separable_from_single_routed_account_path"",""profit_factor"":null,""recovery_factor"":null,""reject_count"":0,""route_bar_count"":7584,""route_coverage_split"":""oos"",""route_role"":""primary_used"",""route_share"":0.8771686328938237,""routed_labelable_rows"":8646,""short_count"":2012,""signal_count"":3868,""skip_count"":0,""status"":""completed"",""tier_a_primary_labelable_rows"":7584,""tier_b_fallback_labelable_rows"":1062,""tier_scope"":""Tier A"",""trade_count"":null,""win_rate_percent"":null}",Tier A used;Tier B fallback used;actual routed total;no synthetic sum,completed,runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
