run_id,gate(게이트),status,evidence(근거),effect(효과),claim_boundary(주장 경계)
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,scope_completion_gate(범위 완료 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AJ/final_decision.json,run364AJ proxy scout(364AJ 프록시 정찰)를 닫음,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,input_parent_gate(부모 입력 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AJ/input_manifest.csv,run364AI 대기열과 기준 산출물을 확인함,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,data_integrity_audit(데이터 무결성 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AJ/data_integrity_receipt.json,시점 안전 세션/방향 규칙과 분할 경계를 기록함,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,queue_replay_gate(대기열 재생 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AJ/session_side_pf_lift_density_repair_proxy_scout_surface.csv,12개 대기열 행을 재생함,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,topn_absence_gate(top_n 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AJ/queue_replay_audit.csv,top_n 재생 없음,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,trade_splitting_absence_gate(거래 쪼개기 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AJ/session_side_pf_lift_density_repair_proxy_scout_surface.csv,거래 쪼개기 없음,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,kpi_contract_audit(KPI 계약 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AJ/session_side_pf_lift_density_repair_proxy_scout_surface.csv,net/PF/expectancy/DD/RF/trades/side/density를 기록함,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,performance_attribution_gate(성과 귀속 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AJ/performance_attribution_receipt.json,세션/방향 정책 기여를 연결함,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,result_judgment_gate(결과 판정 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AJ/result_judgment_receipt.json,MT5 필요 경계로 판정함,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,artifact_lineage_audit(산출물 계보 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AJ/artifact_lineage_receipt.json,입력/출력 해시를 연결함,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,claim_boundary_audit(주장 경계 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AJ/claim_boundary_receipt.json,런타임 권위를 주장하지 않음,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,required_gate_coverage_audit(필수 게이트 커버리지 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AJ/required_gate_coverage_audit.csv,필수 게이트를 종료 기록에 연결함,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
